sal_7_lc2vs0_iate,age
-14966.329336529683,34.0
-22973.602023819152,44.0
-31733.93188014781,42.0
-23784.020122548165,47.0
-29944.32396814643,46.0
-20681.80668888066,48.0
-23681.351490448036,37.0
-28546.654518830932,44.0
-20567.674996668597,45.0
-29338.501468503535,35.0
-37211.55080423473,34.0
-35369.195541491725,46.0
-34309.532825619885,49.0
-27423.338946637326,49.0
-18961.885957543196,47.0
-39463.14024115179,46.0
-20679.679856243343,38.0
-36166.90878704943,41.0
-22080.32337065613,48.0
-39338.87674069799,30.0
-29044.748833477326,35.0
-19700.84510706944,42.0
-24795.94758937326,40.0
-34194.25163903,38.0
-28948.97805112872,46.0
-33628.75533818538,45.0
-33294.852698752,34.0
-20025.783157884176,34.0
-17856.080709183225,40.0
-38585.88319015798,37.0
-22370.934548846297,47.0
-32039.2368437174,33.0
-24069.211810925477,41.0
-29842.934248331112,48.0
-22161.382840033668,40.0
-33219.19196148271,46.0
-27760.28955646064,45.0
-31177.093761748212,41.0
-27350.894723285004,37.0
-28034.107661718932,49.0
-20359.972304553197,50.0
-34541.64112295194,38.0
-26754.036650084316,44.0
-30874.663846205203,43.0
-34585.75660814258,48.0
-26927.58953247995,36.0
-36652.213425502196,37.0
-18285.372275478203,41.0
-17442.544103720596,45.0
-30463.191571068164,36.0
-16657.90181681644,46.0
-32040.6074986109,50.0
-21197.90645089332,48.0
-32588.122773595063,40.0
-26578.006107730056,33.0
-23218.005625506295,31.0
-39704.433482925,34.0
-21271.170734353345,39.0
-25465.912919121565,45.0
-28596.26025118721,36.0
-22665.931379249843,38.0
-21066.55732084836,33.0
-35013.121792810496,50.0
-20064.88736712063,45.0
-20857.614476816023,47.0
-33108.926922255145,45.0
-20517.031086452855,33.0
-19197.080460761736,31.0
-20729.7660609866,47.0
-23107.12160189483,43.0
-19453.21552995719,34.0
-38084.04054120039,35.0
-29529.329986213503,41.0
-22484.351455840544,40.0
-30675.55461081333,42.0
-33363.28145670936,42.0
-25448.749172298063,49.0
-22894.35949529268,46.0
-22553.38728101235,37.0
-37491.15928986398,31.0
-36149.867270031405,48.0
-34209.304842846796,32.0
-19436.212252643218,31.0
-32619.86597012952,41.0
