sal_9_lc2vs0_iate,region
7870.874531802361,43.0
12888.31944530725,47.0
533.8423601638247,61.0
-1375.4042867302223,56.0
2326.3934122477795,71.0
2189.1032991588672,68.0
6308.470549369706,15.0
7422.200161121675,15.0
2768.0959296571223,12.0
5783.8232725536645,38.0
-6503.029360579615,52.0
5259.368196432813,49.0
4258.426784341282,38.0
7442.142983665517,83.0
11407.064320834663,53.0
-1510.5974733271523,62.0
4786.14573972855,42.0
268.30291500480166,77.0
2812.513305606575,7.0
-14299.216998691398,60.0
3938.7411709633507,83.0
9903.44204291061,82.0
-468.4642055409872,24.0
1014.4725232456653,22.0
3490.897808633712,23.0
-990.3984104745596,43.0
-3846.847991681563,42.0
485.3361923592811,4.0
10165.330203671287,85.0
-2799.1980315123214,15.0
11917.406228366232,7.0
618.9191795214319,47.0
10810.338397599466,3.0
4113.437234271604,58.0
7502.008570958751,69.0
-520.5007288973543,51.0
8497.136296901012,19.0
3131.4967945946546,40.0
-3894.2167515392657,63.0
10345.932455492191,30.0
8109.94983462007,79.0
690.9116503369569,67.0
11306.908387927857,77.0
10928.188097720822,67.0
-7337.3799809622815,52.0
3026.654833039015,43.0
-3217.6829752884587,64.0
4691.455642526189,18.0
9828.21458093688,45.0
4783.484859219515,51.0
10922.347453858445,26.0
5038.277976958489,14.0
5364.634809299793,27.0
3858.4404426667506,55.0
-1887.9457014265129,17.0
7727.857015203586,17.0
-7451.419736903625,75.0
3144.751606235801,60.0
8544.08065323127,62.0
1473.3046484063984,22.0
286.29846981384026,47.0
4298.421442218057,16.0
1449.7054672341178,38.0
2458.0215681235823,5.0
5939.140853150055,80.0
8188.651597377383,21.0
-1372.7021021247883,33.0
7066.150737845894,51.0
8803.63143310327,17.0
10679.729853334135,77.0
1758.6255096828081,78.0
-3623.536330502402,33.0
9521.298228434054,9.0
-2659.213659020679,42.0
1967.8643507951167,35.0
9877.034288757308,64.0
6898.648807185147,62.0
-1569.7050754635648,67.0
-2376.735042950808,33.0
-8544.735303795649,79.0
7165.6263531346785,83.0
-317.21542523743256,61.0
6737.147800886679,31.0
9612.428422419647,66.0
12191.632820418617,36.0
11340.004034195721,28.0
5728.328925326718,54.0
-2174.6386915408552,39.0
1283.1444527377867,70.0
10608.865448603176,26.0
-3799.0736535541346,74.0
553.4506746018251,2.0
2023.901218245027,50.0
7551.769632087734,19.0
4051.4179886735483,49.0
-2934.424393040462,54.0
3214.2508965920197,74.0
3946.2919389520507,23.0
6056.635818602757,76.0
