sal_avg_lc2vs0_iate,lmp_cw
-15864.205970432164,3.0
-23079.448995073464,3.0
-29980.728530193803,2.0
-24688.088857980358,4.0
-31388.185946603175,3.0
-20256.99488073739,4.0
-22349.18153309972,3.0
-26320.581606197768,3.0
-20451.587675426443,4.0
-29148.24776182525,3.0
-38144.07840543258,2.0
-34420.33433947743,3.0
-34014.21011732534,3.0
-25751.841320138214,4.0
-19017.880398452955,4.0
-37529.31505820888,3.0
-19002.558243310148,2.0
-35221.078551990446,3.0
-22080.246827442385,1.0
-40477.26435406655,1.0
-32631.565265711703,1.0
-19029.637836701866,4.0
-25133.88863809759,4.0
-35685.88729597314,3.0
-32132.181345698245,4.0
-35658.35592889748,4.0
-32906.85495893863,3.0
-20027.126965255993,1.0
-16803.655804456095,4.0
-37532.45800406931,3.0
-22628.976207526175,3.0
-34450.50266845961,1.0
-23602.634960387208,1.0
-30033.768250542795,4.0
-22920.06735976659,2.0
-31118.17147493957,4.0
-28262.537217533867,3.0
-31267.820384304137,4.0
-27346.607552115333,2.0
-27840.617332642338,4.0
-21286.91925297545,4.0
-35554.09421811897,4.0
-25175.513159132886,3.0
-29945.455455607786,1.0
-39743.946746744026,3.0
-28561.97126563842,1.0
-37970.696472985794,1.0
-20797.493768935372,2.0
-16587.560257676156,4.0
-32467.551917727505,1.0
-16797.45793660828,4.0
-36442.701887527655,4.0
-22117.836148699236,4.0
-31444.208516263105,1.0
-26732.55288146377,1.0
-22716.21258301172,1.0
-40530.335543376525,1.0
-22488.577185024587,3.0
-24790.52119555723,4.0
-30140.401536619498,3.0
-22918.038176249705,1.0
-19354.2682377322,1.0
-36142.39037368832,4.0
-20393.140922095776,4.0
-22293.437439738034,4.0
-31295.082571578598,1.0
-20101.573967742443,3.0
-19162.339039629573,1.0
-19787.295356166607,4.0
-22906.174107165858,3.0
-21052.519176178295,1.0
-38808.083536728314,4.0
-29810.166558622735,2.0
-22473.918470213837,4.0
-33507.6777368417,3.0
-31829.88030844733,1.0
-25237.679579268894,4.0
-23104.06811251522,4.0
-22081.196016998805,2.0
-37979.59917015616,2.0
-34995.76349042947,2.0
-35589.45086212165,3.0
-20697.770723661884,1.0
-32505.44856494393,1.0
-21932.254878575317,3.0
-23593.643836757004,3.0
-16964.106502578437,2.0
-40543.480172651165,4.0
-19312.650246493686,3.0
-27796.37787547359,1.0
-27500.613598387805,1.0
-24554.776336625437,4.0
-32520.850206108233,4.0
-16824.3416484617,1.0
-32587.980088671226,2.0
-33517.881293729515,1.0
-26051.360891609707,1.0
-23858.333984706318,4.0
-18213.954066905673,1.0
-25018.62057182721,1.0
-31973.254868333148,1.0
-35597.44858835732,1.0
-30801.491600067886,3.0
-18517.99639929902,3.0
-19336.999958295182,1.0
-35771.97619704387,1.0
-28047.425979227,2.0
-26816.526757330066,2.0
-23052.68690393554,1.0
-41541.860191256535,3.0
-21184.673942052552,2.0
-31321.40901921955,4.0
-21758.202718630913,2.0
-28290.439951831286,2.0
-31379.829617112973,4.0
-17740.478161094485,1.0
-25219.908194808293,1.0
-22698.61776282266,4.0
