sal_avg_lc1vs0_iate,region
-463.513496485008,43.0
-1847.6121512813597,47.0
-3666.724739464621,61.0
-8612.12307443159,56.0
-2932.6937992341063,71.0
-5665.001479048336,68.0
-3441.4558967006274,15.0
-2838.081801430035,15.0
-5190.987333464111,12.0
-6679.015808655396,38.0
-21088.555720797518,52.0
-5050.337640104915,49.0
-4330.400558687103,38.0
-4328.147398870946,83.0
-227.3310448535001,53.0
-3114.3760810520707,62.0
-2435.8406409209138,42.0
-16801.22053844198,77.0
-6820.418310267503,7.0
-13760.996006129913,60.0
-18046.204079078827,83.0
-2321.9146750212035,82.0
-13241.46132851449,24.0
-3071.19154952596,22.0
-3206.1550970958815,23.0
-4154.286240049651,43.0
-15006.888634045421,42.0
-12021.335593992317,4.0
-2070.3202580666493,85.0
-18397.95356272177,15.0
-1889.9598735848053,7.0
-6092.692729795937,47.0
-7701.838036392345,3.0
-4284.474753541315,58.0
-3070.9207159497064,69.0
-10186.839265724966,51.0
-4058.7263050805213,19.0
-4234.555661910751,40.0
-14841.704162924554,63.0
-4721.648946031489,30.0
-146.3326538080487,79.0
-4296.263003798102,67.0
-3968.027247398873,77.0
-5487.076290863111,67.0
-10821.706583671672,52.0
-3549.0933660013325,43.0
-11176.520391528746,64.0
-396.6216945757328,18.0
-1308.7933614894812,45.0
-4321.738163391496,51.0
-1679.3250543333627,26.0
-13825.385441420818,14.0
-9705.903919529803,27.0
-1941.5600032764141,55.0
-17026.261987989732,17.0
-5681.74233304389,17.0
-20707.033050715305,75.0
-2715.2386861927325,60.0
-2681.99010470236,62.0
-2220.630708743636,22.0
-8836.78346681875,47.0
-4080.6812910874987,16.0
-3567.75067401295,38.0
-61.33569109278403,5.0
-11229.120037878332,80.0
-5514.657729756766,21.0
-8119.786103787981,33.0
-5653.523153591791,51.0
-3021.041312560856,17.0
-2202.385252410415,77.0
-13711.86613623781,78.0
-18989.89525567234,33.0
-3881.4391296977374,9.0
-8124.260113193132,42.0
-3051.0709837098966,35.0
-4554.147313564168,64.0
-2590.3474344504575,62.0
-6908.662810779986,67.0
-6718.468603575588,33.0
-20004.117829970786,79.0
-4994.176749152037,83.0
-5496.55923926767,61.0
-4302.962053225012,31.0
-5998.531895427333,66.0
-4408.920118722363,36.0
-3362.96784283539,28.0
-1128.8177198612439,54.0
-12334.234629367968,39.0
-12821.893128497695,70.0
-8054.5514265533075,26.0
-14090.634343899204,74.0
-7617.009346591939,2.0
-2796.7528572068677,50.0
-924.3493473975333,19.0
-6411.868072222465,49.0
-20986.804676169333,54.0
-3079.8646357343596,74.0
-11235.677003808369,23.0
-3300.177699021645,76.0
-6319.144300785712,58.0
-7220.067168747152,68.0
-3752.450922899925,19.0
-10122.392623717966,65.0
-2059.022433649012,47.0
-4420.459952515184,39.0
-3657.864961302712,25.0
-14497.581488513384,61.0
-3280.972619140175,50.0
-10016.712359354979,47.0
-14130.109560966343,78.0
-11526.239612007645,36.0
-9627.575265321331,71.0
-10242.502781571558,55.0
-12375.299110150592,30.0
-12775.022272749107,35.0
-2962.4747961838993,54.0
-5733.944012197649,17.0
-412.16662863333386,48.0
-4173.934912833149,69.0
-4446.523276926742,65.0
-5546.287796963205,23.0
-6644.113947641672,19.0
-20463.510461793707,38.0
-11421.985827900826,5.0
-14588.283114557971,45.0
-4296.9341605022455,7.0
-15308.381580177347,17.0
-1918.6337455126786,64.0
-4904.122555143581,19.0
-3782.712618864375,11.0
-4336.14058556478,20.0
-13019.588975640676,53.0
-4701.720109369653,1.0
-1862.2777478242606,41.0
-1651.7998929613914,27.0
-2245.9113882877136,70.0
-5098.816434561996,52.0
-16139.686901748268,66.0
-7755.282672002699,9.0
-5407.08598283951,36.0
-4648.452389895047,84.0
-520.2555182121823,74.0
-19495.373864824534,42.0
-4733.99346998361,45.0
-5677.709380763718,26.0
-5579.931288879409,32.0
-21197.190502766305,34.0
-14020.929154737749,56.0
-12981.516844003236,8.0
-2648.987215829232,63.0
-16753.22068041909,9.0
-8524.629155095867,34.0
-5975.722087964356,54.0
-9125.532586995547,1.0
-7619.046303009428,43.0
-2855.586163825934,61.0
-3025.8097797928276,66.0
-2497.1665053223387,1.0
-7184.193202091382,70.0
-2807.523195563472,17.0
-3080.209531283679,5.0
-5494.654000863124,22.0
-1819.1616023078786,28.0
-13599.512198976117,24.0
-4661.803029523228,9.0
-4762.071432685161,4.0
-5145.8303435802845,8.0
-21717.09240546481,54.0
-3919.964005010719,72.0
-4024.195172315309,38.0
-2932.832439347376,68.0
-4971.014798354618,50.0
-2767.8809390932056,81.0
-5493.866697337418,68.0
-3395.332213811672,18.0
-2909.1529854074083,25.0
-9920.038541856886,37.0
-4852.356244613504,48.0
-5584.926950041488,30.0
-7964.870549707955,50.0
1188.264489757641,30.0
-10620.14815116794,78.0
-1895.3452563455148,44.0
-797.0658975308497,52.0
-2664.5307177555405,5.0
-14399.804235434925,47.0
-2840.982919313621,76.0
-294.82386166505825,68.0
-3326.16243834518,30.0
-17341.001304706522,15.0
-13342.804826578384,58.0
-6679.770675387857,74.0
-10378.034609233018,27.0
-7586.032266469161,62.0
-2138.3843792674666,27.0
-2962.947797366007,2.0
-9445.061591712045,5.0
-4628.850483957177,40.0
-2371.945529551689,26.0
-2504.6642034590986,18.0
-7650.088853001283,20.0
-10049.364534438411,34.0
-16409.512754677424,27.0
-2227.1544694534746,56.0
-7726.152897312457,59.0
-14604.01587291501,60.0
-6757.192295640221,47.0
-7165.033228111048,4.0
-996.4244833159028,73.0
-13969.073750347066,4.0
-11130.593381398496,5.0
-11059.005339752526,14.0
-20418.00601613143,42.0
-4505.262376376644,41.0
-2650.541807093163,13.0
-4300.2829864926025,74.0
-4476.765153839629,10.0
-5152.243767786587,76.0
-2561.134512646271,12.0
-7682.127741808816,44.0
-1111.2948748196618,60.0
-4978.012447428833,17.0
-2407.823753415889,54.0
-12672.240773153246,23.0
-6232.158946257013,19.0
-18260.908580148935,9.0
-12529.22791783786,29.0
-14267.555802736057,52.0
-3386.4387374681355,14.0
-2321.113462848197,65.0
-6625.325877134188,41.0
-6255.207636035607,61.0
-2312.351440555054,21.0
-4528.12110400387,39.0
-2136.024496009291,46.0
-3797.049319575912,80.0
-2549.244477343338,6.0
-1035.8719310758015,3.0
-16020.440062487536,1.0
-7332.0449117115495,13.0
-12498.667019472758,66.0
-7674.683263877325,40.0
-5373.937467221862,40.0
-686.1375662136179,41.0
-2780.854156387918,9.0
-7917.3120189264855,23.0
-15153.016100497083,51.0
-2322.729195925518,17.0
-13659.446268026304,39.0
-6929.011200109049,45.0
-4178.24318679288,81.0
-6760.580360149945,33.0
129.0258704716989,35.0
-3188.3456954588783,51.0
-9516.46720148789,53.0
-12148.93119437116,59.0
-17467.404146722078,11.0
-99.55215731127976,25.0
-9954.110087712743,25.0
-12340.991839544762,49.0
-22115.340534184277,62.0
-13646.644695816767,58.0
-19331.30150918461,17.0
-5221.6323170013475,21.0
-9035.514445965619,25.0
-5633.825468059045,75.0
-3150.3597379570047,8.0
61.60349985900598,6.0
-809.3600076635769,29.0
-5088.28188985917,69.0
-9845.0089091722,18.0
-2325.1764468510314,83.0
-1401.3863216818309,10.0
-5462.314517675968,78.0
-9208.440692572243,64.0
-12060.361812287852,81.0
-1877.1333062559233,85.0
-7939.821816474209,69.0
-4289.047389677109,35.0
-4329.475988185808,72.0
-6057.285302540814,67.0
-12858.643002236695,67.0
-3233.468108602967,33.0
-15721.164024572408,40.0
-4019.193578120883,66.0
-4551.624874001085,78.0
-12667.710940098934,44.0
-7407.42116595402,27.0
-791.8595690477705,35.0
-516.7286420895107,17.0
-4374.179819366849,19.0
-9612.92341891613,32.0
-3124.1194900100436,23.0
-4393.087762808688,22.0
-9281.123888493767,31.0
-13369.916645841364,27.0
-332.6247287640011,58.0
-4420.848347727806,76.0
843.4764231047986,30.0
-4501.6520178244255,23.0
-14574.756331154886,68.0
-5898.811925904288,43.0
-10915.62995720756,24.0
-3393.5474613805527,51.0
-1790.2938023615297,26.0
-6779.62190486842,51.0
-11186.295105876992,42.0
-2072.3387249033312,48.0
-4728.134292884335,47.0
-2464.544454967063,38.0
-4890.754711351303,51.0
-1975.4436891613843,66.0
-14353.168442913953,20.0
-5248.791732272066,10.0
-3258.65984380615,68.0
-14484.53520635545,12.0
-13719.42061313944,79.0
418.7795160312018,71.0
-5820.403460492718,19.0
-3923.809481553683,21.0
-6012.458123978593,38.0
-1908.310015637578,15.0
-9083.872791494337,63.0
-998.0694382643395,28.0
-6671.742299915236,49.0
-12379.881014613524,85.0
-4216.2192773216475,25.0
-6693.013615916121,28.0
-11071.2085680109,63.0
-2478.543754149246,20.0
-488.413374051133,18.0
-13691.72052806198,85.0
-14128.533776318436,24.0
-15912.337258743926,19.0
-6756.4589075064405,48.0
-8183.009400915584,24.0
-9451.040630731291,17.0
93.47101372796897,30.0
-915.5316926913898,72.0
-13203.22852541862,20.0
-8542.443471992334,79.0
-11755.0004357309,40.0
-10728.017803723185,3.0
-4820.271094648853,83.0
-5014.965581160821,14.0
-5736.63685391739,84.0
-12197.97238310924,66.0
-4411.591303861553,71.0
-8965.257763357766,12.0
-4581.807766112252,9.0
-5883.638922952283,52.0
-1220.4746276351075,67.0
785.5890665439154,34.0
-4930.2394592706505,17.0
-7355.3104714523215,30.0
-6842.912065521707,39.0
-8311.348487358666,72.0
-15470.406179081358,66.0
-1384.8947845838254,24.0
-5625.061268035523,37.0
-5395.67485102924,79.0
-15147.025265905453,48.0
-2822.5401888264714,67.0
-6903.310919547794,39.0
-423.39900864083916,25.0
-3055.2002107567846,71.0
