sal_avg_lc2vs0_iate,emplx1_2
-15864.205970432164,1.0
-23079.448995073464,1.0
-29980.728530193803,2.0
-24688.088857980358,2.0
-31388.185946603175,1.0
-20256.99488073739,1.0
-22349.18153309972,1.0
-26320.581606197768,1.0
-20451.587675426443,2.0
-29148.24776182525,1.0
-38144.07840543258,1.0
-34420.33433947743,1.0
-34014.21011732534,1.0
-25751.841320138214,1.0
-19017.880398452955,2.0
-37529.31505820888,1.0
-19002.558243310148,1.0
-35221.078551990446,1.0
-22080.246827442385,2.0
-40477.26435406655,1.0
-32631.565265711703,2.0
-19029.637836701866,1.0
-25133.88863809759,1.0
-35685.88729597314,1.0
-32132.181345698245,2.0
-35658.35592889748,3.0
-32906.85495893863,1.0
-20027.126965255993,1.0
-16803.655804456095,1.0
-37532.45800406931,1.0
-22628.976207526175,1.0
-34450.50266845961,1.0
-23602.634960387208,1.0
-30033.768250542795,2.0
-22920.06735976659,2.0
-31118.17147493957,1.0
-28262.537217533867,1.0
-31267.820384304137,1.0
-27346.607552115333,1.0
-27840.617332642338,1.0
-21286.91925297545,2.0
-35554.09421811897,1.0
-25175.513159132886,1.0
-29945.455455607786,1.0
-39743.946746744026,1.0
-28561.97126563842,1.0
-37970.696472985794,2.0
-20797.493768935372,1.0
-16587.560257676156,2.0
-32467.551917727505,2.0
-16797.45793660828,1.0
-36442.701887527655,2.0
-22117.836148699236,1.0
-31444.208516263105,1.0
-26732.55288146377,1.0
-22716.21258301172,1.0
-40530.335543376525,1.0
-22488.577185024587,1.0
-24790.52119555723,1.0
-30140.401536619498,3.0
-22918.038176249705,2.0
-19354.2682377322,2.0
-36142.39037368832,1.0
-20393.140922095776,1.0
-22293.437439738034,1.0
-31295.082571578598,1.0
-20101.573967742443,1.0
-19162.339039629573,1.0
-19787.295356166607,1.0
-22906.174107165858,1.0
-21052.519176178295,1.0
-38808.083536728314,1.0
-29810.166558622735,1.0
-22473.918470213837,1.0
-33507.6777368417,3.0
-31829.88030844733,2.0
-25237.679579268894,1.0
-23104.06811251522,2.0
-22081.196016998805,2.0
-37979.59917015616,1.0
-34995.76349042947,2.0
-35589.45086212165,3.0
-20697.770723661884,1.0
-32505.44856494393,1.0
-21932.254878575317,1.0
-23593.643836757004,1.0
-16964.106502578437,1.0
