sal_9_lc1vs0_iate,unem_x0
14604.222855989388,23.0
16079.616100807285,16.0
14825.567995479241,4.0
5201.377158654619,8.0
21034.787789041566,22.0
6678.253010518829,20.0
10124.594205404672,2.0
14547.579720849662,20.0
7621.925125727808,22.0
10938.560990733053,13.0
-7626.950328733241,11.0
17834.569626340344,21.0
17021.09852064174,7.0
11501.567155469644,15.0
15927.887500681567,23.0
22472.4762513073,14.0
9170.391222507807,7.0
-1553.7421135216355,19.0
5482.390842011304,14.0
3745.205947594831,12.0
-5959.504952518336,22.0
11381.986633182376,24.0
-3174.720565017204,16.0
21864.91338534279,22.0
21560.33713773788,13.0
21910.031690306587,23.0
-2480.5834245730607,2.0
-6690.461006188957,23.0
10364.222075229838,21.0
-5269.930801498533,2.0
16500.722567894707,3.0
17341.191844798836,12.0
6084.983302038243,23.0
14874.798803847863,10.0
13073.969859904199,23.0
4592.100608854642,9.0
16067.11855303769,2.0
14996.558461278415,5.0
-5493.981369838661,7.0
13282.413706957246,23.0
18679.652262102394,7.0
21383.322865717873,10.0
12793.952524843946,19.0
14240.1236127405,12.0
13597.846100813178,19.0
16536.69453439193,3.0
8765.860425876324,12.0
17302.496039799204,4.0
11936.976773062373,16.0
19125.28505855275,10.0
11743.702278590506,13.0
8077.346425802849,21.0
543.0010636712254,18.0
20579.993573892723,2.0
-9516.81514213516,3.0
7408.780771611771,20.0
-7338.3093391580605,24.0
13779.607264057144,20.0
15025.244693328976,1.0
18797.84837368539,21.0
2816.7265652542665,13.0
6915.251453791094,19.0
22524.368893156032,14.0
17405.56963668079,17.0
-1702.9002181826286,1.0
15350.616403885819,22.0
1693.5251232992878,8.0
5289.6181060459185,8.0
9964.215904891887,4.0
15655.176582056596,10.0
-7976.259704017432,6.0
-6528.332709147726,23.0
18192.43727771492,1.0
3436.9021255559246,18.0
20757.52314291689,14.0
18116.36001170434,8.0
14844.84071811794,19.0
5904.617780932573,16.0
5160.210920379754,19.0
-8393.854103662601,2.0
18103.105807743053,10.0
17688.132435578154,0.0
10115.904345092888,16.0
16175.758331746945,2.0
10655.994556523656,23.0
12734.97963520142,12.0
12396.51564978857,20.0
5239.750802811435,5.0
-7881.8491217575975,14.0
9407.949748130904,2.0
-5894.391762775055,14.0
5505.874120468473,12.0
20680.872550816886,11.0
13322.566466515918,20.0
14094.67541000489,10.0
-11745.96179440396,13.0
14820.127260773983,17.0
-393.3864181938484,7.0
8120.395962662998,10.0
9741.010677434864,2.0
12359.903522189827,17.0
19492.12985465266,2.0
7831.451035368691,9.0
14393.045282322442,12.0
6523.021678814864,12.0
20134.320774194362,13.0
-4547.046019374588,12.0
15430.467885991291,13.0
217.48138053634148,12.0
4895.86643390765,22.0
-3088.2888994067407,11.0
6937.792913531681,18.0
-1617.200011570334,9.0
-333.0088649852901,19.0
1564.2244910077884,17.0
9177.379201005837,11.0
10000.649356652126,12.0
17859.471006864984,10.0
11856.16006270864,23.0
20401.988623925892,10.0
13476.102265517517,21.0
13520.250852951272,14.0
-7155.743841369855,10.0
-380.32507382303515,11.0
-7186.1286668168,2.0
12354.390750096074,23.0
3436.472140502167,10.0
15416.98370923127,20.0
15504.601456559067,4.0
13588.227812376786,18.0
7954.953399667288,10.0
-2510.0155467323693,21.0
15565.850940580774,18.0
13505.081365502609,11.0
11989.101300779817,12.0
17223.716352879354,3.0
15857.874134889145,14.0
821.2684283432677,20.0
16788.71886442788,15.0
7029.394150414842,23.0
15398.21316484258,17.0
14656.340650944065,11.0
-6320.032300310012,4.0
11568.533637963545,24.0
14960.509768587195,2.0
12630.120449230972,3.0
-5103.521394559009,23.0
-9561.344883682483,7.0
-2795.0160819367866,21.0
10669.03689631119,1.0
-86.05854053294524,19.0
-552.652040192268,20.0
5654.107677235041,19.0
15640.997453086518,15.0
1764.4346725733658,13.0
13515.250076518085,14.0
14383.779219622324,10.0
17437.00268311255,17.0
5041.838892400852,15.0
11700.193153213622,22.0
23280.741481889374,1.0
13430.89599477342,18.0
11832.083711536714,8.0
4524.4228892797255,19.0
10711.313993749132,20.0
18907.260084590613,13.0
11059.888286769188,6.0
-9293.566139075821,17.0
18029.69371449177,8.0
13034.27720493322,14.0
19608.598163034967,20.0
7658.1800152591295,7.0
22947.37479850935,6.0
16679.27882929143,18.0
14156.201540232893,7.0
12105.698170827118,14.0
1669.13240865913,17.0
14817.187946731749,15.0
7462.239123847061,21.0
11919.04519335207,23.0
17986.749187151487,6.0
287.0713378908422,20.0
15744.346946659021,0.0
15000.501354259644,14.0
9495.156494258887,17.0
7234.658775924998,21.0
14685.999539185104,15.0
15375.46394154567,14.0
21744.997883367003,0.0
-651.2275741682515,19.0
2333.756382046615,12.0
12944.802667218459,3.0
4297.375265861036,23.0
5222.321113739719,16.0
16098.681259703053,0.0
23233.671647870367,15.0
434.2475134007882,21.0
8243.317933246013,24.0
20685.48964905952,20.0
9409.575063519602,1.0
5229.7298107034785,24.0
13157.524655087867,21.0
-9995.582871078695,16.0
9829.651346115077,22.0
3693.6646697333736,23.0
-2212.9558815609676,19.0
5810.540207288163,22.0
5298.824468442144,23.0
18150.850441509236,15.0
-7753.151738823804,22.0
4105.446993159208,0.0
-249.84036909288739,8.0
-7989.081135572743,13.0
14154.86088077396,20.0
21323.347946572692,21.0
17355.66965447552,17.0
18228.023564446434,15.0
14872.1680255669,16.0
22619.391643294002,7.0
11042.009276307588,5.0
12016.148236801331,17.0
15350.145446961482,10.0
13157.937649826454,12.0
-6274.395046715084,5.0
12244.514072264954,0.0
-9831.828520581015,19.0
-7192.003772597095,6.0
-1414.583175187981,20.0
13059.670754200788,3.0
13346.600972568394,23.0
7828.7780828462,9.0
9166.368837582355,11.0
21407.86767934072,12.0
13247.472479091966,23.0
10560.438427612691,20.0
21072.76107505398,18.0
19962.968091568975,23.0
17981.86144366756,6.0
-360.1479553153349,6.0
7120.1717560162,15.0
8931.438036285343,14.0
12482.04052104363,22.0
17949.616511576805,20.0
17820.443749049435,11.0
16113.887296700592,24.0
5976.9333993792025,17.0
-1656.1505977601764,16.0
22610.023881145942,16.0
-8280.21770225992,9.0
16292.799555809426,1.0
6187.934382936895,22.0
10613.13357147668,23.0
18424.186005865457,5.0
21860.66548994531,23.0
7036.353535324252,19.0
5178.045714980621,18.0
-2853.238837765047,18.0
17563.33165942985,10.0
11451.165579823686,4.0
4533.616341222731,21.0
-11004.797344242757,9.0
1535.9352675184437,13.0
-7850.767524243407,10.0
13736.488513261926,19.0
12133.757539009894,23.0
15464.728625236818,9.0
16763.948225897428,9.0
17262.439939423683,5.0
13860.52578068052,16.0
9868.871516833393,15.0
10627.12126164603,2.0
13133.828270818654,19.0
17262.188332269838,15.0
15768.403513812436,5.0
-414.8151481949626,23.0
-3448.4012194022453,17.0
18869.497137220864,6.0
2300.0370815164056,14.0
17035.826809918144,5.0
10952.634908096059,24.0
8777.416320915272,23.0
-2906.4260462033612,15.0
10789.548058999882,17.0
-10826.100251662054,14.0
20829.69619084507,7.0
