empl_chge_lc2vs0_iate,age
-1.9376496207548197,34.0
-2.238960356800459,44.0
-1.8585970665202245,42.0
-1.410617367783847,47.0
-1.3836025531647245,46.0
-2.052424475709446,48.0
-2.065700065711724,37.0
-2.0620953962890276,44.0
-1.8259478400722136,45.0
-2.0366692107262065,35.0
-1.1314351738716761,34.0
-2.0293050506635963,46.0
-1.8413723261506325,49.0
-2.0074398579806503,49.0
-2.4153632431323193,47.0
-1.5658822012922855,46.0
-2.4325452666157776,38.0
-1.6502813734014006,41.0
-1.6797697940982528,48.0
-1.0406366745532112,30.0
-1.1145505971045704,35.0
-2.262544255721852,42.0
-1.554666642353807,40.0
-1.376268746056748,38.0
-1.8113572275301342,46.0
-1.581501086672156,45.0
-0.6408259925741845,34.0
-1.3374769793853838,34.0
-2.237900305453701,40.0
-1.2825541338960904,37.0
-2.0348101491532136,47.0
-1.6459665259415144,33.0
-2.121881014624725,41.0
-1.6808991920914487,48.0
-2.061767815162848,40.0
-1.6117188850588486,46.0
-1.8737097584909477,45.0
-1.5959364354087606,41.0
-0.8507978145837756,37.0
-1.9135449977946033,49.0
-1.9129149557318414,50.0
-1.7106883914395463,38.0
-1.8468575616695153,44.0
-1.9945782009518185,43.0
-1.0251735052807986,48.0
-1.7672017184575124,36.0
-1.1519851152125784,37.0
-1.7408799977510574,41.0
-2.253994033450608,45.0
-1.3687491155658338,36.0
-2.277920524900105,46.0
-1.0191933357095952,50.0
-1.450149391332401,48.0
-1.5643637043905876,40.0
-0.8405310189723075,33.0
-2.1706116044989394,31.0
-1.3329324771486222,34.0
-2.204664209712405,39.0
-1.9286433938952237,45.0
-1.5000179160083675,36.0
-1.5308085697942326,38.0
-2.333426190305067,33.0
-1.5782936100076532,50.0
-1.8451354636893933,45.0
-1.605040105173947,47.0
-1.9148739783014328,45.0
-1.2893269968006988,33.0
-2.2047242125017923,31.0
-2.4001684279765207,47.0
-1.6525794664768756,43.0
-1.1502744492133226,34.0
-1.4922317990635463,35.0
-1.7457575394127933,41.0
-1.1128527948353741,40.0
-1.505255386022944,42.0
-1.7344016022005901,42.0
-2.0645279200216593,49.0
-1.7889196800039517,46.0
-1.5461513043231399,37.0
-1.0448444891495237,31.0
-1.6617126529447623,48.0
-1.6259150177996613,32.0
-2.04978471516278,31.0
-2.0047233898024794,41.0
-2.219585469838362,49.0
-2.16420707599502,49.0
-1.742638396890885,36.0
-1.4385835911093787,44.0
-0.7298880763773091,33.0
-1.678977303408725,32.0
-1.089430794211483,30.0
-1.6414300397571653,47.0
-1.5393671461219818,48.0
-2.1803461627265506,45.0
-2.1089497168040863,35.0
-1.2937821012776523,32.0
-1.9707171130389955,32.0
-1.6389660156096832,46.0
-2.441161982225367,40.0
-1.8741834074541075,31.0
-1.7604017152773368,36.0
-1.487061793881637,34.0
-1.315100976504008,50.0
-2.176721304054731,41.0
-2.3541551141476065,36.0
-1.8374290723290063,35.0
-1.3276992324464099,45.0
-1.935837810233064,40.0
-1.308546189569201,30.0
-1.670104198419995,47.0
-1.8172095337994303,48.0
-1.4048415956334352,46.0
-1.2985644387148743,31.0
-1.1254947783305786,40.0
-1.4016071805600592,48.0
-1.6849309972104758,31.0
-2.0461293994498075,36.0
-2.3223642530685984,39.0
-2.2864147775630648,43.0
-1.3198082534957796,36.0
-2.175512309804013,43.0
-1.6855350235815485,36.0
-1.1687730093280762,32.0
-1.600917712233831,30.0
-0.6740999873372097,35.0
-2.1224108430406323,34.0
-1.5950626409736577,44.0
-1.8491707399835717,49.0
-1.8032842748106002,48.0
-1.9606396147999061,46.0
-2.3470247542158513,37.0
-1.0562025527246706,37.0
-1.80833998821999,49.0
-2.0549045387552587,34.0
-2.2058895231927407,43.0
-1.4816375984912267,35.0
-1.8567057105570743,45.0
-1.6426403709889308,42.0
-1.0296501922432753,47.0
-1.7174990119601203,43.0
-1.4757238249945743,47.0
-2.095927679456805,42.0
-0.9356814736135391,37.0
-2.0859558595460315,35.0
-1.559803850116122,38.0
-1.6696151270953825,39.0
-0.9856310988224151,34.0
-0.9148640448776186,31.0
-1.1547727778743195,45.0
-2.29965041896707,46.0
-1.5040194723715539,42.0
-1.7240616956269588,41.0
-2.2090395462215318,30.0
-1.0375135572217302,49.0
-2.0434889759863815,50.0
-2.026511726216121,33.0
-2.118068596382268,48.0
-1.6673339420335545,45.0
-1.7566818500547565,46.0
-2.4311432188337587,47.0
-1.497231338810331,50.0
