sal_5_lc2vs0_iate,region
-28715.249686179264,43.0
-41565.501973125996,47.0
-45772.818142885895,61.0
-38092.49604391926,56.0
-51264.53570445512,71.0
-31427.586397243245,68.0
-36321.626581250726,15.0
-42925.453129004156,15.0
-31801.108059058468,12.0
-48508.64573304874,38.0
-55624.60451616281,52.0
-55007.176340902086,49.0
-54994.699906349895,38.0
-42397.75749511925,83.0
-33971.06470117066,53.0
-57449.96176534514,62.0
-30471.792955020857,42.0
-53774.37312790059,77.0
-34413.43164460671,7.0
-56979.30476848636,60.0
-54862.498398136726,83.0
-32576.349227631345,82.0
-38390.6195125575,24.0
-58376.53989406923,22.0
-54424.272960833405,23.0
-56812.901297699864,43.0
-49155.88018186944,42.0
-31572.91769448224,4.0
-29560.64817528914,85.0
-55984.47487845683,15.0
-40860.47167776924,7.0
-56830.632379196046,47.0
-41598.787718314146,3.0
-48573.57234004096,58.0
-38769.7440509272,69.0
-46115.905968485546,51.0
-47968.37160784687,19.0
-50631.544597811204,40.0
-40771.60620038542,63.0
-47538.03513272312,30.0
-35389.99247527305,79.0
-57539.13597286692,67.0
-42903.002437973424,77.0
-52052.51878129842,67.0
-62298.25660100421,52.0
-47785.32682037818,43.0
-60560.801472904,64.0
-35776.1918749549,18.0
-28610.462477439338,45.0
-55915.250933526826,51.0
-30129.517317308568,26.0
-62057.930504667485,14.0
-36999.93456422009,27.0
-52017.118172786984,55.0
-41302.55900192101,17.0
-38780.59998374518,17.0
-58994.0473697041,75.0
-36280.97437566454,60.0
-41931.338440805936,62.0
-47371.27750761547,22.0
-35760.5629610708,47.0
-30304.7843919838,16.0
-59684.60426132793,38.0
-32283.378069454506,5.0
-37197.107334372784,80.0
-51444.74602776311,21.0
-30302.800736185134,33.0
-32305.166432921542,51.0
-32455.524180789685,17.0
-39599.358166024,77.0
-33856.77366023425,78.0
-57827.23328703434,33.0
-51422.9465144251,9.0
-33738.875444118494,42.0
-54932.46906915153,35.0
-54766.726933848535,64.0
-41413.195456283865,62.0
-34091.34259616437,67.0
-32469.271067910955,33.0
-54927.490690077604,79.0
-57389.92047648161,83.0
-55877.350008633235,61.0
-36792.01156735611,31.0
-55398.932277917804,66.0
-38943.12351971055,36.0
-39864.11067168159,28.0
-28596.413759058592,54.0
-60550.80640833221,39.0
-31374.760551440566,70.0
-50126.200210622774,26.0
-41096.69278549947,74.0
-37432.63442104671,2.0
-52491.99341423507,50.0
-29221.398805773173,19.0
-51986.86123558467,49.0
-50665.76135500006,54.0
-43611.50446925066,74.0
-38960.767030979485,23.0
-30182.191971436994,76.0
-44002.68352953189,58.0
-52296.89761674216,68.0
-56545.45227857237,19.0
-51659.57263205854,65.0
-34912.845481867014,47.0
-30394.991546714224,39.0
-55210.79585532325,25.0
-45314.943382418394,61.0
-45701.52394466547,50.0
-34701.91175948195,47.0
-60672.94457311327,78.0
-37952.1105548299,36.0
-50374.74332741147,71.0
-31704.67228474959,55.0
-42327.19908077008,30.0
-50366.3321242972,35.0
-31251.270175556772,54.0
-42793.2846417296,17.0
-38974.24598413348,48.0
-40406.416708744495,69.0
-59001.31917561738,65.0
-48211.94549755275,23.0
-53256.96902039189,19.0
-55153.56546992407,38.0
-40238.9957043749,5.0
-37624.2904469934,45.0
-42274.67087459547,7.0
-62164.25919405972,17.0
-39667.33855062847,64.0
-52014.77129809444,19.0
-42663.7279547773,11.0
-32640.73627842037,20.0
-43238.18087518902,53.0
-54252.249936752225,1.0
-33334.59829274801,41.0
-31823.39801214051,27.0
-43780.51205337726,70.0
-52248.53102550645,52.0
-55057.42840722151,66.0
-62651.83054914286,9.0
-30761.444930302412,36.0
-51274.14789678805,84.0
-28788.66817941276,74.0
-60119.619066311585,42.0
-41640.102321285536,45.0
-53467.22610338758,26.0
-50730.84308675654,32.0
-60527.72596346497,34.0
-31904.362523116746,56.0
-41503.91135932377,8.0
-32551.883297933127,63.0
-58923.56160052892,9.0
-31215.84115139151,34.0
-34697.748225772535,54.0
-62323.205092380085,1.0
-31216.21464160476,43.0
-39129.47066695505,61.0
-40820.982509502064,66.0
-46323.33266134393,1.0
-32417.74941248364,70.0
-36459.74593653593,17.0
-59821.210136474416,5.0
-52378.09714171653,22.0
-30694.714537425953,28.0
-54697.9185427256,24.0
-41171.57488402021,9.0
-57986.42254048781,4.0
-42980.22223180061,8.0
-59316.621832837845,54.0
-50086.66028685759,72.0
-43659.32483401624,38.0
-52447.27530406219,68.0
-34224.785418814914,50.0
-59490.235588855765,81.0
-54685.619512942794,68.0
-42209.24786724504,18.0
-36439.21384011111,25.0
-38420.18315601151,37.0
-50287.10396309861,48.0
-33538.64605089207,30.0
-54922.14816032328,50.0
-28771.838683319857,30.0
-41566.31556162753,78.0
-41729.36190838968,44.0
-30303.19001635342,52.0
-30971.53527809853,5.0
-61640.082234842936,47.0
-43706.60639052616,76.0
-31312.143512975563,68.0
-58777.99938382319,30.0
-59396.82876592381,15.0
-58605.386121267016,58.0
-54173.93622781098,74.0
-48203.087990308086,27.0
-36706.41293495585,62.0
-41252.97428597145,27.0
-59607.62738141026,2.0
-34228.46577858094,5.0
-36090.85972234757,40.0
-51286.32346384804,26.0
-29133.956072401765,18.0
-35772.792306825184,20.0
-58661.88934686985,34.0
-37835.46915149411,27.0
-28589.38640347129,56.0
-34945.52606602938,59.0
-45919.3743397394,60.0
-36935.29135171294,47.0
-36554.641972582176,4.0
-41802.934438511395,73.0
-35318.39296527913,4.0
-45999.32955195254,5.0
-42435.53097334182,14.0
-59748.96309965047,42.0
-45665.31358212522,41.0
-52460.170736522996,13.0
-51859.328809365135,74.0
-55584.94084572646,10.0
-53132.5203526928,76.0
-56358.439667228195,12.0
-51135.052190049486,44.0
-28482.67798580643,60.0
-50821.59223354857,17.0
-35380.60770382152,54.0
-33013.08221780132,23.0
-50183.74091684386,19.0
-43205.575097367444,9.0
-31612.74166475369,29.0
-46704.817711159296,52.0
-41128.92407936568,14.0
-37531.557321233915,65.0
-42429.73100793613,41.0
-43691.548086423696,61.0
-50601.829310322006,21.0
-45935.04049140933,39.0
-29397.00890420819,46.0
-57343.20286396248,80.0
-51738.06696872513,6.0
-40702.56896795514,3.0
-53151.73381818073,1.0
-39053.330592124854,13.0
-60802.72070355086,66.0
-54263.14238906717,40.0
-57446.850140371535,40.0
-37373.10408515264,41.0
-44766.04315102434,9.0
-43017.294075881364,23.0
-51423.391964083894,51.0
-55091.652510234344,17.0
-32015.384040561086,39.0
-63067.97220150838,45.0
-30165.02175256297,81.0
-45912.93807434887,33.0
-37297.45991755476,35.0
-59644.76009299832,51.0
-48355.985403433966,53.0
-59991.60497889083,59.0
-57282.54457584222,11.0
-30181.415629577557,25.0
-60647.179740427324,25.0
-50684.91417180546,49.0
-58311.41424339509,62.0
-55829.148877668675,58.0
-52540.70581406061,17.0
-49873.17072216083,21.0
-55452.761735022206,25.0
-53720.306714589475,75.0
-46053.34056726598,8.0
-33465.08709001107,6.0
-28640.639015597197,29.0
-40979.83910366209,69.0
-58761.55175783551,18.0
-37635.01504533409,83.0
-40445.1419957479,10.0
-56010.16579163025,78.0
-31371.930982226473,64.0
-39124.4370569916,81.0
-47561.61514914325,85.0
-30805.77045990318,69.0
-55044.67172263587,35.0
-40328.820057502526,72.0
-42607.318233895465,67.0
-39224.513650440786,67.0
-35137.02375118504,33.0
-36393.256550058104,40.0
-54237.667060171036,66.0
-49732.246937498494,78.0
-52571.790250361984,44.0
-34133.02854636857,27.0
-38342.94759502422,35.0
-39793.675739769,17.0
-54171.79131030962,19.0
-35186.12318212549,32.0
-59041.6502330114,23.0
-37383.6398892759,22.0
-36567.176838289386,31.0
-43423.63358862846,27.0
-29488.608618845297,58.0
-51786.95643444762,76.0
-28728.021933360615,30.0
-44026.75767679905,23.0
-32310.802899377093,68.0
-41383.61880264395,43.0
-40783.699530575796,24.0
-59604.95862828419,51.0
-42211.67720078374,26.0
-36491.598242943364,51.0
-35541.4186364126,42.0
-55644.27422154048,48.0
-42164.90732020772,47.0
-48644.24264766915,38.0
-37035.66293959229,51.0
-29520.778104798494,66.0
-60175.80177226868,20.0
-40467.35927284875,10.0
-35694.25849234307,68.0
-62535.5720954726,12.0
-55810.86372258664,79.0
-29325.89070938416,71.0
-58109.17368147272,19.0
-39350.130190372285,21.0
-53335.49326033819,38.0
-29183.764188705376,15.0
-58296.14480818972,63.0
-30173.239978544316,28.0
-44573.750430446555,49.0
-44590.831254360586,85.0
-39354.374449837094,25.0
-30920.91867421205,28.0
-40902.81547857897,63.0
-33722.02366983726,20.0
-28854.573966013377,18.0
-48790.761352679554,85.0
-60781.196168725975,24.0
-52932.13723819622,19.0
-43769.29207097237,48.0
-41164.99230156542,24.0
-33156.33508692235,17.0
-37313.19816950017,30.0
-29603.666016667157,72.0
-55182.83919534911,20.0
-38453.14354407356,79.0
-35437.71948990795,40.0
-52922.93532643164,3.0
-57302.37074731577,83.0
-57058.1761482939,14.0
-50129.63850371418,84.0
-42082.858450893786,66.0
-54230.424815575636,71.0
-37387.5785147757,12.0
-42078.48440957941,9.0
-56017.17949018752,52.0
