empl_ttl_lc1vs0_iate,olf_x0
-4.94805426166886,56.0
-4.578111859088715,85.0
-3.230183773696281,51.0
1.3276327758599846,54.0
-5.504426802571932,38.0
0.19740218502416762,28.0
-3.7681734953965305,83.0
-4.058591155271899,52.0
-0.612743072735806,12.0
-1.3866245580209615,39.0
5.684290253260674,14.0
-3.9245604592515027,71.0
-4.249977880810943,41.0
-2.7508514322438367,51.0
-5.343410681848838,62.0
-5.859476615922035,17.0
-3.5603169489435893,67.0
3.9605823782354577,1.0
-0.2781985129849933,16.0
1.2274432011773229,31.0
3.8812397465118122,54.0
-3.3427260873530398,40.0
4.9152560967964956,6.0
-4.71026634939384,56.0
-4.215989504466777,44.0
-5.861797327600664,47.0
3.195668435079152,26.0
5.222338304708721,59.0
-2.9020687387710535,63.0
4.280266659497552,15.0
-3.7225476618861912,59.0
-3.486853278044228,38.0
-1.3057265460516698,32.0
-3.2785683578171336,57.0
-3.342427794012711,27.0
1.3763720464244351,33.0
-4.010554469233904,57.0
-2.6537893485242208,21.0
4.728494152405938,42.0
-2.9711600162350447,18.0
-5.293375960119727,68.0
-5.378046175097144,30.0
-2.9478466195738484,41.0
-2.616589569519482,30.0
-1.1791202450774634,37.0
-4.311464470350409,26.0
-0.12053856032070254,2.0
-5.553943871730289,75.0
-2.5097217097954987,33.0
-2.955066446938946,40.0
-3.1294046369614796,75.0
1.1985676546152861,37.0
1.9355864102435405,34.0
-4.196079625440849,71.0
6.449172312966962,12.0
-3.0829091482839517,75.0
4.891619174263027,49.0
-4.391780743250741,33.0
-3.4463184400290006,57.0
-4.47581358746775,71.0
1.3776060924220008,54.0
-1.913303056766548,35.0
-6.274316227690828,9.0
-4.837873860188848,24.0
3.386321604051256,14.0
-3.489929017616989,81.0
1.63337041131164,47.0
-1.4524888182921774,31.0
-3.4897655460277974,38.0
-3.8998745555076644,44.0
5.436816063188527,23.0
3.7496934542546665,26.0
-4.248230258791732,63.0
0.3138072392002005,41.0
