sal_avg_lc2vs0_iate,emplx2_4
-15864.205970432164,2.0
-23079.448995073464,2.0
-29980.728530193803,2.0
-24688.088857980358,2.0
-31388.185946603175,2.0
-20256.99488073739,2.0
-22349.18153309972,2.0
-26320.581606197768,2.0
-20451.587675426443,2.0
-29148.24776182525,2.0
-38144.07840543258,2.0
-34420.33433947743,2.0
-34014.21011732534,2.0
-25751.841320138214,2.0
-19017.880398452955,2.0
-37529.31505820888,2.0
-19002.558243310148,2.0
-35221.078551990446,2.0
-22080.246827442385,2.0
-40477.26435406655,2.0
-32631.565265711703,2.0
-19029.637836701866,2.0
-25133.88863809759,2.0
-35685.88729597314,2.0
-32132.181345698245,2.0
-35658.35592889748,2.0
-32906.85495893863,2.0
-20027.126965255993,2.0
-16803.655804456095,2.0
-37532.45800406931,2.0
-22628.976207526175,2.0
-34450.50266845961,2.0
-23602.634960387208,2.0
-30033.768250542795,2.0
-22920.06735976659,2.0
-31118.17147493957,2.0
-28262.537217533867,2.0
-31267.820384304137,2.0
-27346.607552115333,2.0
-27840.617332642338,2.0
-21286.91925297545,2.0
-35554.09421811897,1.0
-25175.513159132886,2.0
-29945.455455607786,2.0
-39743.946746744026,2.0
-28561.97126563842,2.0
-37970.696472985794,2.0
-20797.493768935372,2.0
-16587.560257676156,2.0
-32467.551917727505,2.0
-16797.45793660828,2.0
-36442.701887527655,2.0
-22117.836148699236,2.0
-31444.208516263105,2.0
-26732.55288146377,2.0
-22716.21258301172,2.0
-40530.335543376525,2.0
-22488.577185024587,2.0
-24790.52119555723,2.0
-30140.401536619498,2.0
-22918.038176249705,2.0
-19354.2682377322,2.0
-36142.39037368832,2.0
-20393.140922095776,2.0
-22293.437439738034,2.0
-31295.082571578598,2.0
-20101.573967742443,2.0
-19162.339039629573,2.0
-19787.295356166607,2.0
-22906.174107165858,2.0
-21052.519176178295,2.0
-38808.083536728314,2.0
-29810.166558622735,2.0
-22473.918470213837,2.0
-33507.6777368417,2.0
-31829.88030844733,2.0
-25237.679579268894,2.0
-23104.06811251522,2.0
-22081.196016998805,2.0
-37979.59917015616,1.0
-34995.76349042947,2.0
-35589.45086212165,1.0
-20697.770723661884,2.0
-32505.44856494393,2.0
-21932.254878575317,2.0
-23593.643836757004,2.0
-16964.106502578437,2.0
-40543.480172651165,2.0
-19312.650246493686,2.0
-27796.37787547359,2.0
-27500.613598387805,2.0
-24554.776336625437,2.0
-32520.850206108233,2.0
-16824.3416484617,2.0
-32587.980088671226,2.0
-33517.881293729515,3.0
-26051.360891609707,2.0
-23858.333984706318,2.0
-18213.954066905673,2.0
-25018.62057182721,2.0
-31973.254868333148,2.0
-35597.44858835732,2.0
-30801.491600067886,2.0
-18517.99639929902,2.0
-19336.999958295182,2.0
-35771.97619704387,2.0
-28047.425979227,2.0
-26816.526757330066,2.0
-23052.68690393554,2.0
-41541.860191256535,2.0
-21184.673942052552,2.0
-31321.40901921955,2.0
-21758.202718630913,2.0
-28290.439951831286,2.0
-31379.829617112973,2.0
-17740.478161094485,2.0
-25219.908194808293,2.0
-22698.61776282266,2.0
-23497.426577564478,2.0
-36416.25610045083,2.0
-28089.385360127693,2.0
-32292.973612899194,2.0
-39394.277618404754,2.0
-27800.13499521257,2.0
-24117.97214953949,2.0
-24164.365092577507,2.0
-41387.434144411345,2.0
-22229.331040858433,2.0
-30129.40381875647,2.0
-23602.031188310528,2.0
-19842.36749894056,2.0
-29278.500201664618,2.0
-32732.50450526743,2.0
-19273.658504711166,2.0
-18726.105606477242,2.0
-27787.11607748128,2.0
-31757.031939499524,2.0
-36728.32676921324,2.0
-44654.11089912646,2.0
-18697.986172396817,2.0
-31167.304647128407,2.0
-19442.441566890473,2.0
-39858.75207249119,2.0
-25402.61090019598,2.0
-29231.153979537186,2.0
-28908.49115848022,2.0
-40519.35153550848,2.0
-19653.81535104702,2.0
-25598.366306086395,2.0
-18027.883660542495,2.0
-37025.31401092086,2.0
-18331.479572558477,2.0
-19665.172037170156,2.0
-42559.25047957989,2.0
-17812.705321016252,2.0
-24253.10511009582,2.0
-24088.1410603907,2.0
-29746.65807414698,2.0
-20911.549837833976,2.0
-21205.737461221564,2.0
-38413.41338272876,2.0
-30563.87614973414,2.0
-17554.9509269246,2.0
-34304.465791764655,2.0
-23598.64687781509,2.0
-37357.06098449345,2.0
-23786.07286480303,2.0
-37441.53275477267,2.0
-29253.647334505702,2.0
-25974.53942217344,2.0
-32316.80527833054,2.0
-21683.76475825447,2.0
-37214.43664300066,2.0
-34602.88070396159,2.0
-23168.017431625478,2.0
-21328.45391613416,2.0
-25073.88161590329,2.0
-30601.33798280394,2.0
-22358.930546578857,2.0
-34188.16782354881,2.0
-17291.565221853918,2.0
-25834.296744942858,2.0
-24794.078522268366,2.0
-18195.18159293482,2.0
-17328.869973385146,2.0
-36748.74001598495,2.0
-28816.127718355285,2.0
-19039.280325354077,1.0
-36592.66537880285,2.0
-37130.54561675689,2.0
-35748.54504375991,2.0
-32501.547797038635,2.0
-31887.030123000695,2.0
-25226.93569279217,2.0
-23638.719747154588,2.0
-38832.42820858671,2.0
-22084.45835536208,2.0
-21570.77928100913,2.0
-31469.93285184954,2.0
-16926.357318548322,2.0
-23083.903104272493,2.0
-37431.29219190116,2.0
-24142.751975698626,2.0
-16690.67322528664,2.0
-21969.360259825906,2.0
-28995.06476366699,2.0
-23057.162443222216,2.0
-26329.64820450552,2.0
-25869.66374554422,2.0
-22542.011865353765,2.0
-30503.0544679717,2.0
-26203.10556731477,2.0
-40877.115106566765,2.0
-27355.037119983746,2.0
-32674.86237774603,2.0
-33217.92480987256,2.0
-34690.533563177974,2.0
-31756.19366389672,2.0
-34319.58507517743,2.0
-34699.65862414087,2.0
-17477.27769969989,2.0
-31696.072052589032,2.0
-21364.054902770997,2.0
-21955.069615738226,2.0
-27557.185066960483,2.0
-28729.399092337353,2.0
-19361.13564400986,2.0
-32020.01821738414,2.0
-23840.055069581882,2.0
-20989.6723995314,2.0
-24357.044343944595,2.0
-26315.156063357786,2.0
-32904.38262366894,2.0
-28327.448307467395,2.0
-16741.062737124732,2.0
-34913.4243953576,2.0
-31324.465814273106,2.0
-24643.352065466468,2.0
-34167.82833060961,2.0
-26266.789805814446,2.0
-40553.43342052563,2.0
-39023.01614091758,2.0
-36567.2246080028,2.0
-23045.762129317056,2.0
-27610.435096710058,2.0
-25269.50389083322,2.0
-33901.52563773919,2.0
-35525.09039154211,2.0
-19869.859132097088,2.0
-43880.42596083478,2.0
-17493.64347227204,2.0
-26581.1086796325,2.0
-22466.61351013029,2.0
-35441.21780563553,2.0
-32655.39258897854,2.0
-37242.50323138517,2.0
-38585.44062505931,2.0
-19131.326591545007,2.0
-43380.470754980095,2.0
-32880.425182940824,2.0
-40802.2467422669,2.0
-38771.48167544647,1.0
-34235.08868136223,2.0
-30164.551624088344,2.0
-37257.14820319899,2.0
-34096.64847562288,2.0
-28572.0951926436,2.0
-20031.704229482773,1.0
-17498.706842812084,2.0
-28519.303670002693,1.0
-40461.72755278963,2.0
-22179.27617083556,2.0
-24200.7903589361,2.0
-33315.88489321414,2.0
-20152.968965099077,2.0
-23593.033576900758,2.0
-28760.500778879352,2.0
-19935.48908363587,2.0
-33934.29700068016,2.0
-23567.84862945768,2.0
-23697.814544547284,2.0
-24488.300297774043,2.0
-20015.435117656016,2.0
-23286.965548322056,2.0
-32805.474930274606,2.0
-31607.855194685333,2.0
-34124.521260430665,2.0
-23723.76176099517,2.0
-23422.412450932483,2.0
-25040.277629889293,2.0
-33284.63070269166,2.0
-20922.173926357034,2.0
-37974.99419453096,1.0
