sal_4_lc1vs0_iate,age
-19954.994972657823,34.0
-29146.199747354854,44.0
-31433.024744821378,42.0
-27478.65232829765,47.0
-38631.07140073946,46.0
-22278.891971705772,48.0
-24204.914854959992,37.0
-29354.02381021749,44.0
-22014.836454110347,45.0
-34361.42852146404,35.0
-41092.16190647378,34.0
-41180.24634598078,46.0
-40243.902418876496,49.0
-29150.136101467546,49.0
-24006.89860213164,47.0
-42258.863774141646,46.0
-19358.97379678562,38.0
-39115.205022963,41.0
-23448.822668852532,48.0
-38909.95974164018,30.0
-39702.48987425571,35.0
-22277.595721019636,42.0
-26288.686300898335,40.0
-40485.49538268829,38.0
-41330.13824445986,46.0
-42695.291425200194,45.0
-35916.118606586126,34.0
-16933.182969041547,34.0
-20584.131695808846,40.0
-39462.244365811326,37.0
-30001.400938728202,47.0
-42731.36462946981,33.0
-28006.185394030104,41.0
-33672.86151251089,48.0
-27860.55729002769,40.0
-30944.372178795915,46.0
-35320.908489962065,45.0
-33430.59998985071,41.0
-24506.14719153816,37.0
-33191.64899169733,49.0
-26019.55571569452,50.0
-43435.71137947413,38.0
-30099.32121515451,44.0
-37092.68920495329,43.0
-48867.95184566085,48.0
-32931.4167978592,36.0
-43936.631134135714,37.0
-25635.340856668423,41.0
-19938.7438978245,45.0
-40215.890883476284,36.0
-20843.122531205165,46.0
-48155.34635905884,50.0
-24846.135873147585,48.0
-36930.58623005346,40.0
-24443.686159512225,33.0
-24851.60330836227,31.0
-42264.1441729595,34.0
-25934.14454512942,39.0
-29381.163982017202,45.0
-33367.1485406172,36.0
-22718.19641481625,38.0
-20476.910250086356,33.0
-42881.4809853933,50.0
-23062.450465256836,45.0
-23895.023253822386,47.0
-37438.47640856294,45.0
-20028.154555522262,33.0
-22282.448281085213,31.0
-21578.085212128935,47.0
-29004.491318529384,43.0
-19161.916179614364,34.0
-42355.31251129725,35.0
-38286.969964331576,41.0
-23219.399342112192,40.0
-40276.06833313756,42.0
-40653.01177477254,42.0
-29277.755578732165,49.0
-24437.166176393195,46.0
-23001.50384066586,37.0
-36828.82184882531,31.0
-43407.95600804519,48.0
-42444.72178561178,32.0
-25456.075792557953,31.0
-41790.7332086244,41.0
-28378.147127596952,49.0
-28610.619256827435,49.0
-20289.072054281078,36.0
-43252.25805043618,44.0
-17994.25904318059,33.0
-37273.63005590277,32.0
-23557.82748938075,30.0
-26805.23855871579,47.0
-38486.70263158987,48.0
-20696.658162808922,45.0
-38700.47776504463,35.0
-32520.88810432009,32.0
-29174.6581131945,32.0
-25847.44037667095,46.0
-20926.3503817867,40.0
-29005.290682213694,31.0
-38540.80501603817,36.0
-40390.8648748322,34.0
-36608.069451455754,50.0
-25266.916958584752,41.0
-20515.473725697644,36.0
-39193.508217323244,35.0
-29125.702428765264,45.0
-30662.350310109232,40.0
-21410.097568917823,30.0
-44401.01780148946,47.0
-23344.749371833754,48.0
-35620.21904822812,46.0
-20487.370193009214,31.0
-24723.57531203194,40.0
-36026.61394059506,48.0
-19669.750622641608,31.0
-26962.687607562715,36.0
-27694.23925830335,39.0
-28120.583065608593,43.0
-42346.80764931826,36.0
-36525.02962273515,43.0
-39711.53673832417,36.0
-40902.011845372705,32.0
-24463.11294398241,30.0
-22795.094523215823,35.0
-29474.590382009912,34.0
-46605.193635506876,44.0
-27902.65314079094,49.0
-37934.05470791469,48.0
-28784.449452564753,46.0
-21911.775665648893,37.0
-28329.962962774232,37.0
-39344.828793734116,49.0
-23745.22240499276,34.0
-21657.300540561264,43.0
-30804.820705720922,35.0
-38126.276444049894,45.0
-39965.94390298834,42.0
-48043.23311771627,47.0
-20769.94522357106,43.0
-35955.11218492224,47.0
-20999.269232136932,42.0
-43644.44064051098,37.0
-29902.566454377928,35.0
-39664.455005387776,38.0
-36296.26292663389,39.0
-44899.74327594796,34.0
-17736.17113495728,31.0
-27302.155159091253,45.0
-21557.79057050258,46.0
-45804.60548155397,42.0
-18710.606833931037,41.0
-23750.10884498017,30.0
-48994.49593139242,49.0
-20090.11731715608,50.0
-28313.135800713844,33.0
-30333.889886679655,48.0
-33447.28632039226,45.0
-23232.150737468866,46.0
-24301.781169739264,47.0
-43837.8465473248,50.0
-36334.953462382444,36.0
-20263.320743539043,31.0
-40750.95578135038,43.0
-27762.297664290476,48.0
-40863.97826170769,33.0
-28980.007882729016,39.0
-43228.78679631225,31.0
-38659.030588224225,46.0
-29201.527237314665,44.0
-37008.97955600907,48.0
-23593.9860465912,35.0
-42141.608103081686,42.0
-40595.40093094818,45.0
-29988.7571925097,36.0
-24385.879700643003,50.0
-23140.940000940205,38.0
-34992.250931340604,35.0
-23177.351409485644,38.0
-39142.84024298572,48.0
-21469.355887281192,40.0
-27163.53102635854,46.0
-28083.841983116108,46.0
-21089.527049553064,32.0
-19944.664269063836,40.0
-47067.52932416965,44.0
-29038.584909784156,40.0
-21398.63071506244,50.0
-41841.151484037786,47.0
-46254.31186633343,39.0
-43345.55398803193,40.0
-38928.31644487512,35.0
-34316.65969854869,47.0
-26483.680766180263,40.0
-29360.094972813677,45.0
-42691.63042123959,50.0
-23845.45452010575,43.0
-23835.247616246896,38.0
-37515.86272429697,40.0
-19998.338423806774,44.0
-24550.596687369063,41.0
-44756.270715630526,50.0
-23708.680956887612,38.0
-19822.098259624872,32.0
-23132.502355120858,44.0
-29637.959473515264,43.0
-23709.043235450485,46.0
-23970.952313882663,30.0
-28567.977578411537,41.0
-20073.298056958174,36.0
-33739.32066241169,48.0
-28190.43222497738,50.0
-41492.90325050259,30.0
-32571.75864412315,39.0
-38932.85943932321,50.0
-37227.65907986678,34.0
-40538.05308091623,44.0
-37827.61777742483,40.0
-41062.68504153834,48.0
-37451.85375296893,47.0
-19850.080409756985,43.0
-35935.7673079316,47.0
-25342.107360487855,37.0
-19410.871543998714,34.0
-36166.91440427528,42.0
-26214.39249047041,33.0
-17789.48106703441,34.0
-31829.098540227034,37.0
-28017.412508173773,42.0
-25437.195607864247,38.0
-28184.553477202036,31.0
-28326.383386133297,35.0
-37018.98392895065,42.0
-29552.98198367612,48.0
-20530.902703444146,32.0
-41891.28702666166,47.0
-36392.73719422451,47.0
-29464.628743083424,49.0
-38147.312504819565,41.0
-28355.19693607327,41.0
-45646.63825953689,32.0
-39261.76544734682,44.0
-42675.799036253855,45.0
-28427.035448655293,42.0
-31916.295051348643,47.0
-29507.743136531408,34.0
-35507.512977102786,33.0
-39905.825182137625,46.0
-19475.885751045353,30.0
-46093.64811071763,50.0
-19599.667721801612,32.0
-33051.95283813021,34.0
-26227.67631702051,48.0
-41309.13407623725,42.0
-33773.3162982541,39.0
-45467.75718434164,48.0
-40425.034409546504,37.0
-23687.155104972353,44.0
-42923.05116929684,38.0
-38121.43997316314,47.0
-39634.19327922301,30.0
-38670.58121767676,31.0
-37861.17507276045,37.0
-35446.27461296348,43.0
-41495.534521698864,48.0
-39178.5638419998,35.0
-32780.98340897794,39.0
-24205.797413871718,49.0
-20567.65014695975,33.0
-28206.363499623236,50.0
-43937.389519299155,43.0
-26829.091162719727,39.0
-29180.946958256383,40.0
-41522.24043012957,41.0
-18948.683159768676,33.0
-25291.340261115678,42.0
-33561.50561871195,47.0
-19963.389052019404,36.0
-39208.591691108915,50.0
-26501.772477155253,32.0
-27952.06935573028,41.0
-24271.785141066743,42.0
-23504.671166621523,42.0
-21646.63833302272,31.0
-42942.85459401955,44.0
-35734.69057592648,38.0
-36826.85968373189,38.0
-22364.99707139796,33.0
-28654.82896973724,45.0
-27693.00570713901,50.0
-41112.328589217315,48.0
-22014.19379540508,45.0
-42281.93730673126,41.0
-27254.879623000794,40.0
-22228.131390328843,37.0
-28358.405395706952,43.0
-22560.077489501287,43.0
-38368.032072790564,42.0
-19692.97555021827,46.0
-29879.50408206475,40.0
-18110.3972848968,32.0
-27802.629186414255,39.0
-26701.919218945426,39.0
-43417.07801032593,49.0
-29637.77837752321,45.0
-23010.231563497884,43.0
-22669.771284130373,32.0
-41462.15318703232,50.0
-29446.206578723373,43.0
-35878.34940571035,44.0
-25589.715370761725,34.0
-20819.16627926854,47.0
-45654.80176284843,47.0
-28912.82160598356,40.0
-25277.553873257282,31.0
-45581.92551232666,43.0
-40926.650756989504,43.0
-22610.710824910733,42.0
-44058.816934164985,46.0
-26640.645682465318,34.0
-39676.86359385141,40.0
-20106.716799204158,31.0
-41066.68485337701,42.0
-22352.857632655567,41.0
-30356.91754242103,30.0
-30929.019729889827,48.0
-26453.680802498056,33.0
-21429.209699432588,40.0
-26916.584457020337,50.0
-24439.77614728825,31.0
-20643.089532096215,40.0
-35154.72201572149,44.0
-43005.23678680192,44.0
-38841.386165233926,35.0
-27619.227922453294,33.0
-28408.810619655866,32.0
-21257.311919054602,35.0
-26838.77470323762,50.0
-20904.592021011933,41.0
-42790.59158288143,42.0
-25451.298074412116,45.0
-22464.10264370771,49.0
-37125.78926288896,35.0
-42993.19173968082,48.0
-43580.62031256044,50.0
-34878.379197089875,40.0
-28024.77846573941,44.0
-39904.60373264272,45.0
-25056.90357141289,39.0
-27995.4455373058,35.0
-42609.46695159096,43.0
-22568.25598836455,45.0
-20337.878057607697,46.0
-38377.08079305937,49.0
-24424.221109172846,37.0
-28166.04992342239,35.0
-19806.18996729399,34.0
-25493.031807453335,36.0
-23512.75319791506,41.0
-29759.32372450768,41.0
-27389.62603217615,31.0
-46173.95742655493,45.0
