sal_avg_lc1vs0_iate,reg_pro
-463.513496485008,25.442805384741487
-1847.6121512813597,24.48031723822925
-3666.724739464621,38.30479248816428
-8612.12307443159,27.23029492891736
-2932.6937992341063,35.43969589984596
-5665.001479048336,36.021807982956105
-3441.4558967006274,35.48794104479353
-2838.081801430035,35.48794104479353
-5190.987333464111,37.424879126959546
-6679.015808655396,23.634277318491872
-21088.555720797518,20.98878429639096
-5050.337640104915,26.28022836679576
-4330.400558687103,23.634277318491872
-4328.147398870946,39.70178544635895
-227.3310448535001,29.0419683726385
-3114.3760810520707,33.9596994808174
-2435.8406409209138,36.18644355251131
-16801.22053844198,33.190710519682085
-6820.418310267503,37.31673442662566
-13760.996006129913,22.876594638877435
-18046.204079078827,39.70178544635895
-2321.9146750212035,36.3573875871551
-13241.46132851449,20.146641489655405
-3071.19154952596,38.77222685532345
-3206.1550970958815,25.46180534860576
-4154.286240049651,25.442805384741487
-15006.888634045421,36.18644355251131
-12021.335593992317,30.518765731198098
-2070.3202580666493,27.11781509568906
-18397.95356272177,35.48794104479353
-1889.9598735848053,37.31673442662566
-6092.692729795937,24.48031723822925
-7701.838036392345,27.20170607688317
-4284.474753541315,36.59621121258517
-3070.9207159497064,32.02921160100115
-10186.839265724966,38.061462197476885
-4058.7263050805213,25.91532590252785
-4234.555661910751,27.66410460043495
-14841.704162924554,34.59482682258063
-4721.648946031489,24.75709700399736
-146.3326538080487,34.0840234334754
-4296.263003798102,24.82275449516596
-3968.027247398873,33.190710519682085
-5487.076290863111,24.82275449516596
-10821.706583671672,20.98878429639096
-3549.0933660013325,25.442805384741487
-11176.520391528746,34.87097908415335
-396.6216945757328,25.9568290114522
-1308.7933614894812,36.895008747355305
-4321.738163391496,38.061462197476885
-1679.3250543333627,36.36929448528463
-13825.385441420818,23.84441056974409
-9705.903919529803,37.21455824969987
-1941.5600032764141,38.296041677123725
-17026.261987989732,30.93066410111383
-5681.74233304389,30.93066410111383
-20707.033050715305,30.88527758713494
-2715.2386861927325,22.876594638877435
-2681.99010470236,33.9596994808174
-2220.630708743636,38.77222685532345
-8836.78346681875,24.48031723822925
-4080.6812910874987,37.12391018969001
-3567.75067401295,23.634277318491872
-61.33569109278403,24.043591501893573
-11229.120037878332,39.689354456040704
-5514.657729756766,24.377349804657285
-8119.786103787981,36.66915348581493
-5653.523153591791,38.061462197476885
-3021.041312560856,30.93066410111383
-2202.385252410415,33.190710519682085
-13711.86613623781,33.2979334027342
-18989.89525567234,36.66915348581493
-3881.4391296977374,33.465850046515826
-8124.260113193132,36.18644355251131
-3051.0709837098966,38.59436571998607
-4554.147313564168,34.87097908415335
-2590.3474344504575,33.9596994808174
-6908.662810779986,24.82275449516596
-6718.468603575588,36.66915348581493
-20004.117829970786,34.0840234334754
-4994.176749152037,39.70178544635895
-5496.55923926767,38.30479248816428
-4302.962053225012,25.975826758331387
-5998.531895427333,25.6381268714252
-4408.920118722363,29.199819087564737
-3362.96784283539,26.55757221818568
-1128.8177198612439,34.78150641425992
-12334.234629367968,34.24810373671474
-12821.893128497695,39.16550782865332
-8054.5514265533075,36.36929448528463
-14090.634343899204,38.14609730811835
-7617.009346591939,28.60821615898056
-2796.7528572068677,32.14515376327497
-924.3493473975333,25.91532590252785
-6411.868072222465,26.28022836679576
-20986.804676169333,34.78150641425992
-3079.8646357343596,38.14609730811835
-11235.677003808369,25.46180534860576
-3300.177699021645,37.01842441720488
-6319.144300785712,36.59621121258517
-7220.067168747152,36.021807982956105
-3752.450922899925,25.91532590252785
-10122.392623717966,30.221990924441656
-2059.022433649012,24.48031723822925
-4420.459952515184,34.24810373671474
-3657.864961302712,20.12142523431465
-14497.581488513384,38.30479248816428
-3280.972619140175,32.14515376327497
-10016.712359354979,24.48031723822925
-14130.109560966343,33.2979334027342
-11526.239612007645,29.199819087564737
-9627.575265321331,35.43969589984596
-10242.502781571558,38.296041677123725
-12375.299110150592,24.75709700399736
-12775.022272749107,38.59436571998607
-2962.4747961838993,34.78150641425992
-5733.944012197649,30.93066410111383
-412.16662863333386,32.03486507724899
-4173.934912833149,32.02921160100115
-4446.523276926742,30.221990924441656
-5546.287796963205,25.46180534860576
-6644.113947641672,25.91532590252785
-20463.510461793707,23.634277318491872
-11421.985827900826,24.043591501893573
-14588.283114557971,36.895008747355305
-4296.9341605022455,37.31673442662566
-15308.381580177347,30.93066410111383
-1918.6337455126786,34.87097908415335
-4904.122555143581,25.91532590252785
-3782.712618864375,21.445839558321627
-4336.14058556478,39.63041727705111
-13019.588975640676,29.0419683726385
-4701.720109369653,26.716134404846965
-1862.2777478242606,28.179167977526696
-1651.7998929613914,37.21455824969987
-2245.9113882877136,39.16550782865332
-5098.816434561996,20.98878429639096
-16139.686901748268,25.6381268714252
-7755.282672002699,33.465850046515826
-5407.08598283951,29.199819087564737
-4648.452389895047,39.53053733424087
-520.2555182121823,38.14609730811835
-19495.373864824534,36.18644355251131
-4733.99346998361,36.895008747355305
-5677.709380763718,36.36929448528463
-5579.931288879409,37.79198604260468
-21197.190502766305,20.63169958684676
-14020.929154737749,27.23029492891736
-12981.516844003236,35.46200090328086
-2648.987215829232,34.59482682258063
