sal_avg_lc2vs0_iate,age
-15864.205970432164,34.0
-23079.448995073464,44.0
-29980.728530193803,42.0
-24688.088857980358,47.0
-31388.185946603175,46.0
-20256.99488073739,48.0
-22349.18153309972,37.0
-26320.581606197768,44.0
-20451.587675426443,45.0
-29148.24776182525,35.0
-38144.07840543258,34.0
-34420.33433947743,46.0
-34014.21011732534,49.0
-25751.841320138214,49.0
-19017.880398452955,47.0
-37529.31505820888,46.0
-19002.558243310148,38.0
-35221.078551990446,41.0
-22080.246827442385,48.0
-40477.26435406655,30.0
-32631.565265711703,35.0
-19029.637836701866,42.0
-25133.88863809759,40.0
-35685.88729597314,38.0
-32132.181345698245,46.0
-35658.35592889748,45.0
-32906.85495893863,34.0
-20027.126965255993,34.0
-16803.655804456095,40.0
-37532.45800406931,37.0
-22628.976207526175,47.0
-34450.50266845961,33.0
-23602.634960387208,41.0
-30033.768250542795,48.0
-22920.06735976659,40.0
-31118.17147493957,46.0
-28262.537217533867,45.0
-31267.820384304137,41.0
-27346.607552115333,37.0
-27840.617332642338,49.0
-21286.91925297545,50.0
-35554.09421811897,38.0
-25175.513159132886,44.0
-29945.455455607786,43.0
-39743.946746744026,48.0
-28561.97126563842,36.0
-37970.696472985794,37.0
-20797.493768935372,41.0
-16587.560257676156,45.0
-32467.551917727505,36.0
-16797.45793660828,46.0
-36442.701887527655,50.0
-22117.836148699236,48.0
-31444.208516263105,40.0
-26732.55288146377,33.0
-22716.21258301172,31.0
-40530.335543376525,34.0
-22488.577185024587,39.0
-24790.52119555723,45.0
-30140.401536619498,36.0
-22918.038176249705,38.0
-19354.2682377322,33.0
-36142.39037368832,50.0
-20393.140922095776,45.0
-22293.437439738034,47.0
-31295.082571578598,45.0
-20101.573967742443,33.0
-19162.339039629573,31.0
-19787.295356166607,47.0
-22906.174107165858,43.0
-21052.519176178295,34.0
-38808.083536728314,35.0
-29810.166558622735,41.0
-22473.918470213837,40.0
-33507.6777368417,42.0
-31829.88030844733,42.0
-25237.679579268894,49.0
-23104.06811251522,46.0
-22081.196016998805,37.0
-37979.59917015616,31.0
-34995.76349042947,48.0
-35589.45086212165,32.0
-20697.770723661884,31.0
-32505.44856494393,41.0
-21932.254878575317,49.0
-23593.643836757004,49.0
-16964.106502578437,36.0
-40543.480172651165,44.0
-19312.650246493686,33.0
-27796.37787547359,32.0
-27500.613598387805,30.0
-24554.776336625437,47.0
-32520.850206108233,48.0
-16824.3416484617,45.0
-32587.980088671226,35.0
-33517.881293729515,32.0
-26051.360891609707,32.0
-23858.333984706318,46.0
-18213.954066905673,40.0
-25018.62057182721,31.0
-31973.254868333148,36.0
-35597.44858835732,34.0
-30801.491600067886,50.0
-18517.99639929902,41.0
-19336.999958295182,36.0
-35771.97619704387,35.0
-28047.425979227,45.0
-26816.526757330066,40.0
-23052.68690393554,30.0
-41541.860191256535,47.0
-21184.673942052552,48.0
-31321.40901921955,46.0
-21758.202718630913,31.0
-28290.439951831286,40.0
-31379.829617112973,48.0
-17740.478161094485,31.0
-25219.908194808293,36.0
-22698.61776282266,39.0
-23497.426577564478,43.0
-36416.25610045083,36.0
-28089.385360127693,43.0
-32292.973612899194,36.0
-39394.277618404754,32.0
-27800.13499521257,30.0
-24117.97214953949,35.0
-24164.365092577507,34.0
-41387.434144411345,44.0
-22229.331040858433,49.0
-30129.40381875647,48.0
-23602.031188310528,46.0
-19842.36749894056,37.0
-29278.500201664618,37.0
-32732.50450526743,49.0
-19273.658504711166,34.0
-18726.105606477242,43.0
-27787.11607748128,35.0
-31757.031939499524,45.0
-36728.32676921324,42.0
-44654.11089912646,47.0
-18697.986172396817,43.0
-31167.304647128407,47.0
-19442.441566890473,42.0
-39858.75207249119,37.0
-25402.61090019598,35.0
-29231.153979537186,38.0
-28908.49115848022,39.0
-40519.35153550848,34.0
-19653.81535104702,31.0
-25598.366306086395,45.0
-18027.883660542495,46.0
-37025.31401092086,42.0
-18331.479572558477,41.0
-19665.172037170156,30.0
-42559.25047957989,49.0
-17812.705321016252,50.0
-24253.10511009582,33.0
-24088.1410603907,48.0
-29746.65807414698,45.0
-20911.549837833976,46.0
-21205.737461221564,47.0
-38413.41338272876,50.0
-30563.87614973414,36.0
-17554.9509269246,31.0
-34304.465791764655,43.0
-23598.64687781509,48.0
-37357.06098449345,33.0
-23786.07286480303,39.0
-37441.53275477267,31.0
-29253.647334505702,46.0
-25974.53942217344,44.0
-32316.80527833054,48.0
-21683.76475825447,35.0
-37214.43664300066,42.0
-34602.88070396159,45.0
-23168.017431625478,36.0
-21328.45391613416,50.0
-25073.88161590329,38.0
-30601.33798280394,35.0
-22358.930546578857,38.0
-34188.16782354881,48.0
-17291.565221853918,40.0
-25834.296744942858,46.0
-24794.078522268366,46.0
-18195.18159293482,32.0
-17328.869973385146,40.0
-36748.74001598495,44.0
-28816.127718355285,40.0
-19039.280325354077,50.0
-36592.66537880285,47.0
-37130.54561675689,39.0
-35748.54504375991,40.0
-32501.547797038635,35.0
-31887.030123000695,47.0
-25226.93569279217,40.0
-23638.719747154588,45.0
-38832.42820858671,50.0
-22084.45835536208,43.0
-21570.77928100913,38.0
-31469.93285184954,40.0
-16926.357318548322,44.0
-23083.903104272493,41.0
-37431.29219190116,50.0
-24142.751975698626,38.0
-16690.67322528664,32.0
-21969.360259825906,44.0
-28995.06476366699,43.0
-23057.162443222216,46.0
-26329.64820450552,30.0
-25869.66374554422,41.0
-22542.011865353765,36.0
-30503.0544679717,48.0
-26203.10556731477,50.0
-40877.115106566765,30.0
-27355.037119983746,39.0
-32674.86237774603,50.0
-33217.92480987256,34.0
-34690.533563177974,44.0
-31756.19366389672,40.0
-34319.58507517743,48.0
-34699.65862414087,47.0
-17477.27769969989,43.0
-31696.072052589032,47.0
-21364.054902770997,37.0
-21955.069615738226,34.0
-27557.185066960483,42.0
-28729.399092337353,33.0
-19361.13564400986,34.0
-32020.01821738414,37.0
-23840.055069581882,42.0
-20989.6723995314,38.0
-24357.044343944595,31.0
-26315.156063357786,35.0
-32904.38262366894,42.0
-28327.448307467395,48.0
-16741.062737124732,32.0
-34913.4243953576,47.0
-31324.465814273106,47.0
-24643.352065466468,49.0
-34167.82833060961,41.0
-26266.789805814446,41.0
-40553.43342052563,32.0
-39023.01614091758,44.0
-36567.2246080028,45.0
-23045.762129317056,42.0
-27610.435096710058,47.0
-25269.50389083322,34.0
-33901.52563773919,33.0
-35525.09039154211,46.0
-19869.859132097088,30.0
-43880.42596083478,50.0
-17493.64347227204,32.0
-26581.1086796325,34.0
-22466.61351013029,48.0
-35441.21780563553,42.0
-32655.39258897854,39.0
-37242.50323138517,48.0
-38585.44062505931,37.0
-19131.326591545007,44.0
-43380.470754980095,38.0
-32880.425182940824,47.0
-40802.2467422669,30.0
-38771.48167544647,31.0
-34235.08868136223,37.0
-30164.551624088344,43.0
-37257.14820319899,48.0
-34096.64847562288,35.0
-28572.0951926436,39.0
-20031.704229482773,49.0
-17498.706842812084,33.0
-28519.303670002693,50.0
-40461.72755278963,43.0
-22179.27617083556,39.0
-24200.7903589361,40.0
-33315.88489321414,41.0
-20152.968965099077,33.0
-23593.033576900758,42.0
-28760.500778879352,47.0
-19935.48908363587,36.0
-33934.29700068016,50.0
-23567.84862945768,32.0
-23697.814544547284,41.0
-24488.300297774043,42.0
-20015.435117656016,42.0
-23286.965548322056,31.0
-32805.474930274606,44.0
-31607.855194685333,38.0
-34124.521260430665,38.0
-23723.76176099517,33.0
-23422.412450932483,45.0
-25040.277629889293,50.0
-33284.63070269166,48.0
-20922.173926357034,45.0
-37974.99419453096,41.0
-22996.786836439438,40.0
-25194.30986287372,37.0
-26495.608471545682,43.0
-18967.243459742313,43.0
-32906.52791241366,42.0
-15595.923276975818,46.0
-26006.708949388463,40.0
-19949.88646185769,32.0
-24149.701223659205,39.0
-28827.057227093566,39.0
-37558.16132703054,49.0
-23615.794395418707,45.0
-22903.99275995343,43.0
-23971.32061310987,32.0
-34951.024234676224,50.0
-24856.34655788912,43.0
-30712.495340904294,44.0
-22083.471784304882,34.0
-16280.555911134583,47.0
-38690.193023618616,47.0
-24820.84939391016,40.0
-22265.50085643446,31.0
-39643.53726013872,43.0
-32386.712739364208,43.0
-18149.42113489645,42.0
-34614.620138708335,46.0
-22935.569703250032,34.0
-31917.765575666468,40.0
-17131.56329754962,31.0
-36592.81123959896,42.0
-17667.16735614381,41.0
-27048.647871332203,30.0
-28336.851488953493,48.0
-24592.207608266577,33.0
-19188.704671069718,40.0
-25142.454828780526,50.0
-21452.201741686025,31.0
-15914.020896727834,40.0
-27092.73638242851,44.0
-36393.784425947335,44.0
-34847.00440868997,35.0
-26545.55701991854,33.0
-23739.77530190979,32.0
-22342.753090209582,35.0
-21275.32834713556,50.0
-17776.011586303943,41.0
-32699.23994713073,42.0
-25787.331841825657,45.0
-21089.134052159174,49.0
-36801.13288991453,35.0
-35213.37167934694,48.0
-33118.46824460874,50.0
-29700.447818946992,40.0
-26215.04794754248,44.0
-31888.81380557554,45.0
-25475.709768191155,39.0
-24141.145470035863,35.0
-35775.20049015316,43.0
-18902.993821136508,45.0
-16498.136481589532,46.0
-31760.081319548146,49.0
-24126.41647285673,37.0
-25498.990501211236,35.0
-21843.888044807143,34.0
-27028.79672183872,36.0
-19560.943119344756,41.0
-25950.31117585249,41.0
-24903.76837979076,31.0
-40442.09411025612,45.0
-31096.71863844701,43.0
-33587.2382435644,31.0
-18177.856802325783,42.0
-23490.06897353833,47.0
-26609.487556364522,32.0
-35306.99695054395,40.0
-38560.36890862882,41.0
-25321.20725820155,36.0
-23043.52428684503,46.0
-18908.34259162932,41.0
-35490.4424064608,50.0
-37977.53488233023,45.0
-24447.743496203802,30.0
-23505.04920923013,39.0
-28725.56654503194,49.0
-36703.234259337114,45.0
-36384.350482469665,50.0
-25417.081983871292,43.0
-18544.258397917438,42.0
-24935.78975201024,39.0
-19358.182194575453,43.0
-16426.5108327767,44.0
-25996.728331803366,46.0
-36927.85309459378,48.0
-30611.639949824807,33.0
-25568.94558702049,42.0
-34975.04214417301,50.0
-18758.109270040353,38.0
-43304.84816584768,34.0
-36733.58645941966,49.0
-39748.17998963261,36.0
-30517.587392638077,35.0
-26544.745542719662,48.0
-18989.965225829103,35.0
-24818.528811764227,45.0
-22585.015880196923,31.0
-31550.863171574838,30.0
-17951.441319244936,33.0
-34144.85211126547,44.0
-27017.131212758766,48.0
-17043.06104528744,35.0
-34028.115807072536,30.0
-29824.88655264509,42.0
-21235.875460348274,36.0
-22176.50218317831,39.0
-15904.44685903991,47.0
-22958.127842095495,43.0
-18733.46404638364,49.0
-32207.338668108023,31.0
-36009.74527077329,34.0
-31639.333201395566,46.0
-25169.201853262286,47.0
-17778.667904258196,42.0
-25022.198493973305,39.0
-32416.170940516007,50.0
-29447.473777423453,36.0
-23264.26479889019,42.0
-35071.65277572242,44.0
-26695.416927939208,42.0
-38356.629369519316,46.0
-25771.744349390792,34.0
-18148.49067014993,48.0
-22333.40851996324,46.0
-23878.4024652924,37.0
-36709.10323187383,49.0
-19294.667248390626,38.0
-18540.288144167203,40.0
-27078.281493816943,30.0
-24037.370747841,35.0
-30892.279915720494,47.0
-20574.30290901512,33.0
-25201.827761626504,35.0
-27192.524957671863,41.0
-23949.49444181974,42.0
-35599.96907882359,37.0
-31764.019001848894,33.0
-29621.59405036147,33.0
-23284.375768833925,48.0
-31843.55922078922,49.0
-30769.202166434865,50.0
-32399.530318657948,39.0
-18372.518807606146,41.0
-33599.303275693834,45.0
-21705.979241546498,42.0
-34867.05946818067,32.0
-30283.4558606422,32.0
-43261.47993795763,42.0
-27860.107649001126,39.0
-25197.338633762047,50.0
-22823.397315127004,42.0
-17606.142662566857,47.0
-22109.89856912088,49.0
-17764.925590821793,35.0
-20662.413122158636,30.0
-23438.198454366193,38.0
-22656.497988404994,48.0
-38704.82620848698,33.0
-25440.857558524986,40.0
-21118.264241824643,38.0
-29144.521505761124,49.0
-18262.089882403656,30.0
-35929.86243840441,47.0
