sal_8_lc2vs0_iate,region
-5247.61237191162,43.0
-5936.081268004897,47.0
-18919.441037239645,61.0
-14707.782499432617,56.0
-16469.15064708127,71.0
-12774.949402169917,68.0
-12053.51819014192,15.0
-14026.353314398892,15.0
-13983.383125352026,12.0
-13134.478561131986,38.0
-29884.652334278322,52.0
-17681.150924771908,49.0
-16609.6116737232,38.0
-11969.49722271879,83.0
-5950.023047619556,53.0
-21467.992990178907,62.0
-11945.720340139294,42.0
-23984.303139984087,77.0
-14270.983694386445,7.0
-31714.984435430924,60.0
-16666.270956639855,83.0
-9190.945167600374,82.0
-16119.659878602992,24.0
-17563.439508625903,22.0
-12709.421738549398,23.0
-17881.349442808172,43.0
-21270.396143409,42.0
-10635.591001845489,4.0
-6349.551233765739,85.0
-25672.877520447033,15.0
-6822.170593997486,7.0
-15317.612865724008,47.0
-7312.44221386747,3.0
-16567.308543593586,58.0
-10771.937303749975,69.0
-23206.795175427615,51.0
-11427.513352134136,19.0
-16042.078033573871,40.0
-17658.06812471561,63.0
-11169.2081233098,30.0
-11499.894941943663,79.0
-13532.379106039434,67.0
-10474.096448959794,77.0
-7399.015417263921,67.0
-21831.30318425617,52.0
-12068.484378545407,43.0
-16817.388918640914,64.0
-8416.273475017142,18.0
-9300.107912582045,45.0
-12865.209168249243,51.0
-7081.880304338444,26.0
-15828.94892623536,14.0
-10728.199476209445,27.0
-13929.317983234097,55.0
-13986.61467723364,17.0
-8806.614629841293,17.0
-31091.26887296683,75.0
-12631.794461756976,60.0
-10562.048830745494,62.0
-19426.966405927375,22.0
-13447.30051696412,47.0
-12487.276177898975,16.0
-16920.067990057403,38.0
-12532.962823379246,5.0
-9913.747962433376,80.0
-13732.531740885568,21.0
-13666.649579562234,33.0
-8937.991690188243,51.0
-11118.370337633278,17.0
-9831.196112755113,77.0
-10573.756448907981,78.0
-28880.51804557306,33.0
-10686.25073508826,9.0
-13103.616710817836,42.0
-17959.01024925051,35.0
-10071.496266680999,64.0
-13782.46557292678,62.0
-16474.894839209068,67.0
-15764.240231078948,33.0
-28745.982583084147,79.0
-17947.466423922444,83.0
-21472.93628477188,61.0
-6541.960065761237,31.0
-11658.795107039548,66.0
-7148.046106287589,36.0
-10323.714508672372,28.0
-9269.578573458639,54.0
-29115.644692828868,39.0
-9615.11726571023,70.0
-8861.114745064175,26.0
-17716.60192563,74.0
-16340.10306184767,2.0
-14684.070456690177,50.0
-7644.129012913625,19.0
-17645.626288756564,49.0
-21284.617047466774,54.0
-13330.575371410054,74.0
-12540.192397054574,23.0
-9402.807187600747,76.0
-9795.936310623623,58.0
-15211.710614927828,68.0
-18920.787376180397,19.0
-14363.490183207621,65.0
-3632.2607362219514,47.0
-11975.5970092164,39.0
-20815.780510225693,25.0
-14272.336117167273,61.0
-10667.303216113622,50.0
-14295.430723840464,47.0
-30380.561068380193,78.0
-7401.089893542667,36.0
-16763.298111027994,71.0
-16441.26604018639,55.0
-18094.53069026472,30.0
-16122.99698257296,35.0
-8268.885028056282,54.0
-10978.461832212246,17.0
-9573.332851260826,48.0
-9182.378284501126,69.0
-16127.620849373467,65.0
-9191.211403168272,23.0
-14354.187389724199,19.0
-31812.54720474514,38.0
-19965.426218763736,5.0
-13745.607386248455,45.0
-9055.757976269148,7.0
-29427.236427341744,17.0
-8861.75391695425,64.0
-11431.90073405658,19.0
-6804.923687760395,11.0
-10640.602832549695,20.0
-19197.80689807979,53.0
-13239.5388726667,1.0
-7698.705860482627,41.0
-8403.83715808361,27.0
-16925.87742997753,70.0
-15443.853765018848,52.0
-26489.770039860963,66.0
-32439.39309977882,9.0
-9836.64184116644,36.0
-17787.756900753466,84.0
-17199.62035261083,74.0
-28787.398711471516,42.0
-13611.636933011727,45.0
-8788.609005349892,26.0
-11707.752520868713,32.0
-28420.892329321316,34.0
-9017.434527057594,56.0
-12893.257218505933,8.0
-7726.069504399047,63.0
-21685.039040158696,9.0
-7890.740356703595,34.0
-7962.82577193678,54.0
-27077.96469273285,1.0
-7457.032934422474,43.0
-14298.479671744848,61.0
-10487.060358118482,66.0
-17149.425189867266,1.0
-13012.514226093313,70.0
-8866.169842147421,17.0
-21995.158342164395,5.0
-11290.039315053966,22.0
-7097.7064944668355,28.0
-18993.60723190813,24.0
-8388.517453040646,9.0
-22343.058481445547,4.0
-6146.817396132015,8.0
-21872.97693888677,54.0
-11145.459436193058,72.0
-10301.771338755809,38.0
-16830.29204857134,68.0
-12785.061973985477,50.0
-19173.380694941086,81.0
-19362.225473852606,68.0
-6088.104218178562,18.0
-9421.5776810159,25.0
-15276.869349586428,37.0
-14599.630791879737,48.0
-14156.733629994702,30.0
-14877.666594340306,50.0
-10112.261997573736,30.0
-13807.378141663183,78.0
-10901.512399812742,44.0
-10117.611447563946,52.0
-6599.896309034922,5.0
-16542.21625910188,47.0
-20199.75050525751,76.0
-10267.98156749343,68.0
-19153.81749064121,30.0
-20288.308055710193,15.0
-18895.14909662037,58.0
-15272.051621049512,74.0
-21392.667758497722,27.0
-17938.086812944384,62.0
-8430.203278028921,27.0
-23031.391593886434,2.0
-12745.25270896825,5.0
-10165.819450001158,40.0
-15900.627311473432,26.0
-8645.217809161126,18.0
-12984.767214183812,20.0
-22678.644256130694,34.0
-12553.461600753013,27.0
-7870.456317975895,56.0
-12354.101538333134,59.0
-15447.242214867216,60.0
-13091.270947482402,47.0
-20604.331757102816,4.0
-14024.604376438143,73.0
-13260.948915050805,4.0
-21352.24126047085,5.0
-14395.630409975365,14.0
-30349.750470750543,42.0
-12881.34391852099,41.0
-16578.238141267084,13.0
-19154.371446922938,74.0
-18229.152669806608,10.0
-15018.185347042197,76.0
-17301.961461203464,12.0
-23990.89839345229,44.0
-11056.504685815651,60.0
-16597.818338926856,17.0
-11770.202353452189,54.0
-13838.215397875067,23.0
-6466.339078840418,19.0
-18629.132361764947,9.0
-8669.234615590054,29.0
-23406.980721640513,52.0
-8639.964150338925,14.0
