sal_avg_lc2vs0_iate,earnx2
-15864.205970432164,0.0
-23079.448995073464,0.0
-29980.728530193803,0.0
-24688.088857980358,0.0
-31388.185946603175,0.0
-20256.99488073739,0.0
-22349.18153309972,0.0
-26320.581606197768,540.5292221533524
-20451.587675426443,0.0
-29148.24776182525,0.0
-38144.07840543258,0.0
-34420.33433947743,0.0
-34014.21011732534,1228.7335340854088
-25751.841320138214,0.0
-19017.880398452955,0.0
-37529.31505820888,0.0
-19002.558243310148,0.0
-35221.078551990446,0.0
-22080.246827442385,965.8503379932461
-40477.26435406655,1502.7000496557
-32631.565265711703,743.4988660048341
-19029.637836701866,0.0
-25133.88863809759,1567.4865435882898
-35685.88729597314,0.0
-32132.181345698245,731.6847828549727
-35658.35592889748,0.0
-32906.85495893863,0.0
-20027.126965255993,0.0
-16803.655804456095,0.0
-37532.45800406931,702.8414013080481
-22628.976207526175,0.0
-34450.50266845961,0.0
-23602.634960387208,1337.9946573057587
-30033.768250542795,0.0
-22920.06735976659,0.0
-31118.17147493957,1054.856986464721
-28262.537217533867,0.0
-31267.820384304137,0.0
-27346.607552115333,0.0
-27840.617332642338,0.0
-21286.91925297545,0.0
-35554.09421811897,1710.275913025411
-25175.513159132886,0.0
-29945.455455607786,1188.2006749697766
-39743.946746744026,941.0107736229702
-28561.97126563842,0.0
-37970.696472985794,955.4429418040424
-20797.493768935372,0.0
-16587.560257676156,0.0
-32467.551917727505,881.809880102695
-16797.45793660828,0.0
-36442.701887527655,0.0
-22117.836148699236,0.0
-31444.208516263105,1129.902604299713
-26732.55288146377,870.2730383209896
-22716.21258301172,0.0
-40530.335543376525,0.0
-22488.577185024587,1131.9066236985716
-24790.52119555723,0.0
-30140.401536619498,0.0
-22918.038176249705,1590.0336091143665
-19354.2682377322,0.0
-36142.39037368832,0.0
-20393.140922095776,0.0
-22293.437439738034,0.0
-31295.082571578598,1079.2784244259665
-20101.573967742443,0.0
-19162.339039629573,0.0
-19787.295356166607,0.0
-22906.174107165858,0.0
-21052.519176178295,0.0
-38808.083536728314,0.0
-29810.166558622735,699.3713044043346
-22473.918470213837,0.0
-33507.6777368417,0.0
-31829.88030844733,806.2559022403984
-25237.679579268894,0.0
-23104.06811251522,0.0
-22081.196016998805,0.0
-37979.59917015616,1725.9521238724642
-34995.76349042947,890.8636534716501
-35589.45086212165,853.423201710562
-20697.770723661884,0.0
-32505.44856494393,0.0
-21932.254878575317,0.0
-23593.643836757004,0.0
-16964.106502578437,0.0
-40543.480172651165,0.0
-19312.650246493686,0.0
-27796.37787547359,0.0
-27500.613598387805,518.4271933300842
-24554.776336625437,0.0
-32520.850206108233,663.1543926878377
-16824.3416484617,0.0
-32587.980088671226,0.0
-33517.881293729515,2196.159451190892
-26051.360891609707,0.0
-23858.333984706318,0.0
-18213.954066905673,311.2415988003016
-25018.62057182721,1942.8596076604335
-31973.254868333148,1181.1751560047758
-35597.44858835732,0.0
-30801.491600067886,0.0
-18517.99639929902,0.0
-19336.999958295182,0.0
-35771.97619704387,1339.908367683414
-28047.425979227,0.0
-26816.526757330066,0.0
-23052.68690393554,0.0
-41541.860191256535,1311.9220553104692
-21184.673942052552,444.8740323812552
-31321.40901921955,0.0
-21758.202718630913,299.6053507362125
-28290.439951831286,0.0
-31379.829617112973,2118.5710349919664
-17740.478161094485,609.0351908202622
-25219.908194808293,561.008285187817
-22698.61776282266,0.0
-23497.426577564478,504.2597188884076
-36416.25610045083,0.0
-28089.385360127693,0.0
-32292.973612899194,0.0
-39394.277618404754,0.0
-27800.13499521257,861.9848112305598
-24117.97214953949,0.0
-24164.365092577507,1698.4077882800043
-41387.434144411345,0.0
-22229.331040858433,0.0
-30129.40381875647,721.524386536471
-23602.031188310528,859.8088860190923
-19842.36749894056,332.4102956762794
-29278.500201664618,0.0
-32732.50450526743,0.0
-19273.658504711166,0.0
-18726.105606477242,0.0
-27787.11607748128,0.0
-31757.031939499524,0.0
-36728.32676921324,1154.3587908605257
-44654.11089912646,0.0
-18697.986172396817,0.0
-31167.304647128407,0.0
-19442.441566890473,0.0
-39858.75207249119,0.0
-25402.61090019598,881.927705688603
-29231.153979537186,0.0
-28908.49115848022,2689.1307379420623
-40519.35153550848,0.0
-19653.81535104702,0.0
-25598.366306086395,0.0
-18027.883660542495,986.3818207133024
-37025.31401092086,1996.1352707668302
-18331.479572558477,0.0
-19665.172037170156,0.0
-42559.25047957989,2294.667515159643
-17812.705321016252,0.0
-24253.10511009582,0.0
-24088.1410603907,0.0
-29746.65807414698,0.0
-20911.549837833976,380.2336114847665
-21205.737461221564,0.0
-38413.41338272876,1611.6593270153612
-30563.87614973414,0.0
-17554.9509269246,0.0
-34304.465791764655,0.0
-23598.64687781509,564.4668643344776
-37357.06098449345,0.0
-23786.07286480303,0.0
-37441.53275477267,0.0
-29253.647334505702,1686.7967543562195
-25974.53942217344,0.0
-32316.80527833054,1678.7776393547206
-21683.76475825447,1034.3537427297526
-37214.43664300066,3766.7191105159764
-34602.88070396159,0.0
-23168.017431625478,0.0
-21328.45391613416,0.0
-25073.88161590329,0.0
-30601.33798280394,0.0
-22358.930546578857,0.0
-34188.16782354881,688.8488494225033
-17291.565221853918,0.0
-25834.296744942858,890.8794574994383
-24794.078522268366,0.0
-18195.18159293482,0.0
-17328.869973385146,0.0
-36748.74001598495,0.0
-28816.127718355285,0.0
-19039.280325354077,2109.7299584745024
-36592.66537880285,0.0
-37130.54561675689,0.0
-35748.54504375991,0.0
-32501.547797038635,1871.7443480847087
-31887.030123000695,0.0
-25226.93569279217,0.0
-23638.719747154588,1667.9300071817222
-38832.42820858671,0.0
-22084.45835536208,450.9625765324758
-21570.77928100913,0.0
-31469.93285184954,0.0
-16926.357318548322,270.17596490335
-23083.903104272493,0.0
-37431.29219190116,0.0
-24142.751975698626,0.0
-16690.67322528664,299.1459826495919
-21969.360259825906,0.0
-28995.06476366699,1039.333107255059
-23057.162443222216,0.0
-26329.64820450552,0.0
-25869.66374554422,0.0
-22542.011865353765,0.0
-30503.0544679717,0.0
-26203.10556731477,0.0
-40877.115106566765,0.0
-27355.037119983746,630.827006917535
-32674.86237774603,0.0
-33217.92480987256,1072.93208637974
-34690.533563177974,1853.6994765604766
-31756.19366389672,0.0
-34319.58507517743,919.9576490673018
-34699.65862414087,0.0
-17477.27769969989,0.0
-31696.072052589032,0.0
-21364.054902770997,0.0
-21955.069615738226,1197.1684393941343
-27557.185066960483,0.0
-28729.399092337353,0.0
-19361.13564400986,564.5306313240284
-32020.01821738414,0.0
-23840.055069581882,1605.0280404738737
-20989.6723995314,1065.4622500552975
-24357.044343944595,930.313636965405
-26315.156063357786,989.448420671538
-32904.38262366894,0.0
-28327.448307467395,2395.796622152421
-16741.062737124732,0.0
