earn_x0_lc1vs0_iate,region
156.31912368004288,43.0
-47.76277221922166,47.0
-94.12342565483794,61.0
-32.3021317934352,56.0
20.55188541546346,71.0
98.85411149889494,15.0
107.55755648585146,15.0
148.8866448975196,12.0
61.620340973228195,38.0
104.93306696480042,52.0
-5.046819628973992,49.0
38.16473645240555,38.0
-230.9205347631026,53.0
-35.547851072027925,62.0
-4.357292290932492,42.0
43.080419372131935,77.0
-131.21239859747516,7.0
21.731350498068252,60.0
-233.06400975005874,83.0
124.52862335858794,82.0
100.75433173966576,24.0
24.44136683007048,22.0
-179.10267702672058,23.0
-33.13111285458024,43.0
87.49323845482243,42.0
179.40237848106366,4.0
-52.28638034936682,85.0
117.64631544369661,15.0
176.74290005294196,7.0
-15.10715456898265,47.0
-31.101214389273906,3.0
-310.58022292638395,58.0
207.2129649507325,69.0
67.4470253846752,51.0
-47.18049328134481,19.0
95.21561559652822,40.0
96.16699170979265,63.0
59.19961771370559,30.0
30.200116893416748,79.0
-117.82342489869063,67.0
120.20071311712506,77.0
-23.39966194158803,67.0
-183.47141871940153,52.0
103.0223635919354,43.0
-70.46416212728364,64.0
38.259240138067014,18.0
-27.404257655357668,45.0
102.77538867377054,51.0
26.220581776212526,26.0
-102.82592152520888,14.0
-48.514664541160776,27.0
52.61139816906416,55.0
73.34866058218162,17.0
-41.11811762613917,17.0
6.240226835397067,75.0
99.550141016878,60.0
-11.720932893692398,62.0
139.02958171341848,22.0
-34.74784076215728,47.0
-92.42299417894748,16.0
-20.00575947475454,38.0
-56.78163883495472,5.0
125.22675959712392,80.0
33.80834253637862,21.0
-24.261393014058513,33.0
186.75901694929672,51.0
-72.65726563751952,17.0
156.54934069092633,77.0
83.69270933456568,78.0
63.04624448111855,33.0
32.4868147078149,9.0
62.64775220437883,42.0
-141.95913301177043,35.0
-74.85538156002531,64.0
-52.930007458455464,62.0
-13.274189779066305,67.0
-151.50904976551905,33.0
-21.836899437974694,79.0
-136.10268705194005,83.0
-101.7459468463145,61.0
86.21257534758365,31.0
80.8653008687009,66.0
66.35683643063298,36.0
-89.66075783670718,54.0
119.52613323279047,39.0
-81.85306634897414,70.0
91.61203386126823,26.0
96.58908308359173,74.0
-103.37299217080448,50.0
-33.84359539908871,19.0
98.43154338080635,45.0
-62.80998482316997,49.0
-0.6461359340675621,54.0
140.6974357759836,74.0
65.43016836373249,23.0
-132.33240237006572,76.0
29.032494610366882,58.0
-7.300282536895736,68.0
-14.832467786150232,19.0
-7.4287865748784725,65.0
13.2622999086434,47.0
-50.2327254303209,39.0
-17.334487532156288,25.0
261.3492666033748,61.0
25.1000906266312,50.0
74.93645004603542,47.0
-107.14381481293134,78.0
-149.73050108837484,36.0
102.55452996641895,71.0
53.06285492509363,55.0
-13.075441206595372,30.0
93.7057183795166,35.0
-154.08419270067077,54.0
-61.564409760087564,17.0
106.60861484332915,48.0
76.40174950937755,69.0
-109.97658175468723,65.0
-175.16077774393455,23.0
106.14772958963366,19.0
96.04762443976924,38.0
94.88088704776254,5.0
144.71035164509317,45.0
21.490350761466402,7.0
57.06664885117982,17.0
3.690018453418986,64.0
-54.8737177062396,19.0
-40.86503388231847,11.0
-33.33825300743844,20.0
46.352956059578844,53.0
-44.977325575706345,1.0
73.99957670851137,41.0
-47.84952722260209,27.0
45.89632281530706,70.0
-29.294846519995456,52.0
34.489808750312164,66.0
28.336145453559425,9.0
-23.24800343092312,36.0
3.1562663577578007,84.0
-56.98706436562114,74.0
68.53999472680096,42.0
37.97949079144935,45.0
-1.8373966917229723,26.0
-26.199460302647452,32.0
-72.18147994947243,34.0
105.54264923661964,56.0
20.56428362661741,8.0
-12.466829661855684,63.0
-3.299533119823252,9.0
98.64089826806787,34.0
69.45724421524989,54.0
10.871130692300426,1.0
53.48936656383853,43.0
-27.0058257653667,61.0
