earn_x0_lc2vs0_iate,lmp_cw
402.61869073504147,3.0
366.0100724439353,3.0
163.8518999549147,2.0
296.89686479473323,4.0
176.4278736922687,3.0
520.9404115534439,3.0
389.0508508547497,3.0
314.98864408537213,4.0
160.44918410335296,3.0
181.1053914497443,2.0
87.15588390627511,3.0
87.00624820264386,3.0
185.5783285605771,4.0
79.79599521132161,3.0
297.9929767378393,2.0
137.46607725225033,3.0
247.31665372288555,1.0
157.71967612483422,1.0
447.7048995409559,1.0
390.13713693149646,4.0
259.00225868964753,4.0
46.50696629488766,3.0
172.91537985940738,4.0
245.9612133025576,4.0
252.56719883045682,3.0
344.4549021950641,1.0
364.08901457277244,4.0
217.19876985209783,3.0
198.31551701605414,3.0
122.17094534587318,1.0
301.4181478258839,1.0
67.08348904212573,4.0
315.3018547576386,2.0
84.64366400657397,4.0
200.12884786676256,3.0
67.49240935784307,4.0
199.1054902780786,2.0
241.07530876343623,4.0
269.14734737689673,4.0
7.555602283883104,4.0
400.1005354285779,3.0
132.99515649976325,1.0
-24.967151808784593,3.0
88.88604854023309,1.0
309.3232911041556,1.0
6.803231120547196,2.0
181.69455770506966,4.0
363.60250603239234,1.0
392.47704816335784,4.0
217.4648409051372,4.0
198.49686863041967,4.0
208.7559482436707,1.0
167.9478891268436,1.0
187.81554013011157,1.0
148.72327564199637,1.0
311.75524382163326,3.0
142.61480803941663,4.0
209.51868748524294,3.0
338.387729667707,1.0
221.38059597129808,1.0
65.34130368694866,4.0
124.51866729395871,4.0
422.9669392882884,4.0
133.86546316805394,1.0
313.66997541030685,3.0
340.4179413427343,1.0
228.61559251196803,4.0
311.5524664352671,3.0
463.0142686127832,1.0
125.0197672540038,4.0
158.16017258704585,2.0
222.48568765556837,4.0
115.6100756842153,3.0
313.96397046859516,1.0
18.66921270476908,4.0
229.65042773086665,4.0
197.771345164454,2.0
47.23410477642199,2.0
104.84165267656712,2.0
357.90698652512833,3.0
303.6996304248426,1.0
136.22639727804966,1.0
229.0580255014072,3.0
369.51649657820246,2.0
27.49908833161328,4.0
366.75151147316257,3.0
441.51364741509235,1.0
152.13491418642184,1.0
135.24382020303187,4.0
306.1772110215108,1.0
254.17728659383437,2.0
280.55004763435113,2.0
178.93274676602618,1.0
117.29114606225002,1.0
124.8665603515255,4.0
359.80794478110056,1.0
84.98544199086425,1.0
165.84306467943082,1.0
109.64503650781728,1.0
146.74019879848922,3.0
368.01530665870973,3.0
325.8495435417833,1.0
-26.361016166624893,1.0
116.33920930276079,2.0
317.8837612823156,2.0
505.6617235873639,1.0
-2.2733054729034734,3.0
234.67382534898525,2.0
244.43941967301612,4.0
381.57029569151484,2.0
125.6921243432688,2.0
185.4005322692725,4.0
67.71145622202295,1.0
140.69754329151453,1.0
426.222502511348,4.0
156.1653547449095,3.0
-30.27439747304868,4.0
105.42686062002,2.0
103.84252368528394,4.0
174.1130053566383,3.0
165.97991406161688,1.0
497.177163855852,4.0
153.08892373356437,1.0
94.79256953157926,2.0
290.4133318400806,2.0
97.27040452183832,4.0
192.86804834893394,1.0
342.696026950566,3.0
290.1987328032491,4.0
47.98883166490941,4.0
377.330470930885,3.0
240.09609706119426,4.0
107.82357832707424,3.0
149.47240411986186,3.0
15.824284030847934,1.0
42.682811049945485,3.0
381.9070795811854,3.0
178.49516117961394,4.0
140.19827262283036,3.0
78.30135617481835,2.0
122.29830008611549,3.0
200.01583776166478,2.0
223.99290645574288,3.0
88.74764315345824,2.0
453.92102781419123,3.0
163.69594761525258,4.0
317.4607551799055,3.0
142.45304812785145,3.0
240.41486042402988,4.0
354.92941692532486,1.0
-80.40801446225566,4.0
96.40326342945428,4.0
373.76938832674017,4.0
-59.77753456770467,4.0
264.86829740756673,3.0
321.38861178441243,2.0
27.361643489165544,4.0
138.6910328137334,2.0
77.29043950227617,2.0
376.9674999400562,4.0
44.98990574416166,3.0
90.53178378284409,3.0
139.12402871353356,1.0
284.1018261269279,4.0
294.3994760438756,1.0
164.227664018221,1.0
276.3745147857674,3.0
71.5737627660493,3.0
224.82759926436634,4.0
