earn_x0_lc1vs0_iate,unem_x0
23.78527665531658,23.0
-22.50828681940889,16.0
-22.601612232263022,4.0
-16.087916876895328,8.0
-6.1919856964122175,22.0
-5.552825662473424,20.0
-24.471484055019687,2.0
-8.032845525292473,20.0
-2.246078249687514,22.0
8.322979550908695,13.0
1.1924326635043485,11.0
-13.577385574935136,21.0
-49.51418056773085,7.0
-20.70744351553887,15.0
-37.7255884456215,23.0
-99.34538689358862,14.0
-20.416265855803772,7.0
7.5143400419796365,19.0
-23.492332296038796,14.0
-37.664103420173205,12.0
-48.69692444108318,22.0
-14.309769617743768,24.0
-12.019441379588017,16.0
-126.86582173377269,22.0
-45.529567160823206,13.0
-68.39780746469978,23.0
-1.5525405094400497,2.0
13.588847426484222,23.0
-7.978580304243565,21.0
-5.483599822904807,2.0
17.851289805601695,3.0
-90.24419529275735,12.0
-15.696515625834024,23.0
-41.47631303637661,10.0
-3.1150487975052457,23.0
12.707457374225072,9.0
-14.53631504753055,2.0
-10.5396161943154,5.0
10.082031911666894,7.0
-7.590198447384267,23.0
-17.735631854250727,7.0
-90.75435476857695,10.0
-24.808900890765187,19.0
-10.32519506318603,12.0
-131.83294644516104,19.0
26.64076422206979,3.0
-123.68731342853926,12.0
-15.306129075933768,4.0
3.5602461991422842,16.0
-65.69275096410843,10.0
-12.537893646453085,13.0
-93.49139060611333,21.0
-20.20504620042528,18.0
13.161769065211764,2.0
20.80116197197873,3.0
-26.17080608616829,20.0
-55.802123978159415,24.0
-14.946220208994447,20.0
-15.468169404355514,1.0
-16.115089949227155,21.0
-3.448112722697516,13.0
2.2849224926960687,19.0
-61.4752007074452,14.0
9.718157270027405,17.0
5.382679534768393,1.0
5.634064502767316,22.0
10.297376289350154,8.0
27.729066760331136,8.0
-48.53576416559628,4.0
-9.195977512400956,10.0
5.270941541251716,6.0
-19.80981954578715,23.0
14.143360292550465,1.0
-12.504267510507333,18.0
-61.41003918691098,14.0
-52.19811663740927,8.0
-0.8649235917726541,19.0
-28.41304017779862,16.0
-22.98555958796493,19.0
1.724201517918953,2.0
-74.74429398033817,10.0
-54.3766478200979,0.0
-4.9535900207475265,16.0
-61.71148548144504,2.0
0.28019519651680724,23.0
-19.414149937986807,12.0
-27.01703105987076,20.0
-22.552808693825625,5.0
27.455016923528888,14.0
-16.25573404749727,2.0
21.403605764849786,14.0
-20.09196142508845,12.0
-15.575769292967315,11.0
9.337599860441571,20.0
-6.202268429730111,10.0
11.09936174592788,13.0
37.74083034651292,17.0
0.3648775138140081,7.0
-46.39992585527784,10.0
12.506241369612269,2.0
-9.732903052976187,17.0
-70.36455133872164,2.0
-6.763382272416123,9.0
-14.56506235098999,12.0
-29.343713131197433,12.0
-57.12872745414029,13.0
69.5669080127877,12.0
-17.708142374198573,13.0
-6.868591009983987,12.0
