earn_x0_lc2vs0_iate,unem_x0
402.61869073504147,23.0
366.0100724439353,16.0
163.8518999549147,4.0
296.89686479473323,8.0
176.4278736922687,22.0
520.9404115534439,2.0
389.0508508547497,20.0
314.98864408537213,22.0
160.44918410335296,13.0
181.1053914497443,11.0
87.15588390627511,21.0
87.00624820264386,7.0
185.5783285605771,23.0
79.79599521132161,14.0
297.9929767378393,7.0
137.46607725225033,19.0
247.31665372288555,14.0
157.71967612483422,12.0
447.7048995409559,22.0
390.13713693149646,24.0
259.00225868964753,16.0
46.50696629488766,22.0
172.91537985940738,13.0
245.9612133025576,23.0
252.56719883045682,2.0
344.4549021950641,23.0
364.08901457277244,21.0
217.19876985209783,2.0
198.31551701605414,3.0
122.17094534587318,12.0
301.4181478258839,23.0
67.08348904212573,10.0
315.3018547576386,23.0
84.64366400657397,9.0
200.12884786676256,2.0
67.49240935784307,5.0
199.1054902780786,7.0
241.07530876343623,23.0
269.14734737689673,7.0
7.555602283883104,10.0
400.1005354285779,19.0
132.99515649976325,12.0
-24.967151808784593,19.0
88.88604854023309,3.0
309.3232911041556,12.0
6.803231120547196,4.0
181.69455770506966,16.0
363.60250603239234,10.0
392.47704816335784,13.0
217.4648409051372,21.0
198.49686863041967,18.0
208.7559482436707,2.0
167.9478891268436,3.0
187.81554013011157,20.0
148.72327564199637,24.0
311.75524382163326,20.0
142.61480803941663,1.0
209.51868748524294,21.0
338.387729667707,13.0
221.38059597129808,19.0
65.34130368694866,14.0
124.51866729395871,17.0
422.9669392882884,1.0
133.86546316805394,22.0
313.66997541030685,8.0
340.4179413427343,8.0
228.61559251196803,4.0
311.5524664352671,10.0
463.0142686127832,6.0
125.0197672540038,23.0
158.16017258704585,1.0
222.48568765556837,18.0
115.6100756842153,14.0
313.96397046859516,8.0
18.66921270476908,19.0
229.65042773086665,16.0
197.771345164454,19.0
47.23410477642199,2.0
104.84165267656712,10.0
357.90698652512833,0.0
303.6996304248426,16.0
136.22639727804966,2.0
229.0580255014072,23.0
369.51649657820246,20.0
27.49908833161328,5.0
366.75151147316257,14.0
441.51364741509235,2.0
152.13491418642184,14.0
135.24382020303187,11.0
306.1772110215108,20.0
254.17728659383437,10.0
280.55004763435113,10.0
178.93274676602618,13.0
117.29114606225002,17.0
124.8665603515255,7.0
359.80794478110056,10.0
84.98544199086425,2.0
165.84306467943082,17.0
109.64503650781728,2.0
146.74019879848922,9.0
368.01530665870973,12.0
325.8495435417833,12.0
-26.361016166624893,13.0
116.33920930276079,12.0
317.8837612823156,13.0
505.6617235873639,12.0
-2.2733054729034734,22.0
234.67382534898525,11.0
244.43941967301612,18.0
381.57029569151484,9.0
125.6921243432688,19.0
185.4005322692725,17.0
67.71145622202295,11.0
140.69754329151453,12.0
426.222502511348,10.0
156.1653547449095,23.0
-30.27439747304868,10.0
105.42686062002,21.0
103.84252368528394,14.0
174.1130053566383,10.0
165.97991406161688,11.0
