earn_x0_lc1vs0_iate,lmp_cw
23.78527665531658,3.0
-22.50828681940889,3.0
-22.601612232263022,2.0
-16.087916876895328,4.0
-6.1919856964122175,3.0
-5.552825662473424,4.0
-24.471484055019687,3.0
-8.032845525292473,3.0
-2.246078249687514,4.0
8.322979550908695,3.0
1.1924326635043485,2.0
-13.577385574935136,3.0
-49.51418056773085,3.0
-20.70744351553887,4.0
-37.7255884456215,4.0
-99.34538689358862,3.0
-20.416265855803772,2.0
7.5143400419796365,3.0
-23.492332296038796,1.0
-37.664103420173205,1.0
-48.69692444108318,1.0
-14.309769617743768,4.0
-12.019441379588017,4.0
-126.86582173377269,3.0
-45.529567160823206,4.0
-68.39780746469978,4.0
-1.5525405094400497,3.0
13.588847426484222,1.0
-7.978580304243565,4.0
-5.483599822904807,3.0
17.851289805601695,3.0
-90.24419529275735,1.0
-15.696515625834024,1.0
-41.47631303637661,4.0
-3.1150487975052457,2.0
12.707457374225072,4.0
-14.53631504753055,3.0
-10.5396161943154,4.0
10.082031911666894,2.0
-7.590198447384267,4.0
-17.735631854250727,4.0
-90.75435476857695,4.0
-24.808900890765187,3.0
-10.32519506318603,1.0
-131.83294644516104,3.0
26.64076422206979,1.0
-123.68731342853926,1.0
-15.306129075933768,2.0
3.5602461991422842,4.0
-65.69275096410843,1.0
-12.537893646453085,4.0
-93.49139060611333,4.0
-20.20504620042528,4.0
13.161769065211764,1.0
20.80116197197873,1.0
-26.17080608616829,1.0
-55.802123978159415,1.0
-14.946220208994447,3.0
-15.468169404355514,4.0
-16.115089949227155,3.0
-3.448112722697516,1.0
2.2849224926960687,1.0
-61.4752007074452,4.0
9.718157270027405,4.0
5.382679534768393,4.0
5.634064502767316,1.0
10.297376289350154,3.0
27.729066760331136,1.0
-48.53576416559628,4.0
-9.195977512400956,3.0
5.270941541251716,1.0
-19.80981954578715,4.0
14.143360292550465,2.0
-12.504267510507333,4.0
-61.41003918691098,3.0
-52.19811663740927,1.0
-0.8649235917726541,4.0
-28.41304017779862,4.0
-22.98555958796493,2.0
1.724201517918953,2.0
-74.74429398033817,2.0
-54.3766478200979,3.0
-4.9535900207475265,1.0
-61.71148548144504,1.0
0.28019519651680724,3.0
-19.414149937986807,3.0
-27.01703105987076,2.0
-22.552808693825625,4.0
27.455016923528888,3.0
-16.25573404749727,1.0
21.403605764849786,1.0
-20.09196142508845,4.0
-15.575769292967315,4.0
9.337599860441571,1.0
-6.202268429730111,2.0
11.09936174592788,1.0
37.74083034651292,1.0
0.3648775138140081,4.0
-46.39992585527784,1.0
12.506241369612269,1.0
-9.732903052976187,1.0
