sal_9_lc2vs0_iate,region
7870.874531802361,43.0
12888.31944530725,47.0
533.8423601638269,61.0
-1375.4042867302232,56.0
2326.3934122477804,71.0
2189.1032991588672,68.0
6308.470549369706,15.0
7422.200161121675,15.0
2768.0959296571205,12.0
5783.823272553664,38.0
-6503.029360579615,52.0
5259.3681964328125,49.0
4258.426784341282,38.0
7442.142983665519,83.0
11407.064320834665,53.0
-1510.5974733271505,62.0
4786.14573972855,42.0
268.3029150048028,77.0
2812.5133056065756,7.0
-14299.216998691398,60.0
3938.741170963348,83.0
9903.44204291061,82.0
-468.4642055409877,24.0
1014.4725232456653,22.0
3490.8978086337133,23.0
-990.3984104745601,43.0
-3846.847991681564,42.0
485.3361923592802,4.0
10165.330203671287,85.0
-2799.1980315123237,15.0
11917.406228366232,7.0
618.919179521431,47.0
10810.338397599466,3.0
4113.437234271604,58.0
7502.008570958752,69.0
-520.5007288973547,51.0
8497.136296901012,19.0
3131.4967945946537,40.0
-3894.2167515392657,63.0
10345.932455492191,30.0
8109.949834620071,79.0
690.9116503369573,67.0
11306.908387927857,77.0
10928.188097720822,67.0
-7337.379980962282,52.0
3026.6548330390156,43.0
-3217.6829752884596,64.0
4691.455642526188,18.0
9828.21458093688,45.0
4783.484859219516,51.0
10922.347453858445,26.0
5038.277976958487,14.0
5364.634809299792,27.0
3858.4404426667516,55.0
-1887.945701426513,17.0
7727.8570152035845,17.0
-7451.419736903625,75.0
3144.7516062357986,60.0
8544.08065323127,62.0
1473.3046484063975,22.0
286.298469813838,47.0
4298.421442218056,16.0
1449.7054672341164,38.0
2458.021568123583,5.0
5939.140853150056,80.0
8188.651597377381,21.0
-1372.7021021247892,33.0
7066.150737845893,51.0
8803.631433103268,17.0
10679.729853334135,77.0
1758.6255096828063,78.0
-3623.536330502404,33.0
9521.298228434052,9.0
-2659.213659020679,42.0
1967.864350795117,35.0
9877.034288757306,64.0
6898.648807185147,62.0
-1569.7050754635657,67.0
-2376.735042950807,33.0
-8544.735303795649,79.0
7165.6263531346785,83.0
-317.2154252374339,61.0
6737.147800886677,31.0
9612.428422419647,66.0
12191.632820418621,36.0
11340.004034195721,28.0
5728.328925326716,54.0
-2174.638691540855,39.0
1283.1444527377844,70.0
10608.865448603174,26.0
-3799.0736535541355,74.0
553.4506746018214,2.0
2023.9012182450292,50.0
7551.769632087732,19.0
4051.417988673548,49.0
-2934.424393040462,54.0
3214.2508965920197,74.0
3946.29193895205,23.0
6056.6358186027555,76.0
