sal_5_lc2vs0_iate,sex
-28715.249686179264,2.0
-41565.501973125996,2.0
-45772.818142885895,2.0
-38092.49604391926,1.0
-51264.53570445512,2.0
-31427.586397243245,1.0
-36321.626581250726,2.0
-42925.453129004156,2.0
-31801.108059058468,1.0
-48508.64573304874,2.0
-55624.60451616281,1.0
-55007.17634090209,2.0
-54994.699906349895,2.0
-42397.75749511925,2.0
-33971.06470117067,2.0
-57449.96176534514,2.0
-30471.792955020854,2.0
-53774.37312790059,1.0
-34413.43164460671,1.0
-56979.30476848637,1.0
-54862.498398136726,1.0
-32576.349227631345,2.0
-38390.6195125575,1.0
-58376.53989406924,2.0
-54424.272960833405,2.0
-56812.901297699864,2.0
-49155.88018186944,1.0
-31572.91769448224,1.0
-29560.64817528914,2.0
-55984.47487845683,1.0
-40860.47167776922,2.0
-56830.632379196046,2.0
-41598.787718314146,2.0
-48573.57234004096,2.0
-38769.7440509272,2.0
-46115.905968485546,1.0
-47968.37160784687,2.0
-50631.544597811204,2.0
-40771.60620038542,1.0
-47538.03513272312,2.0
-35389.99247527305,2.0
-57539.13597286692,2.0
-42903.002437973424,2.0
-52052.518781298415,2.0
-62298.25660100421,1.0
-47785.32682037818,2.0
-60560.801472904,1.0
-35776.19187495491,2.0
-28610.462477439338,2.0
-55915.250933526826,2.0
-30129.517317308568,2.0
-62057.930504667485,1.0
-36999.9345642201,1.0
-52017.118172786984,2.0
-41302.55900192101,1.0
-38780.59998374518,2.0
-58994.0473697041,1.0
-36280.97437566454,2.0
-41931.338440805936,2.0
-47371.27750761547,2.0
-35760.5629610708,1.0
-30304.7843919838,2.0
-59684.60426132793,2.0
-32283.378069454506,2.0
-37197.107334372784,1.0
-51444.74602776311,2.0
-30302.800736185134,1.0
-32305.166432921542,2.0
-32455.52418078969,2.0
-39599.358166024,2.0
-33856.77366023425,1.0
-57827.23328703434,1.0
-51422.9465144251,2.0
-33738.8754441185,1.0
-54932.46906915153,2.0
-54766.726933848535,2.0
