sal_6_lc2vs0_iate,unem_x0
-24175.49952887165,23.0
-37644.306245692795,16.0
-41774.24885514537,4.0
-33907.70380927214,8.0
-42734.5016392938,22.0
-28256.048735470613,20.0
-33525.43909255674,2.0
-38386.15852157819,20.0
-28922.21267130518,22.0
-42930.72263612295,13.0
-49889.004325146045,11.0
-49697.368101668486,21.0
-48631.796164722735,7.0
-38963.88178028837,15.0
-30453.211026623034,23.0
-45703.173919374734,14.0
-27526.60382064696,7.0
-48369.575924528755,19.0
-30994.778630340537,14.0
-48887.46672207018,12.0
-45485.61834542888,22.0
-29956.69873805999,24.0
-35958.05474157458,16.0
-47727.25408362625,22.0
-45547.68203741657,13.0
-49336.160620156275,23.0
-44006.96607443006,2.0
-28746.232083108007,23.0
-26725.36900565235,21.0
-49844.62249313058,2.0
-34993.810378004586,3.0
-46933.609250371825,12.0
-38238.125144517304,23.0
-43118.61631691102,10.0
-34715.69681904313,23.0
-43306.858702936275,9.0
-42932.2512256228,2.0
-43760.05935382309,5.0
-36456.04356933512,7.0
-43460.075069463026,23.0
-32804.577091062376,7.0
-50095.18654631159,10.0
-40227.7906430085,19.0
-47496.92463854348,12.0
-50793.36457817829,19.0
-39838.197843851354,3.0
-48736.61675234159,12.0
-30380.601656884406,4.0
-25765.44589624832,16.0
-44451.463547010135,10.0
-27071.744359408982,13.0
-52616.62268830852,21.0
-32766.281007559654,18.0
-43637.05108317953,2.0
-37385.71304727884,3.0
-34893.187587386914,20.0
-54168.18276761321,24.0
-32226.48807958665,20.0
-37546.74613259119,1.0
-42173.35564754839,21.0
-32231.02645220509,13.0
-27745.50501997089,19.0
-44816.62856405995,14.0
-28552.125681694313,17.0
-34321.14290346238,1.0
-46466.44725565084,22.0
-26610.308041934426,8.0
-28978.79579667786,8.0
-30801.312837164383,4.0
-35727.48637397886,10.0
-30472.448577481337,6.0
-52496.91604240361,23.0
-44413.075345613484,1.0
-30634.99313903517,18.0
-45868.11240390013,14.0
-47756.72323454429,8.0
-37086.55974600767,19.0
-31441.539008799526,16.0
-28948.368448043933,19.0
-50926.39927797951,2.0
-49471.26665671471,10.0
-47430.628552300725,0.0
-30083.067410572563,16.0
-48478.117179467736,2.0
-35871.94100089845,23.0
-37563.28034263325,12.0
-23707.892965082465,20.0
-55013.9607892666,5.0
-26933.380652613858,14.0
-42432.77442821894,2.0
-36693.285560292585,14.0
-34466.385349774486,12.0
-44786.25271410722,11.0
-25079.710568834922,20.0
-46624.17207177593,10.0
-46233.45156641846,13.0
-35299.52875955108,17.0
-35808.700071558545,7.0
-26464.620291275576,10.0
-36561.3832011536,2.0
-46942.1852264604,17.0
-46674.430417963464,2.0
-44876.277831677835,9.0
-30663.01927852461,12.0
-27835.297745203658,12.0
-47036.156686293805,13.0
-41252.58504182754,12.0
-41706.08515700768,13.0
-30917.916080956824,12.0
-56756.140800150424,22.0
-33523.49029144741,11.0
-44064.05244497225,18.0
-28572.100246978916,9.0
-38838.61299412964,19.0
-45844.427912838466,17.0
-25459.206196933254,11.0
-35954.32114680067,12.0
-35254.42142447274,10.0
-36705.31006188789,23.0
-49044.7162852619,10.0
-44074.92769858142,21.0
-46598.44418384483,14.0
-51041.56023124317,10.0
-36334.030893235424,11.0
-33730.45394348713,2.0
-35663.69404776575,23.0
-55256.355434022145,10.0
-33959.41011419097,20.0
-45131.711262820245,4.0
-36383.00137175684,18.0
-30431.63508481698,10.0
-40053.09437501714,21.0
-48537.00407197849,18.0
-29042.935537440335,11.0
-29748.818174300355,12.0
-37583.180674232506,3.0
-45988.29620504167,14.0
-50384.0979499197,20.0
-52298.37787601455,15.0
-27322.253794218806,23.0
-42404.428585398484,17.0
-25714.127125417253,11.0
-52129.72138470427,4.0
-37304.716939091944,24.0
-42863.735731969544,2.0
-41616.10155153617,3.0
-54397.02143367274,23.0
-28901.283680590088,7.0
-37581.8403955241,21.0
-28445.553355556403,1.0
-50894.5371310801,19.0
-28073.291036995714,20.0
-30813.74342648845,19.0
-51903.2024151293,15.0
-28084.10543842707,13.0
-32640.12836811746,14.0
-37837.75123007351,10.0
-42179.717086609235,17.0
-29229.47968735139,15.0
-33671.09380258271,22.0
-48366.69803060971,1.0
-46392.2553918681,18.0
-26317.350223363497,8.0
-48966.126796031036,19.0
-37944.14053324261,20.0
-49612.61240443101,13.0
-38780.541991671715,6.0
-50084.41572928107,17.0
-44187.79812516427,8.0
-40178.35128288511,14.0
-44837.222780680626,20.0
-32846.812725209675,7.0
-47147.437706873214,6.0
-49010.286102464524,18.0
-33849.75392397779,7.0
-33787.208492118414,14.0
-34119.15296952366,17.0
-44452.10339274181,15.0
-30406.226199304285,21.0
-46718.64338478271,23.0
-24661.863252022256,6.0
-38670.63323031997,20.0
-37653.1560824022,0.0
-26194.51138158276,14.0
-27855.763699169158,17.0
-52066.3997061515,21.0
-40562.96797928263,15.0
-27279.11120659933,14.0
-46798.96552854667,0.0
-50990.670063998856,19.0
-49154.00253862896,12.0
-47001.5917562338,3.0
-44276.33899082257,23.0
-33226.15976730837,16.0
-35430.64183751465,0.0
-49370.738800467836,15.0
-32043.759534852517,21.0
-33164.82168862068,24.0
-42852.58856869157,20.0
-25702.899815960132,1.0
-31685.29175226426,24.0
-49720.96129593101,21.0
-34882.68883714876,16.0
-23130.806153935693,22.0
-31071.82535200734,23.0
-42845.80014854521,19.0
-32389.58610553824,22.0
-33608.27163528458,23.0
-35426.18806798038,15.0
-32551.15316876689,22.0
-39658.24487438926,0.0
-39137.584072946054,8.0
-54561.98387353968,13.0
-39692.52747213382,20.0
-46372.64033348293,21.0
-45284.77501932431,17.0
-47561.423713176235,15.0
-44755.85060599477,16.0
-47059.47583536981,7.0
-44503.038036337035,5.0
-26337.691388949705,17.0
-45124.36846979223,10.0
-31508.711068409382,12.0
-30471.831416521323,5.0
-42820.69317018011,0.0
-39649.781075826446,19.0
-28641.29196691148,6.0
-43174.29090690908,20.0
-36313.81568596906,3.0
-31896.166669858238,23.0
-35637.90685174129,9.0
-39866.52324747047,11.0
-44286.83912513306,12.0
-43002.79578159495,23.0
-23958.375733552468,20.0
-45075.056494932185,18.0
-43624.12773968763,23.0
-37255.28862221139,6.0
-46927.5399159864,6.0
-34243.072032943266,15.0
-49909.67540152364,14.0
-48683.396504299555,22.0
-50544.12989737038,20.0
-32941.02048583542,11.0
-41266.55685761036,24.0
-40305.31663983075,17.0
-46240.25540654539,16.0
-46227.44200365698,16.0
-27844.38356430082,9.0
-54354.39564261031,1.0
-26296.382843958374,22.0
-41316.704792568155,23.0
-33013.77223978343,5.0
-45019.60636000881,23.0
-40307.012700293795,19.0
-52745.73070123617,18.0
-52006.69036284891,18.0
-27282.339625152534,10.0
-52468.031236841,4.0
-46400.970252092746,21.0
-54716.38749532859,9.0
-46910.241809892395,13.0
-47914.59985629497,10.0
-44591.942810204426,19.0
-47889.178090641755,23.0
-47632.42655685669,9.0
-40204.61604244255,9.0
-29789.766786459713,5.0
-23934.30460838868,16.0
-36577.573353013024,15.0
-49971.36408309324,2.0
-31617.09027944596,19.0
-33955.10973473129,15.0
-47533.708016397235,5.0
-27801.283816255338,23.0
-34889.4583772369,17.0
-40254.84363072548,6.0
