sal_7_lc2vs0_iate,region
-14966.329336529681,43.0
-22973.602023819152,47.0
-31733.93188014781,61.0
-23784.020122548165,56.0
-29944.323968146433,71.0
-20681.806688880657,68.0
-23681.351490448036,15.0
-28546.654518830936,15.0
-20567.674996668593,12.0
-29338.50146850353,38.0
-37211.550804234736,52.0
-35369.19554149172,49.0
-34309.532825619885,38.0
-27423.338946637326,83.0
-18961.885957543196,53.0
-39463.14024115179,62.0
-20679.679856243343,42.0
-36166.90878704943,77.0
-22080.32337065613,7.0
-39338.87674069799,60.0
-29044.748833477326,83.0
-19700.84510706944,82.0
-24795.94758937326,24.0
-34194.25163903,22.0
-28948.978051128724,23.0
-33628.75533818538,43.0
-33294.852698752,42.0
-20025.783157884176,4.0
-17856.08070918322,85.0
-38585.88319015798,15.0
-22370.934548846293,7.0
-32039.2368437174,47.0
-24069.211810925477,3.0
-29842.934248331112,58.0
-22161.38284003367,69.0
-33219.19196148271,51.0
-27760.289556460644,19.0
-31177.093761748212,40.0
-27350.894723285004,63.0
-28034.107661718932,30.0
-20359.972304553197,79.0
-34541.64112295194,67.0
-26754.036650084316,77.0
-30874.663846205203,67.0
-34585.75660814259,52.0
-26927.58953247995,43.0
-36652.213425502196,64.0
-18285.372275478203,18.0
-17442.544103720593,45.0
-30463.191571068164,51.0
-16657.90181681644,26.0
-32040.6074986109,14.0
-21197.906450893322,27.0
-32588.12277359507,55.0
-26578.006107730056,17.0
-23218.005625506295,17.0
-39704.43348292499,75.0
-21271.17073435334,60.0
-25465.912919121572,62.0
-28596.26025118721,22.0
-22665.93137924984,47.0
-21066.55732084836,16.0
-35013.121792810496,38.0
-20064.88736712063,5.0
-20857.614476816023,80.0
-33108.92692225515,21.0
-20517.03108645285,33.0
-19197.08046076174,51.0
-20729.766060986592,17.0
-23107.121601894825,77.0
-19453.21552995719,78.0
-38084.04054120039,33.0
-29529.329986213503,9.0
-22484.351455840544,42.0
-30675.55461081333,35.0
-33363.28145670936,64.0
-25448.749172298056,62.0
-22894.359495292672,67.0
-22553.387281012347,33.0
-37491.15928986399,79.0
-36149.867270031405,83.0
-34209.304842846796,61.0
-19436.212252643218,31.0
-32619.86597012952,66.0
-21750.97084995176,36.0
-25916.046887157143,28.0
-17426.60891168377,54.0
-40688.684498072354,39.0
-18648.703599400906,70.0
-25881.035990991557,26.0
-27806.112891375404,74.0
-24455.246137663096,2.0
-33500.4284907447,50.0
-16460.58965374005,19.0
-32954.136652416535,49.0
-33500.045306037784,54.0
-24841.555114345305,74.0
-21723.17705283657,23.0
-19175.07905338329,76.0
-23429.35912283482,58.0
-32975.936669674076,68.0
-35549.58043522652,19.0
-27275.276467468335,65.0
-16713.97226740796,47.0
-21442.54551592349,39.0
-35493.14957629333,25.0
-28361.471609547,61.0
-27977.76197152158,50.0
-22310.867776206764,47.0
-41703.02195663632,78.0
-18115.556212351963,36.0
-30520.841696688767,71.0
-22383.30489932528,55.0
-27391.03871601239,30.0
-30482.184444501094,35.0
-16140.944506896283,54.0
-24948.25791868457,17.0
-22170.734026822094,48.0
-24077.454657327566,69.0
-35865.34185290223,65.0
-29533.165375587152,23.0
-32106.90496359721,19.0
-40909.76090863926,38.0
-27685.895276604446,5.0
-23729.4557662354,45.0
-23408.018002277036,7.0
-40090.45493256463,17.0
-22923.627666203443,64.0
-30238.98803412025,19.0
-23214.087183439384,11.0
-20489.144207420122,20.0
-29595.85554923718,53.0
-34370.52345497785,1.0
-18714.107478368234,41.0
-20530.438727294222,27.0
-25291.195962350273,70.0
-32740.912321432406,52.0
-37066.47654072732,66.0
-44567.8969345635,9.0
-18244.624484849424,36.0
-29991.896742142584,84.0
-20591.640044699834,74.0
-38885.27217075933,42.0
-24391.68739630691,45.0
-29050.04409237623,26.0
-27389.279705702298,32.0
-38279.4343273129,34.0
-16973.613515319856,56.0
-25230.462323912754,8.0
-17530.980417495946,63.0
-34167.0660636239,9.0
-16334.838565505768,34.0
-18837.1337218309,54.0
-40116.30681955657,1.0
-15598.965284308353,43.0
-24033.74170325663,61.0
-23473.727984680623,66.0
-30610.176604277585,1.0
-21040.86132942253,70.0
-22128.023700334743,17.0
-38094.18123398469,5.0
-31359.66012065794,22.0
-16062.319616247727,28.0
-33346.167313692495,24.0
-24345.793142543585,9.0
-36546.225775705505,4.0
-23489.561316862848,8.0
-34146.69431385973,54.0
-28027.235368934005,72.0
-28387.908101881247,38.0
-30684.36761082874,68.0
-23672.386630141278,50.0
-37790.0012301261,81.0
-35955.089558193125,68.0
-19818.894868938405,18.0
-21708.130395705604,25.0
-23657.493000771166,37.0
-30543.463947714266,48.0
-22027.350877081444,30.0
-34491.718005754956,50.0
-15977.254627848164,30.0
-26320.37182235696,78.0
-25758.480335442582,44.0
-17049.729777952667,52.0
-17197.949674858442,5.0
-32433.41826973958,47.0
-30123.16606438526,76.0
-18377.977678973097,68.0
-36408.46427327824,30.0
-35138.081173569444,15.0
-34227.562858182355,58.0
-33918.138071682784,74.0
-32775.05570983637,27.0
-25051.71961719871,62.0
-23304.81575938245,27.0
-39404.44282792874,2.0
-22146.539334307032,5.0
-23183.31493016401,40.0
-29617.396717868527,26.0
-17096.978430666717,18.0
-23235.066145616427,20.0
-33141.43049844985,34.0
-22556.921283655367,27.0
-16322.550066771453,56.0
-21963.315217973934,59.0
-28790.523851664588,60.0
-21963.729193889165,47.0
-26094.915729027547,4.0
-25293.41962387418,73.0
-21506.78740651257,4.0
-29781.669050599106,5.0
-25262.800635096315,14.0
-39743.648011213474,42.0
-27212.47592479506,41.0
-31674.27662373559,13.0
