sal_avg_lc1vs0_iate,olf_x0
-463.5134964850075,56.0
-1847.6121512813606,85.0
-3666.724739464624,51.0
-8612.123074431593,54.0
-2932.6937992341045,38.0
-5665.001479048335,28.0
-3441.455896700628,83.0
-2838.081801430034,52.0
-5190.987333464111,12.0
-6679.015808655394,39.0
-21088.555720797518,14.0
-5050.337640104915,71.0
-4330.400558687103,41.0
-4328.147398870947,51.0
-227.3310448535001,62.0
-3114.376081052069,17.0
-2435.840640920914,67.0
-16801.22053844198,1.0
-6820.418310267503,16.0
-13760.996006129913,31.0
-18046.20407907882,54.0
-2321.9146750212035,40.0
-13241.461328514491,6.0
-3071.1915495259636,56.0
-3206.1550970958815,44.0
-4154.286240049652,47.0
-15006.888634045421,26.0
-12021.335593992317,59.0
-2070.320258066649,63.0
-18397.953562721774,15.0
-1889.9598735848067,59.0
-6092.692729795937,38.0
-7701.838036392345,32.0
-4284.4747535413135,57.0
-3070.9207159497073,27.0
-10186.839265724968,33.0
-4058.7263050805213,57.0
-4234.555661910754,21.0
-14841.704162924552,42.0
-4721.648946031485,18.0
-146.33265380804733,68.0
-4296.2630037981,30.0
-3968.027247398874,41.0
-5487.07629086311,30.0
-10821.706583671672,37.0
-3549.0933660013307,26.0
-11176.52039152875,2.0
-396.6216945757319,75.0
-1308.7933614894814,33.0
-4321.738163391497,40.0
-1679.3250543333627,75.0
-13825.385441420818,37.0
-9705.903919529801,34.0
-1941.5600032764141,71.0
-17026.261987989732,12.0
-5681.7423330438905,75.0
-20707.0330507153,49.0
-2715.2386861927334,33.0
-2681.9901047023614,57.0
-2220.630708743636,71.0
-8836.783466818752,54.0
-4080.681291087498,35.0
-3567.7506740129465,9.0
-61.335691092783236,24.0
-11229.120037878332,14.0
-5514.657729756771,81.0
-8119.786103787983,47.0
-5653.52315359179,31.0
-3021.041312560856,38.0
-2202.385252410416,44.0
-13711.866136237812,23.0
-18989.895255672345,26.0
-3881.4391296977374,63.0
-8124.260113193133,41.0
-3051.0709837098984,69.0
-4554.147313564168,55.0
-2590.3474344504584,29.0
-6908.662810779987,7.0
-6718.468603575587,3.0
-20004.11782997079,9.0
-4994.17674915204,62.0
-5496.559239267674,38.0
-4302.962053225012,54.0
-5998.531895427332,69.0
-4408.9201187223625,5.0
-3362.967842835391,54.0
-1128.8177198612432,49.0
-12334.234629367966,28.0
-12821.893128497695,29.0
-8054.551426553307,33.0
-14090.634343899208,35.0
-7617.00934659194,57.0
-2796.7528572068677,25.0
-924.3493473975327,47.0
-6411.868072222467,64.0
-20986.804676169333,14.0
-3079.8646357343596,66.0
-11235.67700380837,24.0
-3300.177699021644,63.0
-6319.144300785714,57.0
-7220.067168747151,20.0
-3752.450922899925,57.0
-10122.392623717966,48.0
-2059.022433649013,54.0
-4420.459952515183,59.0
-3657.864961302712,71.0
-14497.581488513384,58.0
-3280.972619140177,65.0
-10016.71235935498,38.0
-14130.109560966343,14.0
-11526.239612007646,47.0
-9627.575265321331,38.0
-10242.502781571557,14.0
-12375.299110150594,28.0
-12775.022272749104,18.0
-2962.474796183898,69.0
-5733.944012197651,57.0
-412.1666286333357,75.0
-4173.934912833149,41.0
-4446.523276926744,82.0
-5546.287796963205,34.0
-6644.11394764167,27.0
-20463.510461793707,15.0
-11421.98582790083,34.0
-14588.283114557971,57.0
-4296.934160502246,58.0
-15308.381580177347,45.0
-1918.6337455126795,28.0
-4904.122555143582,75.0
-3782.712618864375,43.0
-4336.140585564779,67.0
-13019.588975640676,23.0
-4701.720109369658,47.0
-1862.2777478242601,75.0
-1651.7998929613907,76.0
-2245.9113882877136,47.0
-5098.816434561995,43.0
-16139.686901748266,58.0
-7755.282672002702,36.0
-5407.08598283951,42.0
-4648.452389895047,11.0
-520.2555182121824,15.0
-19495.373864824538,26.0
-4733.99346998361,5.0
-5677.709380763717,30.0
-5579.931288879409,23.0
-21197.19050276631,21.0
-14020.929154737747,11.0
-12981.51684400324,23.0
-2648.987215829232,43.0
-16753.22068041909,48.0
-8524.629155095869,54.0
-5975.7220879643555,2.0
-9125.532586995547,35.0
-7619.046303009428,29.0
-2855.5861638259344,45.0
-3025.80977979283,21.0
-2497.1665053223405,26.0
-7184.193202091381,12.0
-2807.5231955634727,83.0
-3080.2095312836827,65.0
-5494.654000863123,62.0
-1819.1616023078777,72.0
-13599.512198976117,14.0
-4661.803029523229,20.0
-4762.071432685161,63.0
-5145.8303435802845,33.0
-21717.092405464806,7.0
-3919.964005010719,64.0
-4024.1951723153097,82.0
-2932.832439347372,50.0
-4971.014798354618,22.0
-2767.8809390932074,65.0
-5493.866697337419,46.0
-3395.3322138116737,15.0
-2909.152985407408,53.0
-9920.038541856888,34.0
-4852.356244613505,40.0
-5584.926950041488,57.0
-7964.870549707954,6.0
1188.2644897576415,63.0
-10620.148151167941,46.0
-1895.3452563455157,75.0
-797.0658975308482,70.0
-2664.530717755539,64.0
-14399.804235434925,23.0
-2840.982919313621,43.0
-294.823861665057,76.0
-3326.1624383451854,9.0
-17341.001304706522,27.0
-13342.804826578384,56.0
-6679.770675387863,17.0
-10378.034609233022,42.0
-7586.032266469163,15.0
-2138.3843792674684,62.0
-2962.947797366005,62.0
-9445.061591712047,21.0
-4628.850483957177,58.0
-2371.9455295516873,24.0
-2504.6642034590996,49.0
-7650.088853001282,60.0
-10049.364534438413,57.0
-16409.512754677424,13.0
-2227.1544694534746,38.0
-7726.152897312458,32.0
-14604.015872915012,31.0
-6757.192295640221,46.0
-7165.033228111049,22.0
-996.4244833159037,42.0
-13969.073750347066,11.0
-11130.593381398494,4.0
-11059.005339752528,32.0
-20418.006016131432,22.0
-4505.262376376648,27.0
-2650.541807093161,44.0
-4300.282986492604,22.0
-4476.765153839628,34.0
-5152.243767786587,4.0
-2561.134512646273,69.0
-7682.12774180882,60.0
-1111.2948748196623,23.0
-4978.012447428835,20.0
-2407.823753415889,16.0
-12672.240773153248,5.0
-6232.158946257014,17.0
-18260.90858014894,14.0
-12529.22791783786,35.0
-14267.555802736057,22.0
-3386.438737468137,71.0
-2321.1134628481977,52.0
-6625.325877134189,32.0
-6255.207636035606,46.0
-2312.351440555054,59.0
-4528.121104003869,42.0
-2136.02449600929,56.0
-3797.04931957591,23.0
-2549.24447734334,72.0
-1035.8719310758024,43.0
-16020.440062487536,11.0
-7332.044911711551,14.0
-12498.667019472758,44.0
-7674.683263877327,33.0
-5373.937467221862,58.0
-686.1375662136179,40.0
-2780.854156387919,35.0
-7917.3120189264855,39.0
-15153.016100497083,43.0
-2322.72919592552,71.0
-13659.446268026306,19.0
-6929.011200109053,54.0
-4178.243186792879,74.0
-6760.5803601499465,37.0
129.02587047170118,79.0
-3188.3456954588855,33.0
-9516.46720148789,19.0
-12148.931194371155,54.0
-17467.404146722085,53.0
-99.55215731127896,21.0
-9954.11008771275,58.0
-12340.991839544764,45.0
-22115.340534184284,26.0
-13646.644695816767,21.0
-19331.30150918461,12.0
-5221.6323170013475,37.0
-9035.514445965622,38.0
-5633.8254680590435,67.0
-3150.3597379570047,28.0
61.603499859006206,54.0
-809.3600076635765,41.0
-5088.28188985917,39.0
-9845.008909172207,45.0
-2325.1764468510323,21.0
-1401.38632168183,31.0
-5462.31451767597,24.0
-9208.440692572245,28.0
-12060.361812287854,45.0
-1877.1333062559243,28.0
-7939.82181647421,56.0
-4289.047389677107,29.0
-4329.475988185806,84.0
-6057.285302540813,60.0
-12858.643002236697,20.0
-3233.4681086029673,42.0
-15721.164024572412,10.0
-4019.193578120883,52.0
-4551.6248740010815,36.0
-12667.710940098932,11.0
-7407.42116595402,28.0
-791.8595690477719,39.0
-516.7286420895089,49.0
-4374.179819366855,59.0
-9612.923418916133,43.0
-3124.1194900100418,39.0
-4393.087762808689,16.0
-9281.123888493767,19.0
-13369.916645841367,30.0
-332.6247287640006,46.0
-4420.8483477278005,45.0
843.4764231047986,62.0
-4501.652017824425,60.0
-14574.756331154884,6.0
-5898.811925904287,78.0
-10915.629957207562,26.0
-3393.5474613805527,39.0
-1790.2938023615307,85.0
-6779.621904868421,60.0
-11186.295105876994,54.0
-2072.3387249033294,67.0
-4728.134292884336,54.0
-2464.5444549670647,26.0
-4890.754711351303,64.0
-1975.4436891613839,16.0
-14353.168442913957,28.0
-5248.791732272066,26.0
-3258.6598438061496,48.0
-14484.53520635545,30.0
-13719.420613139444,15.0
418.77951603120266,43.0
-5820.403460492722,12.0
-3923.809481553684,50.0
-6012.458123978594,40.0
-1908.3100156375783,45.0
-9083.872791494341,53.0
-998.069438264339,9.0
-6671.742299915239,51.0
-12379.881014613526,8.0
-4216.219277321648,80.0
-6693.013615916123,58.0
-11071.208568010901,33.0
-2478.543754149246,39.0
-488.41337405113245,47.0
-13691.72052806198,51.0
-14128.533776318436,7.0
-15912.337258743926,24.0
-6756.45890750644,67.0
-8183.009400915584,29.0
-9451.040630731293,27.0
93.47101372796806,40.0
-915.5316926913895,23.0
-13203.22852541862,41.0
-8542.443471992334,5.0
-11755.0004357309,11.0
-10728.017803723189,53.0
-4820.271094648853,29.0
-5014.965581160821,17.0
-5736.636853917389,24.0
-12197.972383109241,3.0
-4411.5913038615545,53.0
-8965.25776335777,38.0
-4581.8077661122525,22.0
-5883.638922952283,62.0
-1220.4746276351077,55.0
785.5890665439155,27.0
-4930.239459270647,47.0
-7355.3104714523215,6.0
-6842.9120655217075,22.0
-8311.348487358666,42.0
-15470.406179081358,57.0
-1384.8947845838256,25.0
