sal_3_lc1vs0_iate,region
-17415.1031705239,43.0
-25305.746235323335,47.0
-27814.00738551387,61.0
-23939.495178166268,56.0
-32443.46979372244,71.0
-19252.828301220972,68.0
-21754.414397683897,15.0
-26132.066732960135,15.0
-19583.607062069976,12.0
-29068.56497138829,38.0
-33507.81939066237,52.0
-34557.90536122679,49.0
-33206.990960703944,38.0
-25771.020703622424,83.0
-21224.217152578247,53.0
-40443.119240977925,62.0
-17639.679563740265,42.0
-32622.856521167567,77.0
-20722.610646580728,7.0
-35297.5177895776,60.0
-32741.071619922895,83.0
-19326.053103316015,82.0
-23070.99496129854,24.0
-36175.13211878299,22.0
-34617.33914352089,23.0
-36608.90174036606,43.0
-30837.182013579783,42.0
-17907.461941494585,4.0
-17942.076634149467,85.0
-34530.80556441923,15.0
-25160.126131207566,7.0
-35437.80081658537,47.0
-25256.23755639718,3.0
-30421.80764423158,58.0
-23428.232273581387,69.0
-27813.945823005313,51.0
-29688.119503097078,19.0
-30693.88810294368,40.0
-24291.688135672623,63.0
-28981.839002558616,30.0
-21607.353406322574,79.0
-37396.64686358426,67.0
-25870.094242852567,77.0
-32055.39241277901,67.0
-39685.59554082267,52.0
-29489.562612563448,43.0
-38482.96106569735,64.0
-22189.204744630057,18.0
-17004.71819721548,45.0
-35409.17293620383,51.0
-17823.56200956145,26.0
-37766.418724977644,14.0
-22640.68299875898,27.0
-32253.059369518443,55.0
-24654.80903645283,17.0
-23186.145612880962,17.0
-34743.95167606504,75.0
-22366.00685744034,60.0
-25836.235321440174,62.0
-29608.902779363212,22.0
-20837.19399697987,47.0
-17833.9782615763,16.0
-38674.997771110444,38.0
-19625.56066145896,5.0
-22575.158315637895,80.0
-31723.31485709041,21.0
-17990.528686408485,33.0
-19073.293046008315,51.0
-19171.713840372962,17.0
-24268.749474896184,77.0
-19316.23011260044,78.0
-35173.125778535265,33.0
-31740.68098378273,9.0
-21134.055669029676,42.0
-34694.17471644448,35.0
-34348.869748631536,64.0
-25489.38137249599,62.0
-21774.562287047534,67.0
-19630.555238780216,33.0
-32619.98634424249,79.0
-35605.72143464559,83.0
-35823.39271572521,61.0
-22163.002399586272,31.0
-34187.682101731305,66.0
-23796.584831791082,36.0
-24214.05996981355,28.0
-17390.836837062387,54.0
-37759.11185731662,39.0
-18055.12477987335,70.0
-30961.690124440465,26.0
-24125.136919558492,74.0
-23011.671901068315,2.0
-33437.35512490579,50.0
-17881.030393876736,19.0
-33106.05405113526,49.0
