sal_5_lc1vs0_iate,school
-2481.9990918268495,10.0
-1430.202684616277,10.0
-4489.066068861715,10.0
-11449.086047238934,10.0
-2621.9158112681944,12.0
-9307.768394496368,10.0
-3663.882554510727,8.0
-2922.271743348201,10.0
-8681.341162061635,10.0
-6274.98471380869,9.0
-23050.036448475887,10.0
-4468.773777198032,10.0
-1791.5446949040288,9.0
-4944.3840893217,8.0
-985.7288185997259,10.0
-332.9000730049738,12.0
-3128.5858267013627,9.0
-20174.249270295943,10.0
-9694.51465280175,10.0
-15482.656312535788,12.0
-16864.316977723323,9.0
-3854.6605514252137,9.0
-15512.06340435362,9.0
-737.5592811277274,12.0
-3907.2066466053693,12.0
-3121.7491029205485,12.0
-15304.32706086959,10.0
-13543.905380875236,9.0
-2648.5947456058157,9.0
-17866.57769455155,10.0
-2403.451674007313,10.0
-6434.734482813499,12.0
-8296.695760245611,8.0
-5509.827570719332,9.0
-4641.313601073667,10.0
-11752.237241047436,10.0
-4379.075625140771,10.0
-3376.3762733938984,10.0
-18070.252683228304,10.0
-3868.6695721607903,8.0
-2411.755970966738,12.0
-2800.2412569148146,12.0
-4610.403673240825,9.0
-3839.2066885664535,9.0
-13850.616232426319,12.0
-3205.912961450713,12.0
-13405.433064226892,12.0
-1393.8747596588855,12.0
-3827.2478162996267,9.0
-3340.8646766978018,12.0
-3220.861475528019,9.0
-18159.677478107256,10.0
-11768.15836671055,9.0
-601.8838962788832,12.0
-19723.851358464704,9.0
-5725.515170755166,9.0
-20073.777211113367,10.0
-4066.4327409611055,10.0
-3625.4468209149663,10.0
-1856.2438022488532,12.0
-12507.116191895593,10.0
-5499.508275093274,8.0
-2988.3278667493796,12.0
-2417.048462230992,12.0
-13423.154585586633,8.0
-4529.740101638286,10.0
-12385.393034090344,10.0
-7667.12129582375,8.0
-4271.361729465954,8.0
-4112.197615522266,10.0
-15459.894259582992,9.0
-15491.075196322374,10.0
-2381.7882978653433,10.0
-11096.739581289625,10.0
-1727.2109991136676,12.0
-2921.828590101006,10.0
-3254.8992132057447,10.0
-10556.837650846031,10.0
-10455.722659357674,12.0
-20661.927004180106,10.0
-1423.1313431016351,10.0
-3351.387528416253,12.0
-5120.885342422156,10.0
-5935.03073167989,10.0
-4976.0319035312405,8.0
-3968.6826330444,9.0
-3634.4564636564714,10.0
-9066.127307525754,10.0
-15018.688640553491,9.0
-8111.284690909315,9.0
-17642.504848383618,10.0
-10839.494059506756,10.0
-1867.112092734591,12.0
-3010.582307445021,10.0
-6071.455601997544,10.0
-21320.914805274697,9.0
-1710.138748034251,12.0
-12414.134823481705,9.0
-3599.044708005638,9.0
-5926.637928848386,10.0
-5718.414619240619,10.0
-2509.7359093447667,12.0
-13663.1771612767,10.0
-4033.978686479327,10.0
-5100.974057773646,9.0
-2192.726906782671,12.0
-15263.631141748427,9.0
-3386.1423112113443,10.0
-12195.480706996037,10.0
-14172.420734003883,10.0
-14439.967598591506,8.0
-9048.159561008597,10.0
-13926.822995011875,10.0
-13700.278418759124,10.0
-12333.052424065008,9.0
-3675.0575450600195,10.0
-5367.654395430778,10.0
138.4776854907468,10.0
-4687.764581692626,9.0
-1270.9974714069685,12.0
-6269.418312184014,9.0
-4233.027892930539,10.0
-22212.10191973546,10.0
-13084.67588178134,10.0
-17165.329435814063,9.0
-2912.170621465182,10.0
-13504.384406074629,10.0
-3268.638595897546,10.0
-3091.9152833653407,9.0
-3990.25896334791,10.0
