sal_8_lc2vs0_iate,region
-5247.612371911615,43.0
-5936.081268004896,47.0
-18919.441037239645,61.0
-14707.782499432618,56.0
-16469.15064708127,71.0
-12774.949402169912,68.0
-12053.51819014192,15.0
-14026.353314398888,15.0
-13983.383125352026,12.0
-13134.478561131988,38.0
-29884.652334278326,52.0
-17681.150924771908,49.0
-16609.611673723204,38.0
-11969.49722271879,83.0
-5950.023047619555,53.0
-21467.992990178907,62.0
-11945.720340139294,42.0
-23984.30313998409,77.0
-14270.983694386447,7.0
-31714.98443543093,60.0
-16666.270956639855,83.0
-9190.945167600374,82.0
-16119.659878602994,24.0
-17563.439508625903,22.0
-12709.421738549398,23.0
-17881.349442808176,43.0
-21270.396143409,42.0
-10635.591001845487,4.0
-6349.551233765742,85.0
-25672.877520447037,15.0
-6822.170593997485,7.0
-15317.612865724008,47.0
-7312.44221386747,3.0
-16567.308543593586,58.0
-10771.937303749975,69.0
-23206.795175427615,51.0
-11427.513352134136,19.0
-16042.078033573867,40.0
-17658.06812471561,63.0
-11169.2081233098,30.0
-11499.894941943663,79.0
-13532.379106039434,67.0
-10474.096448959792,77.0
-7399.015417263921,67.0
-21831.303184256176,52.0
-12068.484378545403,43.0
-16817.388918640918,64.0
-8416.27347501714,18.0
-9300.107912582052,45.0
-12865.209168249246,51.0
-7081.880304338444,26.0
-15828.948926235358,14.0
-10728.199476209445,27.0
-13929.317983234097,55.0
-13986.61467723364,17.0
-8806.614629841293,17.0
-31091.26887296683,75.0
-12631.794461756977,60.0
-10562.048830745493,62.0
-19426.966405927375,22.0
-13447.30051696412,47.0
-12487.276177898975,16.0
-16920.067990057407,38.0
-12532.962823379248,5.0
-9913.747962433377,80.0
-13732.531740885566,21.0
-13666.649579562232,33.0
-8937.991690188243,51.0
-11118.370337633276,17.0
-9831.196112755113,77.0
-10573.756448907983,78.0
-28880.51804557306,33.0
-10686.25073508826,9.0
-13103.616710817836,42.0
-17959.01024925051,35.0
-10071.496266680995,64.0
-13782.46557292678,62.0
-16474.89483920907,67.0
-15764.240231078948,33.0
-28745.982583084144,79.0
-17947.46642392244,83.0
-21472.93628477188,61.0
-6541.960065761239,31.0
-11658.795107039547,66.0
-7148.046106287589,36.0
-10323.71450867237,28.0
-9269.57857345864,54.0
-29115.64469282887,39.0
-9615.117265710232,70.0
-8861.114745064173,26.0
-17716.601925630002,74.0
-16340.103061847669,2.0
-14684.070456690177,50.0
-7644.1290129136205,19.0
-17645.626288756564,49.0
-21284.617047466774,54.0
-13330.575371410048,74.0
-12540.192397054574,23.0
-9402.80718760075,76.0
-9795.936310623623,58.0
-15211.71061492783,68.0
-18920.7873761804,19.0
-14363.490183207621,65.0
-3632.2607362219505,47.0
-11975.5970092164,39.0
-20815.78051022569,25.0
-14272.336117167273,61.0
-10667.303216113622,50.0
-14295.430723840464,47.0
-30380.561068380193,78.0
-7401.089893542667,36.0
-16763.29811102799,71.0
-16441.26604018639,55.0
