sal_avg_lc2vs0_iate,sex
-15864.205970432164,2.0
-23079.448995073464,2.0
-29980.72853019381,2.0
-24688.088857980358,1.0
-31388.18594660317,2.0
-20256.99488073739,1.0
-22349.181533099723,2.0
-26320.581606197768,2.0
-20451.587675426443,1.0
-29148.247761825245,2.0
-38144.07840543258,1.0
-34420.33433947744,2.0
-34014.21011732534,2.0
-25751.841320138214,2.0
-19017.88039845295,2.0
-37529.31505820887,2.0
-19002.558243310148,2.0
-35221.078551990446,1.0
-22080.24682744238,1.0
-40477.264354066545,1.0
-32631.5652657117,1.0
-19029.63783670187,2.0
-25133.888638097596,1.0
-35685.887295973145,2.0
-32132.181345698245,2.0
-35658.35592889748,2.0
-32906.85495893863,1.0
-20027.126965255997,1.0
-16803.655804456095,2.0
-37532.45800406932,1.0
-22628.976207526175,2.0
-34450.50266845961,2.0
-23602.634960387208,2.0
-30033.768250542795,2.0
-22920.06735976659,2.0
-31118.171474939565,1.0
-28262.53721753386,2.0
-31267.82038430414,2.0
-27346.60755211533,1.0
-27840.617332642338,2.0
-21286.919252975447,2.0
-35554.09421811897,2.0
-25175.513159132886,2.0
-29945.455455607786,2.0
-39743.946746744026,1.0
-28561.971265638414,2.0
-37970.6964729858,1.0
-20797.493768935372,2.0
-16587.56025767616,2.0
-32467.55191772751,2.0
-16797.45793660828,2.0
-36442.701887527655,1.0
-22117.836148699236,1.0
-31444.208516263105,2.0
-26732.55288146377,1.0
-22716.212583011722,2.0
-40530.33554337651,1.0
-22488.57718502459,2.0
-24790.52119555723,2.0
-30140.4015366195,2.0
-22918.0381762497,1.0
-19354.2682377322,2.0
-36142.39037368832,2.0
-20393.140922095776,2.0
-22293.437439738034,1.0
-31295.082571578605,2.0
-20101.57396774244,1.0
-19162.339039629576,2.0
-19787.295356166607,2.0
-22906.174107165858,2.0
-21052.519176178295,1.0
-38808.083536728314,1.0
-29810.166558622735,2.0
-22473.918470213834,1.0
-33507.6777368417,2.0
-31829.88030844733,2.0
-25237.679579268897,2.0
-23104.06811251522,1.0
-22081.196016998805,1.0
-37979.59917015616,1.0
-34995.76349042947,2.0
-35589.45086212165,2.0
-20697.77072366188,2.0
-32505.44856494393,2.0
-21932.254878575313,2.0
-23593.643836757004,2.0
-16964.10650257844,2.0
-40543.480172651165,1.0
-19312.65024649369,1.0
-27796.377875473594,2.0
-27500.613598387805,1.0
-24554.776336625433,1.0
-32520.850206108233,2.0
-16824.3416484617,2.0
-32587.980088671226,2.0
-33517.881293729515,1.0
-26051.360891609707,2.0
-23858.333984706318,1.0
-18213.954066905673,2.0
-25018.620571827207,2.0
-31973.254868333148,2.0
-35597.448588357314,2.0
-30801.491600067886,1.0
-18517.99639929902,2.0
-19336.999958295182,2.0
-35771.97619704387,2.0
-28047.425979226995,1.0
-26816.526757330066,2.0
-23052.68690393554,1.0
-41541.860191256535,1.0
-21184.673942052552,1.0
-31321.40901921955,1.0
-21758.202718630913,1.0
-28290.439951831286,1.0
-31379.82961711297,1.0
-17740.478161094485,2.0
-25219.908194808297,2.0
-22698.617762822665,2.0
-23497.426577564478,2.0
-36416.25610045083,2.0
-28089.385360127686,2.0
-32292.973612899194,2.0
-39394.277618404754,1.0
-27800.134995212575,1.0
-24117.97214953949,1.0
-24164.365092577507,2.0
-41387.434144411345,1.0
-22229.331040858433,2.0
-30129.403818756473,2.0
-23602.031188310528,2.0
-19842.367498940555,2.0
-29278.500201664614,1.0
-32732.504505267432,2.0
-19273.658504711166,2.0
-18726.105606477242,2.0
-27787.116077481278,2.0
-31757.031939499524,2.0
-36728.32676921324,1.0
-44654.11089912647,1.0
-18697.986172396817,1.0
-31167.304647128407,2.0
-19442.441566890473,2.0
-39858.75207249119,1.0
-25402.61090019598,2.0
-29231.153979537186,2.0
-28908.491158480218,2.0
-40519.35153550848,1.0
-19653.81535104702,1.0
-25598.366306086395,1.0
-18027.883660542495,2.0
-37025.31401092086,1.0
-18331.479572558477,1.0
-19665.172037170156,2.0
-42559.25047957989,1.0
-17812.705321016252,1.0
-24253.10511009582,2.0
-24088.141060390702,2.0
-29746.65807414698,2.0
-20911.549837833976,1.0
-21205.737461221564,2.0
-38413.41338272876,2.0
-30563.87614973414,2.0
-17554.9509269246,2.0
-34304.46579176466,1.0
-23598.64687781509,2.0
-37357.06098449345,2.0
-23786.07286480303,2.0
-37441.53275477267,1.0
-29253.647334505702,2.0
-25974.53942217343,2.0
-32316.80527833054,2.0
-21683.764758254474,2.0
-37214.43664300066,2.0
-34602.88070396159,2.0
-23168.017431625478,2.0
-21328.45391613416,2.0
-25073.88161590329,1.0
-30601.33798280394,2.0
-22358.930546578857,1.0
-34188.16782354881,1.0
-17291.565221853918,2.0
-25834.296744942858,1.0
-24794.078522268366,2.0
-18195.18159293482,2.0
-17328.86997338515,2.0
-36748.74001598495,1.0
-28816.127718355285,2.0
-19039.280325354077,2.0
-36592.665378802856,2.0
-37130.54561675689,1.0
-35748.54504375991,1.0
-32501.54779703864,2.0
-31887.030123000695,1.0
-25226.935692792173,1.0
-23638.719747154588,2.0
-38832.42820858671,2.0
-22084.45835536208,1.0
-21570.77928100913,2.0
-31469.93285184954,2.0
-16926.357318548322,2.0
-23083.903104272493,1.0
-37431.29219190116,1.0
-24142.751975698622,1.0
-16690.67322528664,2.0
-21969.360259825906,1.0
-28995.06476366699,1.0
-23057.162443222216,1.0
-26329.648204505524,1.0
-25869.66374554422,2.0
-22542.01186535376,1.0
-30503.054467971695,1.0
-26203.10556731477,1.0
-40877.11510656678,1.0
-27355.037119983746,2.0
-32674.86237774603,2.0
-33217.92480987256,2.0
-34690.533563177974,2.0
-31756.193663896724,2.0
-34319.58507517743,2.0
-34699.65862414087,1.0
-17477.277699699895,2.0
-31696.072052589036,2.0
-21364.054902770993,2.0
-21955.069615738226,1.0
-27557.185066960483,2.0
-28729.399092337357,1.0
-19361.13564400986,1.0
-32020.018217384135,1.0
-23840.055069581882,2.0
-20989.6723995314,2.0
-24357.04434394459,2.0
-26315.156063357783,2.0
-32904.38262366894,2.0
-28327.44830746739,2.0
-16741.062737124732,2.0
-34913.42439535759,2.0
-31324.465814273106,2.0
-24643.352065466468,2.0
-34167.82833060961,1.0
-26266.789805814446,1.0
-40553.43342052563,1.0
-39023.01614091757,1.0
-36567.2246080028,2.0
-23045.762129317052,2.0
-27610.43509671006,2.0
-25269.50389083322,2.0
-33901.52563773919,1.0
-35525.0903915421,2.0
-19869.85913209709,1.0
-43880.42596083478,1.0
-17493.643472272037,2.0
-26581.1086796325,2.0
-22466.613510130293,2.0
-35441.21780563553,2.0
-32655.39258897854,1.0
-37242.50323138517,1.0
-38585.44062505931,1.0
-19131.326591545007,2.0
-43380.470754980095,1.0
-32880.42518294083,1.0
-40802.24674226691,1.0
-38771.48167544647,1.0
-34235.08868136223,1.0
-30164.551624088344,2.0
-37257.14820319899,1.0
-34096.64847562289,2.0
-28572.0951926436,2.0
-20031.704229482773,2.0
-17498.706842812087,2.0
-28519.303670002693,1.0
-40461.72755278963,1.0
-22179.27617083556,2.0
-24200.790358936098,2.0
-33315.88489321414,2.0
-20152.96896509908,1.0
-23593.03357690076,1.0
-28760.50077887935,2.0
-19935.489083635875,1.0
-33934.29700068016,2.0
-23567.84862945768,2.0
-23697.814544547284,2.0
-24488.30029777404,1.0
-20015.435117656016,2.0
-23286.965548322052,1.0
-32805.474930274606,2.0
-31607.855194685333,2.0
-34124.521260430665,1.0
-23723.76176099517,1.0
-23422.412450932483,2.0
-25040.277629889293,2.0
-33284.63070269166,2.0
-20922.17392635704,1.0
-37974.994194530955,2.0
