sal_avg_lc1vs0_iate,earn_x0
-463.5134964850075,1193.332697145667
-1847.6121512813606,3244.6781523613786
-3666.724739464624,3719.2213222458727
-8612.123074431593,3085.6925448433512
-2932.6937992341045,4004.131002137021
-5665.001479048335,1755.8269456412604
-3441.455896700628,2584.370630726857
-2838.081801430034,3413.5281476890164
-5190.987333464111,1933.0884472848177
-6679.015808655394,3968.939722213053
-21088.555720797518,4292.975371818628
-5050.337640104915,4686.399666895838
-4330.400558687103,4759.08314777485
-4328.147398870947,3485.7685658506025
-227.3310448535001,2430.071681191421
-3114.376081052069,6995.563964901388
-2435.840640920914,1800.598031556699
-16801.22053844198,4116.599833906231
-6820.418310267503,2272.22316109235
-13760.996006129913,4645.666832185667
-18046.20407907882,4911.659106698894
-2321.9146750212035,2285.6646826609804
-13241.461328514491,2845.918390197516
-3071.1915495259636,5615.714002697792
-3206.1550970958815,4666.231885699818
-4154.286240049652,5196.638068029913
-15006.888634045421,4076.92783250837
-12021.335593992317,1749.6442113020514
-2070.320258066649,1342.3696338424595
-18397.953562721774,4490.609342053655
-1889.9598735848067,3043.1471959793835
-6092.692729795937,5155.20693112442
-7701.838036392345,3362.485159182663
-4284.4747535413135,4016.4146395269454
-3070.9207159497073,2790.325407162434
-10186.839265724968,3760.962602912711
-4058.7263050805213,3844.823230717023
-4234.555661910754,3925.744144977282
-14841.704162924552,3494.914466391914
-4721.648946031485,3914.4693519501134
-146.33265380804733,2504.4669564633064
-4296.2630037981,5127.58637675137
-3968.027247398874,3562.886665982977
-5487.07629086311,4346.035705503462
-10821.706583671672,5810.071824153135
-3549.0933660013307,3785.74193468117
-11176.52039152875,6312.9529453602845
-396.6216945757319,2434.186954334409
-1308.7933614894814,1479.981545887037
-4321.738163391497,5557.065867351301
-1679.3250543333627,1104.7599895524174
-13825.385441420818,5894.174450994807
-9705.903919529801,2843.929690002449
-1941.5600032764141,4204.431798818756
-17026.261987989732,3367.087933725305
-5681.7423330438905,2758.136380043928
-20707.0330507153,4848.983973726757
-2715.2386861927334,2644.3239547182543
-2681.9901047023614,3348.914555933196
-2220.630708743636,3839.682281385358
-8836.783466818752,2467.059948003984
-4080.681291087498,1236.9125442854886
-3567.7506740129465,5868.199214033304
-61.335691092783236,2123.3307829249434
-11229.120037878332,2944.7052830965613
-5514.657729756771,4086.564922510373
-8119.786103787983,1236.4920310371217
-5653.52315359179,2203.298269765708
-3021.041312560856,2242.9010708714964
-2202.385252410416,2976.345607665452
-13711.866136237812,2272.331181046973
-18989.895255672345,4828.744599623171
-3881.4391296977374,4165.808696028897
-8124.260113193133,2500.315969941594
-3051.0709837098984,4574.99517557822
-4554.147313564168,5258.3726816026565
-2590.3474344504584,3270.529189816006
-6908.662810779987,2434.5966870970765
-6718.468603575587,1786.5048007083049
-20004.11782997079,4163.551036313568
-4994.17674915204,5599.091023144334
-5496.559239267674,5274.488011403746
-4302.962053225012,2588.3768914809834
-5998.531895427332,4984.429703094995
-4408.9201187223625,2905.0417548316573
-3362.967842835391,3032.276959379162
-1128.8177198612432,1435.250251714145
-12334.234629367966,5350.084099674365
-12821.893128497695,1416.433288731004
-8054.551426553307,4316.491897663433
-14090.634343899208,3159.514622200561
-7617.00934659194,2857.256750136862
-2796.7528572068677,4187.695951252252
-924.3493473975327,1942.731746497484
-6411.868072222467,4363.1648051243
-20986.804676169333,4102.243463528355
-3079.8646357343596,3192.489464462401
-11235.67700380837,2960.379801999077
-3300.177699021644,1821.6106586686767
-6319.144300785714,3525.110567871369
-7220.067168747151,4273.646766912285
-3752.450922899925,5005.150621529395
-10122.392623717966,4166.827593997135
-2059.022433649013,2466.037967760853
-4420.459952515183,1392.4133414491428
-3657.864961302712,4794.484188827246
-14497.581488513384,3751.7426100040575
-3280.972619140177,3733.3803090074
-10016.71235935498,2463.1960026471934
-14130.109560966343,4941.75256753342
-11526.239612007646,2959.1602158750347
-9627.575265321331,4176.901486798269
-10242.502781571557,1970.7023382414168
-12375.299110150594,3607.59350893063
-12775.022272749104,3980.372097176493
-2962.474796183898,2005.871285241926
-5733.944012197651,3473.3885679187806
-412.1666286333357,2801.278027465041
-4173.934912833149,3180.064792589384
-4446.523276926744,5955.268136243457
-5546.287796963205,4029.063675124101
-6644.11394764167,4251.443448339634
-20463.510461793707,4376.287514555002
-11421.98582790083,2914.4940641390226
-14588.283114557971,3007.191003591542
-4296.934160502246,3171.015817943025
-15308.381580177347,5723.4384249604
-1918.6337455126795,2869.2253710300465
-4904.122555143582,4296.829243576472
-3782.712618864375,3155.162002986955
-4336.140585564779,2189.401971175196
-13019.588975640676,3764.2748020453705
-4701.720109369658,4701.282450358163
-1862.2777478242601,2338.9285731119826
-1651.7998929613907,2203.096480877128
-2245.9113882877136,3525.529953768866
-5098.816434561995,4041.3365993475
-16139.686901748266,4137.11279849873
-7755.282672002702,7140.324224398464
-5407.08598283951,1888.5507874313764
-4648.452389895047,3978.142203617335
-520.2555182121824,1615.7314115125334
-19495.373864824538,5713.4417634892
-4733.99346998361,3086.749538023775
-5677.709380763717,4385.364117998522
-5579.931288879409,4377.644339969802
-21197.19050276631,5378.628361660634
-14020.929154737747,1931.0782440644648
-12981.51684400324,3555.0888770035867
-2648.987215829232,2288.560613092506
-16753.22068041909,5310.097974352306
-8524.629155095869,1581.78916347634
-5975.7220879643555,2354.727117399696
-9125.532586995547,5918.104208776785
-7619.046303009428,1796.579736764528
-2855.5861638259344,2802.223139718544
-3025.80977979283,3295.4554934628763
-2497.1665053223405,3722.339124487471
-7184.193202091381,2138.2240765651104
-2807.5231955634727,2601.928364168456
-3080.2095312836827,6323.573096570325
-5494.654000863123,4338.226220740814
-1819.1616023078777,2040.3741533227096
-13599.512198976117,4471.393377297148
-4661.803029523229,3329.7790955631845
-4762.071432685161,5336.830195138055
-5145.8303435802845,3443.4292234999743
-21717.092405464806,5468.090696668703
-3919.964005010719,4121.935428767277
-4024.1951723153097,3476.709266023497
-2932.832439347372,4348.132331540891
-4971.014798354618,2421.5381742493128
-2767.8809390932074,5836.328468882115
-5493.866697337419,4447.062698665194
-3395.3322138116737,3102.841731317086
-2909.152985407408,2468.074948640741
-9920.038541856888,2826.4073615878106
-4852.356244613505,4030.121512328451
-5584.926950041488,2233.316892300849
-7964.870549707954,4488.992329483356
1188.2644897576415,1799.1312460844028
-10620.148151167941,3344.532240136754
-1895.3452563455157,3171.728825790159
-797.0658975308482,1732.4346918845558
-2664.530717755539,1385.2972817249608
-14399.804235434925,5776.512629351454
-2840.982919313621,3544.538988758148
-294.823861665057,2112.146559783313
-3326.1624383451854,5145.180783131548
-17341.001304706522,5097.243335181243
-13342.804826578384,5426.0752291613
-6679.770675387863,4894.706522457524
-10378.034609233022,3861.0471569373294
-7586.032266469163,2698.784413288972
-2138.3843792674684,3013.629550984904
-2962.947797366005,6382.177927898954
-9445.061591712047,2403.0838435498385
-4628.850483957177,2482.1997869676475
-2371.9455295516873,4276.496145311158
-2504.6642034590996,1454.506432689
-7650.088853001282,2714.933118758521
-10049.364534438413,4914.307897645444
-16409.512754677424,3126.3134159404417
-2227.1544694534746,1619.3065509972791
-7726.152897312458,2527.784509468013
-14604.015872915012,3771.7859168083537
-6757.192295640221,2801.6215599245006
-7165.033228111049,2623.0446577251205
-996.4244833159037,2978.601011678399
-13969.073750347066,2467.6711803404537
-11130.593381398494,3830.3825104348575
-11059.005339752528,3653.944223358132
-20418.006016131432,5165.984056671632
-4505.262376376648,3668.846712783567
-2650.541807093161,4197.2032693262
-4300.282986492604,4119.146808841497
-4476.765153839628,4808.331879334657
-5152.243767786587,4924.730435581283
-2561.134512646273,5484.717660448678
-7682.12774180882,4148.473288289153
-1111.2948748196623,1606.1147844477057
-4978.012447428835,4467.088637684439
-2407.823753415889,2569.359907167069
-12672.240773153248,2123.234946887559
-6232.158946257014,4096.23341909503
-18260.90858014894,3640.7433975626655
-12529.22791783786,1503.696198122301
-14267.555802736057,3837.818161742435
-3386.438737468137,3211.2343253916074
-2321.1134628481977,2680.867361264716
-6625.325877134189,3388.4628070053545
-6255.207636035606,3472.1371672790897
-2312.351440555054,4032.918742548976
-4528.121104003869,3743.445491839093
-2136.02449600929,2021.4275954292896
-3797.04931957591,5027.096147286086
-2549.24447734334,4138.790223026816
-1035.8719310758024,2976.7510811775605
-16020.440062487536,4230.856145406076
-7332.044911711551,2639.3325484822367
-12498.667019472758,6395.766599036037
-7674.683263877327,4325.880865350576
-5373.937467221862,4945.593607146445
-686.1375662136179,2681.0544517537974
-2780.854156387919,3644.329421057144
-7917.3120189264855,3578.338011785222
-15153.016100497083,4149.713017436649
-2322.72919592552,4415.613048401213
-13659.446268026306,1601.23685270193
-6929.011200109053,7344.155862815863
-4178.243186792879,1749.8680771010422
-6760.5803601499465,3717.6271465220457
129.02587047170118,2675.427876970608
-3188.3456954588855,5694.560637039672
-9516.46720148789,3929.545770025674
-12148.931194371155,5600.964882255158
-17467.404146722085,4317.687849879147
-99.55215731127896,1877.6096410846887
-9954.11008771275,5603.655026878279
-12340.991839544764,4090.269455960972
-22115.340534184284,4839.295697285171
-13646.644695816767,4732.561724408808
-19331.30150918461,4325.724163879226
-5221.6323170013475,4106.151619280391
-9035.514445965622,4361.470025204451
-5633.8254680590435,4401.974094292035
-3150.3597379570047,3582.986235138961
61.603499859006206,2396.8216599158263
-809.3600076635765,1545.5361721913766
-5088.28188985917,2924.3115114992097
-9845.008909172207,5251.487895026775
-2325.1764468510323,2702.920525576427
-1401.38632168183,2779.9177988280103
-5462.31451767597,4773.25577055998
-9208.440692572245,1580.0183101562484
-12060.361812287854,3233.4004413836265
-1877.1333062559243,3671.814012414072
-7939.82181647421,1682.1542984864168
-4289.047389677107,4334.9066569034985
-4329.475988185806,2675.562095034877
-6057.285302540813,3455.3698717180587
-12858.643002236697,3349.360290052079
-3233.4681086029673,2358.593893386679
-15721.164024572412,2843.614949911287
-4019.193578120883,4475.585073367943
-4551.6248740010815,3964.938592382787
-12667.710940098932,4351.170191832786
-7407.42116595402,2265.743373180881
-791.8595690477719,2771.5722882504115
-516.7286420895089,2840.6761015771926
-4374.179819366855,4510.020611392953
-9612.923418916133,2383.101873835544
-3124.1194900100418,5281.458383583068
-4393.087762808689,2740.174751903613
-9281.123888493767,2538.0321217606747
-13369.916645841367,3706.67304924324
-332.6247287640006,2009.6085419498827
-4420.8483477278005,4291.770222497403
843.4764231047986,1863.8456945563528
-4501.652017824425,3538.710331361924
-14574.756331154884,1352.6012884120844
-5898.811925904287,3274.830892397048
-10915.629957207562,3499.685219244584
-3393.5474613805527,6077.322935931496
-1790.2938023615307,3296.054125853884
-6779.621904868421,2764.907385378634
-11186.295105876994,2501.5096641316745
-2072.3387249033294,4994.505609377051
-4728.134292884336,3522.5940590049067
-2464.5444549670647,3815.2142896743344
-4890.754711351303,2679.505093299584
-1975.4436891613839,1439.1453292663118
-14353.168442913957,5173.880188324628
-5248.791732272066,3318.043515559716
-3258.6598438061496,2477.3306624772454
-14484.53520635545,5909.943684941671
-13719.420613139444,4991.221792357429
418.77951603120266,1945.2972425361472
-5820.403460492722,5611.451270163821
-3923.809481553684,2784.3278084847807
-6012.458123978594,4633.852762579146
-1908.3100156375783,1783.3340957230396
-9083.872791494341,5247.8412130416
-998.069438264339,1954.067945909768
-6671.742299915239,3717.762762764028
-12379.881014613526,3730.628913915546
-4216.219277321648,2850.358859236115
-6693.013615916123,1962.3359456044548
-11071.208568010901,3191.9844382771344
-2478.543754149246,2356.677937832977
-488.41337405113245,1927.312818530065
-13691.72052806198,4078.8466129156727
-14128.533776318436,5570.604652873919
-15912.337258743926,4303.230519991682
-6756.45890750644,3551.425460526461
-8183.009400915584,3161.242877039385
-9451.040630731293,2246.229367808749
93.47101372796806,2665.341748330304
-915.5316926913895,1694.2666555083847
-13203.22852541862,4882.270050546917
-8542.443471992334,2666.414538199012
-11755.0004357309,2535.700202709849
-10728.017803723189,4204.321609033007
-4820.271094648853,5482.539193747483
-5014.965581160821,5554.281552964938
-5736.636853917389,3957.189338597216
-12197.972383109241,3657.58910917282
-4411.5913038615545,4525.330675296616
-8965.25776335777,2998.843156769769
-4581.8077661122525,3349.8767164775386
-5883.638922952283,4998.582237027666
-1220.4746276351077,2287.2340088983306
785.5890665439155,1732.1305685095042
-4930.239459270647,4565.111832836696
-7355.3104714523215,2355.3331725744583
-6842.9120655217075,3335.818100411458
-8311.348487358666,2090.538944189469
-15470.406179081358,3576.239420399156
-1384.8947845838256,2290.0885041457955
-5625.061268035523,3580.978336064954
-5395.67485102924,3328.9348431807844
-15147.025265905453,5886.548366004454
-2822.5401888264732,3841.0264312231934
-6903.310919547794,4526.096339006029
-423.39900864083916,1870.989041296116
-3055.2002107567855,2841.8780195251275
-13555.961185549682,2981.5398159523443
-3565.720696760329,5143.418605607182
-2868.2662463800298,5283.558065696736
-4596.493203592747,3496.5223325279394
-6738.5403138022575,2673.796180394193
-6028.078368799315,1578.7905448720578
-14046.276332787986,4919.708976780888
-5652.72043934389,5453.493988815752
-6392.65184826066,3295.121249496337
-11651.224493031139,2884.5774762211736
-5094.066725552315,3125.9590895114
-3774.5193787867847,4824.38760926056
-11254.285114087921,5799.78722546146
-4794.233587543227,3575.133855919857
-2693.1745911559947,2140.3731976782374
-5392.059907346633,3142.6406122475087
-986.6002414598257,2152.048125324025
-281.5467512306061,1813.0082063885563
-9157.941354466157,2821.9461745332987
-13578.040745633969,5025.367827949204
-7487.5067923364295,4386.973704511427
-3109.370698012696,3415.5380692843787
-3913.21213455862,5195.980659642239
-14162.201534433103,1259.678397980015
-12089.657537156765,6686.216113428339
-4952.782302663369,5077.511257549892
-21019.058765765585,5519.636627504174
-14377.802785873375,3796.05038439556
-1768.7706594950723,3249.2358013011
-13032.786842559999,1538.9442508966167
-1578.433927490505,2688.8928557256445
