sal_5_lc2vs0_iate,age
-28715.249686179264,34.0
-41565.501973125996,44.0
-45772.818142885895,42.0
-38092.49604391926,47.0
-51264.53570445512,46.0
-31427.586397243245,48.0
-36321.626581250726,37.0
-42925.453129004156,44.0
-31801.108059058468,45.0
-48508.64573304874,35.0
-55624.60451616281,34.0
-55007.17634090209,46.0
-54994.699906349895,49.0
-42397.75749511925,49.0
-33971.06470117067,47.0
-57449.96176534514,46.0
-30471.792955020854,38.0
-53774.37312790059,41.0
-34413.43164460671,48.0
-56979.30476848637,30.0
-54862.498398136726,35.0
-32576.349227631345,42.0
-38390.6195125575,40.0
-58376.53989406924,38.0
-54424.272960833405,46.0
-56812.901297699864,45.0
-49155.88018186944,34.0
-31572.91769448224,34.0
-29560.64817528914,40.0
-55984.47487845683,37.0
-40860.47167776922,47.0
-56830.632379196046,33.0
-41598.787718314146,41.0
-48573.57234004096,48.0
-38769.7440509272,40.0
-46115.905968485546,46.0
-47968.37160784687,45.0
-50631.544597811204,41.0
-40771.60620038542,37.0
-47538.03513272312,49.0
-35389.99247527305,50.0
-57539.13597286692,38.0
-42903.002437973424,44.0
-52052.518781298415,43.0
-62298.25660100421,48.0
-47785.32682037818,36.0
-60560.801472904,37.0
-35776.19187495491,41.0
-28610.462477439338,45.0
-55915.250933526826,36.0
-30129.517317308568,46.0
-62057.930504667485,50.0
-36999.9345642201,48.0
-52017.118172786984,40.0
-41302.55900192101,33.0
-38780.59998374518,31.0
-58994.0473697041,34.0
-36280.97437566454,39.0
-41931.338440805936,45.0
-47371.27750761547,36.0
-35760.5629610708,38.0
-30304.7843919838,33.0
-59684.60426132793,50.0
-32283.378069454506,45.0
-37197.107334372784,47.0
-51444.74602776311,45.0
-30302.800736185134,33.0
-32305.166432921542,31.0
-32455.52418078969,47.0
-39599.358166024,43.0
-33856.77366023425,34.0
-57827.23328703434,35.0
-51422.9465144251,41.0
-33738.8754441185,40.0
-54932.46906915153,42.0
-54766.726933848535,42.0
-41413.195456283865,49.0
-34091.34259616437,46.0
-32469.271067910955,37.0
-54927.490690077604,31.0
-57389.9204764816,48.0
-55877.35000863322,32.0
-36792.01156735611,31.0
-55398.932277917804,41.0
-38943.12351971055,49.0
-39864.1106716816,49.0
-28596.413759058592,36.0
-60550.80640833221,44.0
-31374.760551440566,33.0
-50126.200210622774,32.0
-41096.69278549947,30.0
-37432.63442104671,47.0
-52491.99341423507,48.0
-29221.398805773173,45.0
-51986.86123558467,35.0
-50665.76135500007,32.0
-43611.50446925066,32.0
-38960.76703097949,46.0
-30182.19197143699,40.0
-44002.68352953189,31.0
-52296.89761674215,36.0
-56545.452278572375,34.0
