sal_avg_lc2vs0_iate,emplx2_3
-15864.205970432165,2.0
-23079.448995073464,2.0
-29980.72853019381,2.0
-24688.088857980354,2.0
-31388.18594660317,2.0
-20256.99488073739,2.0
-22349.181533099723,2.0
-26320.581606197768,2.0
-20451.587675426443,2.0
-29148.24776182525,2.0
-38144.07840543258,2.0
-34420.334339477435,2.0
-34014.21011732534,2.0
-25751.84132013822,2.0
-19017.880398452955,2.0
-37529.31505820887,2.0
-19002.55824331015,2.0
-35221.078551990446,2.0
-22080.246827442385,2.0
-40477.26435406655,1.0
-32631.5652657117,2.0
-19029.63783670187,2.0
-25133.888638097596,2.0
-35685.88729597314,2.0
-32132.18134569824,1.0
-35658.35592889748,2.0
-32906.85495893863,2.0
-20027.126965255997,2.0
-16803.6558044561,2.0
-37532.45800406932,2.0
-22628.97620752618,2.0
-34450.50266845961,2.0
-23602.634960387208,2.0
-30033.768250542795,2.0
-22920.06735976659,2.0
-31118.17147493957,2.0
-28262.537217533867,2.0
-31267.820384304137,2.0
-27346.607552115333,2.0
-27840.617332642338,2.0
-21286.91925297545,2.0
-35554.09421811897,2.0
-25175.513159132886,2.0
-29945.455455607786,2.0
-39743.946746744026,2.0
-28561.97126563842,2.0
-37970.696472985794,1.0
-20797.493768935376,2.0
-16587.56025767616,2.0
-32467.551917727505,2.0
-16797.45793660828,2.0
-36442.701887527655,2.0
-22117.836148699236,2.0
-31444.208516263105,2.0
-26732.55288146377,3.0
-22716.212583011722,2.0
-40530.335543376525,2.0
-22488.57718502459,2.0
-24790.52119555723,2.0
-30140.4015366195,2.0
-22918.038176249705,1.0
-19354.2682377322,2.0
-36142.39037368832,2.0
-20393.140922095776,2.0
-22293.437439738034,2.0
-31295.082571578605,2.0
-20101.573967742443,2.0
-19162.33903962958,2.0
-19787.295356166607,2.0
-22906.174107165858,2.0
-21052.519176178295,2.0
-38808.083536728314,2.0
-29810.166558622735,2.0
-22473.918470213837,2.0
-33507.6777368417,2.0
-31829.88030844733,1.0
-25237.679579268894,2.0
-23104.06811251522,2.0
-22081.196016998805,2.0
-37979.59917015615,2.0
-34995.76349042947,2.0
-35589.450862121645,2.0
-20697.770723661884,2.0
-32505.44856494393,2.0
-21932.254878575313,2.0
-23593.643836757004,2.0
-16964.10650257844,2.0
-40543.480172651165,2.0
-19312.65024649369,2.0
-27796.377875473594,2.0
-27500.613598387805,2.0
-24554.776336625437,2.0
-32520.850206108233,2.0
-16824.3416484617,2.0
-32587.980088671226,2.0
-33517.881293729515,2.0
-26051.360891609707,2.0
-23858.333984706318,2.0
-18213.954066905673,2.0
-25018.620571827207,2.0
-31973.254868333148,2.0
-35597.448588357314,2.0
-30801.491600067886,2.0
-18517.996399299016,2.0
-19336.99995829519,2.0
-35771.97619704387,2.0
-28047.425979227002,2.0
-26816.526757330066,2.0
-23052.68690393554,2.0
-41541.860191256535,2.0
-21184.673942052552,1.0
-31321.409019219554,2.0
-21758.202718630913,1.0
-28290.439951831282,2.0
-31379.829617112973,2.0
-17740.47816109449,2.0
-25219.908194808297,2.0
-22698.61776282266,2.0
-23497.426577564478,2.0
-36416.25610045083,2.0
-28089.385360127686,2.0
-32292.973612899194,3.0
-39394.277618404754,2.0
-27800.134995212575,2.0
-24117.97214953949,2.0
-24164.365092577507,2.0
-41387.434144411345,2.0
-22229.331040858433,2.0
-30129.40381875647,2.0
-23602.031188310528,2.0
-19842.367498940555,2.0
-29278.500201664618,2.0
-32732.504505267432,2.0
-19273.658504711166,2.0
-18726.105606477242,2.0
-27787.11607748128,2.0
-31757.031939499524,2.0
-36728.32676921325,2.0
-44654.11089912647,2.0
-18697.986172396817,2.0
-31167.304647128407,2.0
-19442.441566890477,2.0
-39858.75207249119,2.0
-25402.610900195985,2.0
-29231.153979537186,2.0
-28908.491158480218,1.0
-40519.35153550848,2.0
-19653.81535104702,2.0
-25598.366306086395,2.0
-18027.883660542495,1.0
-37025.31401092086,1.0
-18331.479572558477,2.0
-19665.17203717016,2.0
-42559.25047957989,1.0
-17812.705321016252,2.0
-24253.105110095825,2.0
-24088.141060390702,2.0
-29746.65807414698,2.0
-20911.549837833976,1.0
-21205.737461221564,2.0
-38413.41338272876,2.0
-30563.87614973414,2.0
-17554.9509269246,2.0
-34304.46579176466,2.0
-23598.646877815092,2.0
-37357.06098449345,2.0
-23786.07286480303,2.0
-37441.53275477267,2.0
-29253.647334505702,1.0
-25974.53942217343,2.0
-32316.80527833054,2.0
-21683.764758254474,1.0
-37214.43664300066,1.0
-34602.88070396159,2.0
-23168.017431625478,2.0
-21328.45391613416,2.0
-25073.88161590329,2.0
-30601.33798280394,2.0
-22358.930546578857,2.0
-34188.16782354881,1.0
-17291.565221853918,2.0
-25834.29674494286,2.0
-24794.07852226837,2.0
-18195.181592934823,2.0
-17328.86997338515,2.0
