sal_4_lc2vs0_iate,age
-28535.172231885124,34.0
-40917.13740829805,44.0
-44591.06653815474,42.0
-37923.12325229703,47.0
-51122.46640613159,46.0
-31548.459746523833,48.0
-35663.34597895253,37.0
-41972.841910345756,44.0
-31427.02869072528,45.0
-47156.29780902894,35.0
-54747.63659342423,34.0
-55038.99336016357,46.0
-54676.77358550341,49.0
-41367.01032443426,49.0
-34213.711539315605,47.0
-61488.227276058344,46.0
-29835.02617894834,38.0
-52789.09592102513,41.0
-34254.52893452231,48.0
-57814.8754599909,30.0
-54910.79622200837,35.0
-31963.198333931934,42.0
-37411.57875055263,40.0
-57925.49012985357,38.0
-54445.00756092029,46.0
-56474.119908445515,45.0
-49035.35483489944,34.0
-30829.68078277779,34.0
-29248.390981247157,40.0
-56089.87328850374,37.0
-40173.428617818194,47.0
-56430.909560445056,33.0
-40281.273832859704,41.0
-47538.301047931134,48.0
-37994.677269861175,40.0
-44579.277984644206,46.0
-47370.979613199976,45.0
-49756.54464235258,41.0
-40560.257978838854,37.0
-46776.61427297699,49.0
-35096.53042632254,50.0
-58279.07053511053,38.0
-41475.553856966886,44.0
-51821.782680530145,43.0
-63527.46621359195,48.0
-47050.90368055856,36.0
-62965.798903149,37.0
-35743.08555459799,41.0
-27933.039364145487,45.0
-55568.480484376945,36.0
-29626.25440066765,46.0
-61826.126812041504,50.0
-36678.13369771808,48.0
-51612.365846686036,40.0
-41050.47917236137,33.0
-38133.06453706531,31.0
-58446.575793066884,34.0
-36131.054846936604,39.0
-41079.624503326355,45.0
-46824.461613743304,36.0
-35125.53409752616,38.0
-30016.070425212947,33.0
-60934.601831358275,50.0
-32243.323666887605,45.0
-36876.48912131248,47.0
-51599.339548852164,45.0
-29916.0921989967,33.0
-31970.347724299627,31.0
-32521.265106282655,47.0
-38920.67581527282,43.0
-33593.0367967478,34.0
-57369.13056636481,35.0
-51254.08875562181,41.0
-33874.16264491021,40.0
-54466.702262307095,42.0
-54601.568892919655,42.0
-40427.252974417665,49.0
-33988.67115430745,46.0
-32363.92825775478,37.0
-53189.278347801366,31.0
-57505.9649915076,48.0
-55961.07438819202,32.0
-36353.19063530809,31.0
-55594.107470133655,41.0
-38160.66499509002,49.0
-39092.374468980226,49.0
-28534.603771417736,36.0
-60926.40695925029,44.0
-30738.42412338712,33.0
-48997.06673777303,32.0
-40713.32395594462,30.0
-37210.78627016464,47.0
-52433.29962782524,48.0
-29320.038910881693,45.0
-51791.5460728734,35.0
-50230.975775071565,32.0
-42693.88824078468,32.0
-38615.83513788745,46.0
-30022.80094862466,40.0
-42956.62765621567,31.0
-52069.05993804087,36.0
-56333.08041192282,34.0
-50973.19001020843,50.0
-34403.00363538356,41.0
-30147.256336978742,36.0
-55105.99917987408,35.0
-44740.03760529991,45.0
-44405.796231023225,40.0
-34495.09343315278,30.0
-60510.80691041208,47.0
-37244.63297004259,48.0
-50608.64811265613,46.0
-31278.50302803552,31.0
-42846.378521179475,40.0
-49900.26956038434,48.0
-30605.389100503493,31.0
-42267.64861220922,36.0
-38293.84723407638,39.0
-39567.00256931692,43.0
-59132.953086621885,36.0
-47652.302453896904,43.0
-52737.90910842185,36.0
-54539.748600258696,32.0
-39592.86305086875,30.0
-36679.84396837143,35.0
-41479.18819514195,34.0
-62363.97154500743,44.0
-38963.50305885414,49.0
-51307.31477944532,48.0
-41741.937320104815,46.0
-32127.69152689042,37.0
-42862.798725876455,37.0
-53523.43898259451,49.0
-33155.63837534923,34.0
-31502.31663553739,43.0
-43116.268793757656,35.0
-51894.69658671366,45.0
-54066.25659779493,42.0
-66169.62615278058,47.0
-30571.587325682936,43.0
-50221.05911029658,47.0
-28886.299628872915,42.0
-60593.5275250746,37.0
-40460.13686175663,35.0
-52726.84573317277,38.0
-50187.986304867234,39.0
-59895.47052639881,34.0
-31738.523201671156,31.0
-41094.45103142685,45.0
-32118.25124426702,46.0
-59085.26770958086,42.0
-30956.04418235428,41.0
-34100.03941729771,30.0
-64887.58002938191,49.0
-30960.380689244383,50.0
-38485.33502545621,33.0
-39573.032669027736,48.0
-45288.03513481606,45.0
-32232.355950032194,46.0
-36328.99415484973,47.0
-60482.99602936611,50.0
-51486.07576989959,36.0
-30331.52966882947,31.0
-54369.75193280236,43.0
-40118.62707780929,48.0
-57523.83718289361,33.0
-41848.92973092002,39.0
-59711.87582219261,31.0
-49893.99182852618,46.0
-42797.16262538865,44.0
-52060.89388195357,48.0
-33710.85623278428,35.0
-59816.85404447255,42.0
-53757.32936499022,45.0
-41816.05622310469,36.0
-35816.87992944504,50.0
-39266.79251192016,38.0
-49297.21476884415,35.0
-33641.50217870868,38.0
-55827.31762543899,48.0
-28605.831991951694,40.0
-40710.180563701055,46.0
-41110.2597004748,46.0
-30012.819068776967,32.0
-30276.391073048435,40.0
-61483.686583960836,44.0
-42760.02570570512,40.0
-31309.14173601236,50.0
-59549.15731334065,47.0
-60118.35862073146,39.0
-58876.76906393777,40.0
-53988.98561552647,35.0
-47223.12817707671,47.0
-36485.41602627236,40.0
-40646.42647417623,45.0
-59990.14643566707,50.0
-33869.784972077636,43.0
-35627.261242961875,38.0
-50811.54223499363,40.0
-29070.073781446234,44.0
-35622.94630124509,41.0
-58950.81596646356,50.0
-38086.13955222813,38.0
-28425.532809097658,32.0
-34706.59910768832,44.0
-44869.062670988205,43.0
-37210.386381923934,46.0
-36587.99859285549,30.0
-41361.31359069426,41.0
-34288.630532931005,36.0
-45679.355916130495,48.0
-41851.02808862491,50.0
-59658.88013916985,30.0
-45152.72716114298,39.0
-52063.3899929525,50.0
-51331.60963144906,34.0
-55181.45432125154,44.0
-52864.65167117927,40.0
-56091.993109613584,48.0
-51835.59054714459,47.0
-28235.960698799245,43.0
-50987.21153247397,47.0
-34975.40352107449,37.0
-32478.12386220656,34.0
-49798.300409143194,42.0
-42710.22468257176,33.0
-31294.40648494302,34.0
-46434.48020741414,37.0
-40413.84751722927,42.0
-36942.14067456237,38.0
-41363.2227326766,31.0
-42536.79634076993,35.0
-50409.60418314176,42.0
-45183.105572911736,48.0
-29132.814913842572,32.0
-57990.8356464785,47.0
-51624.70993922517,47.0
-39937.58946447844,49.0
-53232.498875165635,41.0
-39261.42256739462,41.0
-63150.16858501913,32.0
-55834.077908552936,44.0
-57874.15158136293,45.0
-37214.22383429842,42.0
-43517.02713668889,47.0
-41698.53357755949,34.0
-50335.13241280692,33.0
-55071.67319994114,46.0
-31585.73884020841,30.0
-66421.01963403425,50.0
-29634.11538641225,32.0
-44568.68537159426,34.0
-37055.35915852231,48.0
-59756.36272764155,42.0
-49473.346040696895,39.0
-59766.21276749651,48.0
-55948.314250993855,37.0
-30002.97379113662,44.0
-61911.70429718903,38.0
-50933.40689802842,47.0
-57946.632170094366,30.0
-57509.82221693675,31.0
-52507.563013300765,37.0
-49035.54197742554,43.0
-55723.4553019367,48.0
-53300.26926503271,35.0
-45096.297017909696,39.0
-33708.98897800076,49.0
-28688.51183208021,33.0
-40887.94732272587,50.0
-60919.67033478833,43.0
-37089.70601456078,39.0
-39754.83840451921,40.0
-56333.811017564105,41.0
-31425.5630676901,33.0
-38561.77565239917,42.0
-46484.80524746062,47.0
-30496.6794022759,36.0
-54295.448122589805,50.0
-39243.204952692424,32.0
-41912.40075051287,41.0
-39578.63390694774,42.0
-34542.50138378643,42.0
-36098.47568701264,31.0
-54083.13725661805,44.0
-48437.00932009843,38.0
-52594.97066535624,38.0
-34118.9047829395,33.0
-38115.68375394152,45.0
-39836.952638789044,50.0
-53617.0298572395,48.0
-35244.05384292837,45.0
-59035.94976436113,41.0
-36787.852733326756,40.0
-37143.222089195624,37.0
-42928.82016891398,43.0
-29752.821338650567,43.0
-51327.93634802129,42.0
-28810.37134689627,46.0
-43047.706448491495,40.0
-32030.400174812257,32.0
-40670.613201389,39.0
-40899.498279430656,39.0
-60394.500516387445,49.0
-41369.79787205122,45.0
-35911.248042547,43.0
-35322.95214743943,32.0
-56050.76600575438,50.0
-40805.93838859428,43.0
-48341.07457495758,44.0
-36179.22730856229,34.0
-29059.059687249868,47.0
-60095.42245000137,47.0
-39100.15430451167,40.0
-35657.137009334925,31.0
-62146.74502085656,43.0
-55952.34349971493,43.0
-29751.50108781859,42.0
-58744.40953537137,46.0
-38738.931012872694,34.0
-52580.86217211095,40.0
-28879.049845184825,31.0
-59043.75172870707,42.0
-30116.762767217246,41.0
-43853.57175281983,30.0
-43708.92196592066,48.0
-38616.77145159988,33.0
-30853.173260118077,40.0
-40478.7205219018,50.0
-33782.40756190102,31.0
-28630.13626033401,40.0
