sal_5_lc1vs0_iate,earnx2
-2481.9990918268504,0.0
-1430.202684616277,0.0
-4489.066068861717,0.0
-11449.086047238932,0.0
-2621.9158112681944,0.0
-9307.768394496368,0.0
-3663.882554510728,0.0
-2922.271743348201,540.5292221533524
-8681.341162061635,0.0
-6274.98471380869,0.0
-23050.036448475887,0.0
-4468.7737771980355,0.0
-1791.5446949040288,1228.7335340854088
-4944.384089321699,0.0
-985.728818599725,0.0
-332.9000730049702,0.0
-3128.585826701364,0.0
-20174.249270295946,0.0
-9694.51465280175,965.8503379932461
-15482.656312535782,1502.7000496557
-16864.316977723323,743.4988660048341
-3854.6605514252137,0.0
-15512.06340435362,1567.4865435882898
-737.5592811277238,0.0
-3907.2066466053675,731.6847828549727
-3121.7491029205485,0.0
-15304.327060869588,0.0
-13543.905380875236,0.0
-2648.594745605816,0.0
-17866.57769455155,702.8414013080481
-2403.451674007315,0.0
-6434.7344828135065,0.0
-8296.695760245611,1337.9946573057587
-5509.827570719332,0.0
-4641.313601073667,0.0
-11752.237241047436,1054.856986464721
-4379.075625140767,0.0
-3376.3762733938984,0.0
-18070.252683228307,0.0
-3868.6695721607884,0.0
-2411.755970966737,0.0
-2800.2412569148146,1710.275913025411
-4610.403673240824,0.0
-3839.2066885664517,1188.2006749697766
-13850.616232426315,941.0107736229702
-3205.9129614507165,0.0
-13405.433064226889,955.4429418040424
-1393.8747596588846,0.0
-3827.247816299627,0.0
-3340.864676697798,881.809880102695
-3220.8614755280196,0.0
-18159.677478107253,0.0
-11768.158366710551,0.0
-601.8838962788832,1129.902604299713
-19723.8513584647,870.2730383209896
-5725.515170755166,0.0
-20073.777211113367,0.0
-4066.4327409611046,1131.9066236985716
-3625.44682091497,0.0
-1856.2438022488495,0.0
-12507.116191895591,1590.0336091143665
-5499.508275093274,0.0
-2988.3278667493832,0.0
-2417.0484622309928,0.0
-13423.154585586633,0.0
-4529.740101638286,1079.2784244259665
-12385.393034090346,0.0
-7667.121295823749,0.0
-4271.361729465954,0.0
-4112.197615522265,0.0
-15459.894259582992,0.0
-15491.075196322372,0.0
-2381.788297865347,699.3713044043346
-11096.739581289627,0.0
-1727.210999113664,0.0
-2921.8285901009986,806.2559022403984
-3254.8992132057447,0.0
-10556.837650846031,0.0
-10455.722659357672,0.0
-20661.927004180103,1725.9521238724642
-1423.1313431016351,890.8636534716501
-3351.387528416253,853.423201710562
-5120.885342422156,0.0
-5935.030731679892,0.0
-4976.031903531242,0.0
-3968.682633044401,0.0
-3634.4564636564724,0.0
-9066.127307525758,0.0
-15018.688640553493,0.0
-8111.284690909317,0.0
-17642.50484838362,518.4271933300842
-10839.494059506756,0.0
-1867.1120927345873,663.1543926878377
-3010.58230744502,0.0
-6071.455601997548,0.0
-21320.914805274697,2196.159451190892
-1710.1387480342473,0.0
-12414.134823481705,0.0
-3599.0447080056383,311.2415988003016
-5926.637928848386,1942.8596076604335
-5718.414619240622,1181.1751560047758
-2509.7359093447667,0.0
-13663.177161276699,0.0
-4033.9786864793277,0.0
-5100.974057773645,0.0
-2192.7269067826746,1339.908367683414
-15263.631141748427,0.0
-3386.1423112113443,0.0
-12195.480706996037,0.0
-14172.420734003885,1311.9220553104692
-14439.967598591506,444.8740323812552
-9048.159561008595,0.0
-13926.822995011875,299.6053507362125
-13700.278418759126,0.0
-12333.052424065012,2118.5710349919664
-3675.05754506002,609.0351908202622
-5367.654395430776,561.008285187817
138.4776854907468,0.0
-4687.764581692626,504.2597188884076
-1270.997471406965,0.0
-6269.418312184014,0.0
-4233.0278929305405,0.0
-22212.101919735465,0.0
-13084.675881781342,861.9848112305598
-17165.329435814063,0.0
-2912.1706214651786,1698.4077882800043
-13504.384406074629,0.0
-3268.638595897546,0.0
-3091.9152833653443,721.524386536471
-3990.2589633479092,859.8088860190923
-4787.805977663429,332.4102956762794
-13083.954220749196,0.0
-1282.459885441489,0.0
-2866.3517518214053,0.0
-3235.381426239119,0.0
-2167.875516107175,0.0
-5316.773746220095,0.0
-19438.058438510867,1154.3587908605257
-4579.149770817785,0.0
-9358.89058574463,0.0
-5203.8187954329005,0.0
-3787.595076680778,0.0
-18966.87305834111,0.0
-4401.415846031441,881.927705688603
-4131.751212488023,0.0
-4634.8922128043905,2689.1307379420623
-25827.080229285075,0.0
-16014.76933823419,0.0
-14562.973671890471,0.0
-3461.47985485626,986.3818207133024
-16302.535040565574,1996.1352707668302
-9524.583472066337,0.0
-7341.373915371651,0.0
-7954.488198774543,2294.667515159643
-9140.948460039317,0.0
-2648.636981831881,0.0
-3812.0953431614716,0.0
-3109.9271871894052,0.0
-11121.07401745646,380.2336114847665
-2995.3584950474988,0.0
1170.13121568102,1611.6593270153612
-3029.9190650636065,0.0
-2758.081931164009,0.0
-18156.345359036037,0.0
-4643.473547032026,564.4668643344776
-1223.8552101226742,0.0
-5688.846360649894,0.0
-23838.634134453823,0.0
-3865.639866280333,1686.7967543562195
-5035.879839467418,0.0
-2856.2286010098796,1678.7776393547206
-5936.459152942281,1034.3537427297526
1549.8746490409649,3766.7191105159764
-5037.703809441775,0.0
-2457.791259170148,0.0
-3744.413427343114,0.0
-11780.249925911905,0.0
-5208.740962084879,0.0
-8283.285950736947,0.0
-9420.056949572649,688.8488494225033
-1351.4954124650158,0.0
-12359.355770980195,890.8794574994383
-1921.597270959508,0.0
-3396.3153520985184,0.0
-2523.1013173419956,0.0
-19680.119143043317,0.0
-3662.978856202677,0.0
-1813.8284066994179,2109.7299584745024
-1929.4502405485691,0.0
-18473.376925254204,0.0
-10235.55657615969,0.0
-4467.038205499353,1871.7443480847087
-10216.100215415927,0.0
-10398.435339800726,0.0
-1977.3450391388697,1667.9300071817222
-371.8095684415348,0.0
-11178.479565200749,450.9625765324758
-4848.809083663544,0.0
-1455.7608402893602,0.0
-3504.6534266163044,270.17596490335
-10608.856670115681,0.0
-14842.137517069901,0.0
-19043.144660105587,0.0
-3940.0068283597766,299.1459826495919
-11089.839073897609,0.0
-16045.22224316648,1039.333107255059
-8872.668920638254,0.0
-8764.23236152964,0.0
-744.5201364443055,0.0
-15853.751076890276,0.0
-13269.777642340361,0.0
-12175.95595530658,0.0
-20438.03779952736,0.0
-4208.2072426075065,630.827006917535
-2088.049357156826,0.0
-3072.7941787421078,1072.93208637974
-3007.1361696807653,1853.6994765604766
-4247.789874483329,0.0
394.9086557822193,919.9576490673018
-6220.2860975357435,0.0
-2533.4913310290403,0.0
-4629.908943759723,0.0
-3580.1197408470334,0.0
-15179.331531589367,1197.1684393941343
-5250.554192597285,0.0
-19824.48843790569,0.0
-13961.771413975293,564.5306313240284
-15679.964204096266,0.0
-2473.6644484802437,1605.0280404738737
-2549.0484032928707,1065.4622500552975
-4808.15456737716,930.313636965405
