sal_avg_lc2vs0_iate,reg_pro
-15864.205970432164,25.442805384741487
-23079.448995073464,24.48031723822925
-29980.72853019381,38.30479248816428
-24688.088857980358,27.23029492891736
-31388.18594660317,35.43969589984596
-20256.99488073739,36.021807982956105
-22349.181533099723,35.48794104479353
-26320.581606197768,35.48794104479353
-20451.587675426443,37.424879126959546
-29148.247761825245,23.634277318491872
-38144.07840543258,20.98878429639096
-34420.33433947744,26.28022836679576
-34014.21011732534,23.634277318491872
-25751.841320138214,39.70178544635895
-19017.88039845295,29.0419683726385
-37529.31505820887,33.9596994808174
-19002.558243310148,36.18644355251131
-35221.078551990446,33.190710519682085
-22080.24682744238,37.31673442662566
-40477.264354066545,22.876594638877435
-32631.5652657117,39.70178544635895
-19029.63783670187,36.3573875871551
-25133.888638097596,20.146641489655405
-35685.887295973145,38.77222685532345
-32132.181345698245,25.46180534860576
-35658.35592889748,25.442805384741487
-32906.85495893863,36.18644355251131
-20027.126965255997,30.518765731198098
-16803.655804456095,27.11781509568906
-37532.45800406932,35.48794104479353
-22628.976207526175,37.31673442662566
-34450.50266845961,24.48031723822925
-23602.634960387208,27.20170607688317
-30033.768250542795,36.59621121258517
-22920.06735976659,32.02921160100115
-31118.171474939565,38.061462197476885
-28262.53721753386,25.91532590252785
-31267.82038430414,27.66410460043495
-27346.60755211533,34.59482682258063
-27840.617332642338,24.75709700399736
-21286.919252975447,34.0840234334754
-35554.09421811897,24.82275449516596
-25175.513159132886,33.190710519682085
-29945.455455607786,24.82275449516596
-39743.946746744026,20.98878429639096
-28561.971265638414,25.442805384741487
-37970.6964729858,34.87097908415335
-20797.493768935372,25.9568290114522
-16587.56025767616,36.895008747355305
-32467.55191772751,38.061462197476885
-16797.45793660828,36.36929448528463
-36442.701887527655,23.84441056974409
-22117.836148699236,37.21455824969987
-31444.208516263105,38.296041677123725
-26732.55288146377,30.93066410111383
-22716.212583011722,30.93066410111383
-40530.33554337651,30.88527758713494
-22488.57718502459,22.876594638877435
-24790.52119555723,33.9596994808174
